year,en_ADP aile_NOUN
1800,1.1318992676478956e-07
1801,1.6668278135512082e-07
1802,1.857407312400028e-07
1803,1.4432510653250574e-07
1804,2.1257918803030407e-07
1805,1.9331568079650197e-07
1806,2.8528523543513984e-07
1807,9.96434317279693e-08
1808,2.2660739151803e-07
1809,1.445779496123123e-07
1810,1.5444837231370911e-07
1811,1.3287507272252697e-07
1812,1.8137016155606034e-07
1813,1.1215392348162823e-07
1814,1.1328037530233814e-07
1815,1.7801675156192687e-07
1816,2.2712518621403888e-07
1817,9.02986592166144e-08
1818,1.7881766112282094e-07
1819,2.701624062240171e-07
1820,6.645229433388522e-08
1821,9.565643921405353e-08
1822,3.559093784133438e-07
1823,8.993244904331732e-08
1824,1.1873769167891624e-07
1825,1.8139213153745004e-07
1826,1.735172965311449e-07
1827,1.4839809026057083e-07
1828,1.5317743340403922e-07
1829,9.773420650560638e-08
1830,1.1480519557238722e-07
1831,3.196197297938852e-07
1832,2.1106752612354285e-07
1833,8.571885423691583e-08
1834,1.577535688745968e-07
1835,9.075705520444899e-08
1836,9.140220419423528e-08
1837,7.931995860133156e-08
1838,5.996553742448896e-08
1839,1.4122779212755177e-07
1840,7.962110792902877e-08
1841,2.587481109372902e-07
1842,1.0263645577879288e-07
1843,1.3940310239490827e-07
1844,8.94635450721104e-08
1845,9.318980787043074e-08
1846,6.557041487553761e-08
1847,7.928039025273392e-08
1848,1.1102405750307298e-07
1849,8.211826862947191e-08
1850,7.535785417900343e-08
1851,1.2060450416129243e-07
1852,1.2370036017728125e-07
1853,1.0510599857127545e-07
1854,8.884586311097564e-08
1855,8.756445879498642e-08
1856,4.918329715719594e-08
1857,9.177237469959465e-08
1858,6.459652546197958e-08
1859,7.485494712966556e-08
1860,1.0527523386372195e-07
1861,1.0752397328062102e-07
1862,1.9156261488184612e-07
1863,1.2286767453462133e-07
1864,1.0164823471825457e-07
1865,1.0919878867809985e-07
1866,1.0266443128958969e-07
1867,1.4073152954097168e-07
1868,1.4276235482668653e-07
1869,1.0108884396231588e-07
1870,1.4048419272327806e-07
1871,1.5188283208900089e-07
1872,1.5662608721100924e-07
1873,2.1370035430123835e-07
1874,1.1949218076123813e-07
1875,1.8766609422016245e-07
1876,1.4873196030329439e-07
1877,9.339071826985901e-08
1878,1.425224924744839e-07
1879,9.408360746032685e-08
1880,1.2964049678210188e-07
1881,9.691785241017215e-08
1882,7.8533544112247e-08
1883,9.9845554324407e-08
1884,1.313737740815668e-07
1885,1.289127151693492e-07
1886,1.2261581527894805e-07
1887,9.662808686528024e-08
1888,1.3885945993052928e-07
1889,1.0963989405254893e-07
1890,7.73417605515192e-08
1891,1.1409854216992699e-07
1892,9.277397960971712e-08
1893,1.0530892247118118e-07
1894,1.600590944228486e-07
1895,1.5648397222456367e-07
1896,1.0378771264640818e-07
1897,1.0196748501112296e-07
1898,1.324055053375517e-07
1899,9.839089365470954e-08
1900,9.863000993703963e-08
1901,9.389081379040931e-08
1902,9.967876374306073e-08
1903,8.046328003885606e-08
1904,1.5425174382244222e-07
1905,1.0682771423020654e-07
1906,1.7593111012459417e-07
1907,2.0211374973655438e-07
1908,2.3967578255401634e-07
1909,1.5402754571791633e-07
1910,9.298822134518048e-08
1911,1.3088120431881123e-07
1912,1.2085857115096132e-07
1913,1.34695939346674e-07
1914,1.6005217062797783e-07
1915,1.366568368466048e-07
1916,2.1755174572923863e-07
1917,1.052776754661977e-07
1918,1.3898515494048524e-07
1919,8.010828267401848e-08
1920,1.3099961071461053e-07
1921,9.011569268579933e-08
1922,1.8813735075395854e-07
1923,1.1465223792583856e-07
1924,7.219309772210636e-08
1925,6.488924952918751e-08
1926,7.133528756586571e-08
1927,5.3516278963883224e-08
1928,8.226749592665783e-08
1929,8.578112797863469e-08
1930,8.82302675364599e-08
1931,9.238338805062085e-08
1932,9.644391951724174e-08
1933,7.45593045081705e-08
1934,8.746553348260022e-08
1935,9.454944205344873e-08
1936,8.608547119592913e-08
1937,6.673292496373051e-08
1938,5.8343465170196396e-08
1939,1.9729324751693866e-07
1940,1.3693227352007398e-07
1941,7.378756272657938e-08
1942,1.3957373834472264e-07
1943,1.0451646836884265e-07
1944,6.105053707017305e-08
1945,1.590307974197458e-07
1946,7.9350293447078e-08
1947,9.298279657343755e-08
1948,1.1198044624904924e-07
1949,7.657266642979721e-08
1950,6.487570480828708e-08
1951,5.970384897580061e-08
1952,1.2759212530966124e-07
1953,7.110726230052933e-08
1954,5.0817189567453624e-08
1955,9.761032160326977e-08
1956,7.761816078755146e-08
1957,1.1043797076837336e-07
1958,7.114129463303698e-08
1959,7.053180439697826e-08
1960,7.543708591128961e-08
1961,6.53126956962069e-08
1962,6.659054357927019e-08
1963,6.983337463850603e-08
1964,5.1713729298796807e-08
1965,7.770301435616744e-08
1966,8.530175277243757e-08
1967,1.1684895140362528e-07
1968,9.701458125732643e-08
1969,6.131372826123638e-08
1970,6.71413845632074e-08
1971,7.810363944482646e-08
1972,9.593374838967605e-08
1973,6.781240702302682e-08
1974,5.1755259189434355e-08
1975,7.996072115545871e-08
1976,8.341749418994127e-08
1977,4.995264557550172e-08
1978,4.633661299102698e-08
1979,5.0326971035019596e-08
1980,8.641429039002446e-08
1981,6.894849136074299e-08
1982,5.338451991576676e-08
1983,3.9786492656013195e-08
1984,7.074790064898195e-08
1985,6.857735967980005e-08
1986,7.553051878383954e-08
1987,5.621951615353282e-08
1988,6.836071220206463e-08
1989,7.463846340982627e-08
1990,7.900544174432866e-08
1991,7.150987269000098e-08
1992,8.044518184924243e-08
1993,6.702441002204296e-08
1994,7.27939867273264e-08
1995,5.4224509327127635e-08
1996,8.167281206894472e-08
1997,5.226434973693017e-08
1998,6.1508868220983e-08
1999,4.4787972358628636e-08
2000,3.5786055674336126e-08
2001,5.301266403634486e-08
2002,5.0384047600715576e-08
2003,6.125376650345515e-08
2004,8.633390669032792e-08
2005,5.5396121467765624e-08
2006,6.547444897364585e-08
2007,5.592271179466479e-08
2008,4.810906906183021e-08
2009,4.0529637646002925e-08
2010,2.6925620677520357e-08
2011,5.0858826372568444e-08
2012,4.5276559695883734e-08
2013,4.2952524315076346e-08
2014,3.486366653704387e-08
2015,2.925879433179901e-08
2016,3.5419916305512444e-08
2017,2.238894164507954e-08
2018,2.555652095503902e-08
2019,1.9387507654844427e-08
