year,en_ADP ailes_NOUN
1800,1.6664071722516383e-07
1801,8.572257570449437e-08
1802,7.608656460433849e-08
1803,1.4432509942707838e-07
1804,1.0134588990240445e-07
1805,1.7910129201936797e-07
1806,2.420601958874613e-07
1807,1.6512339584551228e-07
1808,2.3567169193938753e-07
1809,9.713831161661801e-08
1810,1.193464669313471e-07
1811,2.0056614147279106e-08
1812,9.335229123053068e-08
1813,2.5881675469463516e-08
1814,1.1642705288750221e-07
1815,6.74305908887618e-08
1816,1.5991466284503986e-07
1817,1.634717108345285e-07
1818,1.3351719019283337e-07
1819,2.4842520929269085e-08
1820,9.730514705097448e-08
1821,1.0847637099686835e-07
1822,1.0727409005539812e-07
1823,8.499110748516614e-08
1824,1.381062446625947e-07
1825,1.2327620879659662e-07
1826,6.077509340229881e-08
1827,9.309445658800541e-08
1828,8.163348041989593e-08
1829,7.715858174606183e-08
1830,1.49246758951449e-07
1831,2.1359952029342821e-07
1832,2.0565553882079257e-07
1833,6.370995464521911e-08
1834,1.0081293311259287e-07
1835,1.187404805591541e-07
1836,7.325617445985699e-08
1837,1.0436836106464398e-07
1838,5.302215910774066e-08
1839,1.0207553913232914e-07
1840,5.7327198987877637e-08
1841,2.0802576727874111e-07
1842,3.957876515414682e-08
1843,9.923610377882142e-08
1844,6.476502534269457e-08
1845,9.263178668561522e-08
1846,8.137757134818457e-08
1847,9.384208965457219e-08
1848,5.551202875153649e-08
1849,1.0306680309213334e-07
1850,8.418355434969271e-08
1851,6.384944128967618e-08
1852,1.7513367822630244e-07
1853,1.1107793085329831e-07
1854,5.975014261139222e-08
1855,9.021793090369101e-08
1856,7.403380664072756e-08
1857,8.64027143165913e-08
1858,5.627727261980908e-08
1859,6.670747154657874e-08
1860,8.467790024724309e-08
1861,6.272231445336729e-08
1862,6.46072066956549e-08
1863,7.841554605647616e-08
1864,8.822299690791624e-08
1865,7.530950796308389e-08
1866,5.93604774223877e-08
1867,9.851207494193659e-08
1868,7.16281718382561e-08
1869,6.788091866383184e-08
1870,9.346499751927695e-08
1871,9.240424247991541e-08
1872,5.624025689598966e-08
1873,1.2091729217900138e-07
1874,9.081406204813902e-08
1875,1.0813685946686746e-07
1876,1.0580525611203484e-07
1877,6.741449709579683e-08
1878,5.072834596830944e-08
1879,7.331190232662266e-08
1880,1.0396910710142038e-07
1881,7.181682804002776e-08
1882,8.984770261122321e-08
1883,8.467914369703067e-08
1884,1.0694748908690599e-07
1885,1.0313016929330843e-07
1886,1.206797719532915e-07
1887,1.0185122079064968e-07
1888,1.0525420179874345e-07
1889,9.397705014180247e-08
1890,8.651790039948537e-08
1891,7.01164211136529e-08
1892,1.0280360385195308e-07
1893,1.1947328459882556e-07
1894,1.5690832810832944e-07
1895,1.3842813473274873e-07
1896,1.0909503345146732e-07
1897,1.4974654050092795e-07
1898,8.261198303216588e-08
1899,5.417026827103655e-08
1900,8.66905907059845e-08
1901,7.824234415920728e-08
1902,1.0508007619591808e-07
1903,8.262337303222012e-08
1904,7.255744094436523e-08
1905,1.0063480004873782e-07
1906,8.076369795162464e-08
1907,1.1262827115388063e-07
1908,8.152905905944863e-08
1909,1.0176819387197611e-07
1910,1.0902067515417002e-07
1911,6.118430206925041e-08
1912,8.335074141996301e-08
1913,7.901454779357664e-08
1914,8.571831955350717e-08
1915,1.1309531089409575e-07
1916,1.1097336738430386e-07
1917,9.211796481167767e-08
1918,9.418828739171659e-08
1919,7.550436009751138e-08
1920,7.799398815677705e-08
1921,5.9067428281878165e-08
1922,9.22241909506738e-08
1923,8.811237250938575e-08
1924,7.86389122708897e-08
1925,7.808706214973427e-08
1926,1.1480522488227507e-07
1927,8.473411128306907e-08
1928,8.798051709391075e-08
1929,8.912324744869693e-08
1930,9.033099246380516e-08
1931,1.2203732069338002e-07
1932,8.87722464426588e-08
1933,9.061822936473618e-08
1934,9.824896096688462e-08
1935,1.0891138657598276e-07
1936,7.1535815493462e-08
1937,8.310137644684801e-08
1938,7.649476430060531e-08
1939,1.1470537941704606e-07
1940,1.6736167651743017e-07
1941,1.0625409174735978e-07
1942,1.061974117533282e-07
1943,8.709705667797607e-08
1944,1.124615138792251e-07
1945,8.496165548876888e-08
1946,8.07424029858339e-08
1947,9.417487945029279e-08
1948,1.2611390332040173e-07
1949,7.362756093698408e-08
1950,7.232046073113452e-08
1951,9.595261474260042e-08
1952,1.0439355691005403e-07
1953,8.942276963352924e-08
1954,8.502106396690579e-08
1955,8.91632723210023e-08
1956,8.023449993288523e-08
1957,1.0513694803648832e-07
1958,8.851300492551673e-08
1959,7.673240531858028e-08
1960,9.412333668024075e-08
1961,8.893643865803824e-08
1962,8.688480335194981e-08
1963,7.241979460559378e-08
1964,6.38816644027429e-08
1965,1.1710172742596114e-07
1966,7.090015685662365e-08
1967,1.0255097748768094e-07
1968,8.354033553814588e-08
1969,7.175977145834622e-08
1970,7.265985857429769e-08
1971,7.656212375195537e-08
1972,7.951727809540898e-08
1973,6.340184199871146e-08
1974,4.387946006545462e-08
1975,8.681449514824635e-08
1976,5.656391621755574e-08
1977,6.581995393162288e-08
1978,5.8811853165252614e-08
1979,6.437170441131457e-08
1980,7.504399235358505e-08
1981,6.958104137311238e-08
1982,6.393727147724348e-08
1983,8.525676520321213e-08
1984,7.364740639559386e-08
1985,8.181159216746892e-08
1986,6.773768745915731e-08
1987,6.171924837872211e-08
1988,6.056519197272792e-08
1989,7.408964819433095e-08
1990,6.865300150593612e-08
1991,7.67851915384199e-08
1992,6.06093877308922e-08
1993,5.760775678709251e-08
1994,5.960666982218754e-08
1995,5.476675468685244e-08
1996,4.750901894112758e-08
1997,6.041567246484192e-08
1998,7.438281812710557e-08
1999,6.078367675854679e-08
2000,6.892128823210442e-08
2001,6.966126875340706e-08
2002,5.301277994362863e-08
2003,5.75035379313249e-08
2004,8.104815663045883e-08
2005,6.845699118684934e-08
2006,6.218013481884554e-08
2007,5.0330442036283785e-08
2008,5.704969296971285e-08
2009,6.103286409597786e-08
2010,7.227403386877995e-08
2011,7.533224533062821e-08
2012,9.123397148869117e-08
2013,7.80955033974351e-08
2014,7.600712592648051e-08
2015,7.226035592111657e-08
