year,en_ADP ailes_NOUN,en_ADP belles_NOUN
1800,1.6664071722516383e-07,1.1318991832709457e-07
1801,8.572257570449437e-08,2.4288061695187935e-07
1802,7.608656460433849e-08,1.6112448975036386e-07
1803,1.4432509942707838e-07,1.891828975697507e-07
1804,1.0134588990240445e-07,2.026917798048089e-07
1805,1.7910129201936797e-07,1.5635826855486812e-07
1806,2.420601958874613e-07,9.509508380745046e-08
1807,1.6512339584551228e-07,1.4519470425966574e-07
1808,2.3567169193938753e-07,1.155697759713803e-07
1809,9.713831161661801e-08,1.2876473931555665e-07
1810,1.193464669313471e-07,1.4508785284306214e-07
1811,2.0056614147279106e-08,1.6295998506166143e-07
1812,9.335229123053068e-08,1.7603573887470247e-07
1813,2.5881675469463516e-08,1.207811497483391e-07
1814,1.1642705288750221e-07,1.4160046646338742e-07
1815,6.74305908887618e-08,1.7531952778426785e-07
1816,1.5991466284503986e-07,9.733936146005817e-08
1817,1.634717108345285e-07,2.6622536286602383e-07
1818,1.3351719019283337e-07,1.7524131123991538e-07
1819,2.4842520929269085e-08,2.7430282223406266e-07
1820,9.730514705097448e-08,1.6613073050564253e-07
1821,1.0847637099686835e-07,2.3075882971124173e-07
1822,1.0727409005539812e-07,1.2632276025215106e-07
1823,8.499110748516614e-08,1.3638108065094912e-07
1824,1.381062446625947e-07,1.7515914851884418e-07
1825,1.2327620879659662e-07,1.549758024133041e-07
1826,6.077509340229881e-08,1.5502052974625258e-07
1827,9.309445658800541e-08,3.2444802355868774e-07
1828,8.163348041989593e-08,2.40314278698861e-07
1829,7.715858174606183e-08,1.2859764542128005e-07
1830,1.49246758951449e-07,2.5257143509982427e-07
1831,2.1359952029342821e-07,3.5547950094638736e-07
1832,2.0565553882079257e-07,1.5018265742128278e-07
1833,6.370995464521911e-08,2.3630602186131e-07
1834,1.0081293311259287e-07,2.389639894850859e-07
1835,1.187404805591541e-07,3.168933915276284e-07
1836,7.325617445985699e-08,2.0767118014131114e-07
1837,1.0436836106464398e-07,1.9134199646941852e-07
1838,5.302215910774066e-08,1.8115905220383866e-07
1839,1.0207553913232914e-07,1.873715300693135e-07
1840,5.7327198987877637e-08,1.0637380398748064e-07
1841,2.0802576727874111e-07,2.2792947618199833e-07
1842,3.957876515414682e-08,1.8581894778435526e-07
1843,9.923610377882142e-08,2.421833542598506e-07
1844,6.476502534269457e-08,2.8595403023246035e-07
1845,9.263178668561522e-08,3.1360880825559434e-07
1846,8.137757134818457e-08,2.3827820427868573e-07
1847,9.384208965457219e-08,1.5532484098912391e-07
1848,5.551202875153649e-08,3.3950834676943487e-07
1849,1.0306680309213334e-07,2.30433910397565e-07
1850,8.418355434969271e-08,2.2675246214021172e-07
1851,6.384944128967618e-08,2.399191316726501e-07
1852,1.7513367822630244e-07,2.2396275767277984e-07
