year,en_ADP art_NOUN,en_ADP barres_NOUN
1800,3.5529058095562505e-07,5.439404731077957e-07
1801,2.3335590038087162e-07,9.405671335116494e-07
1802,2.528759353026544e-07,8.190494895643496e-07
1803,2.96451567294298e-07,6.748173859705275e-07
1804,3.5347467886026607e-07,5.092012997920392e-07
1805,4.3780317948716174e-07,4.1221727542506414e-07
1806,1.2679343619481642e-07,1.930718269704812e-07
1807,4.0711458382247656e-07,3.4448157748556696e-07
1808,1.994145080175258e-07,3.874986589380569e-07
1809,3.478907117937524e-07,5.941250265095732e-07
1810,3.1591712490453006e-07,7.535207942055422e-07
1811,3.133846036007526e-07,1.1206633416804834e-06
1812,2.347143261971496e-07,2.0884240257146303e-06
1813,3.163315744902917e-07,5.377636966841237e-07
1814,2.1082736223476672e-07,1.1013370340151596e-06
1815,3.425474046636623e-07,8.145615311150323e-07
1816,1.9931394135142e-07,3.290997483418323e-07
1817,1.7125607354451233e-07,2.3664475179430156e-07
1818,2.0027577329884139e-07,4.875761305811466e-07
1819,2.856889746993829e-07,9.315945135313086e-07
1820,2.9191542783024715e-07,5.197518930799561e-07
1821,3.4416593208685953e-07,2.031466550533878e-07
1822,3.448811725093037e-07,4.190707443285646e-07
1823,2.5793813007712885e-07,6.838819217591663e-07
1824,2.080014889216386e-07,5.650566663462087e-07
1825,2.3246369362794894e-07,3.918422066817584e-07
1826,1.98179641364149e-07,7.407514885926503e-07
1827,2.1199727545662128e-07,1.1263507531111827e-06
1828,1.6601865127086057e-07,5.310762389854062e-07
1829,1.3974277424111392e-07,7.638699912604352e-07
1830,1.6281463843803579e-07,1.2200661103634047e-06
1831,2.2451337100548585e-07,8.731075240575592e-07
1832,2.0565553371376666e-07,4.464889968858188e-07
1833,2.3283092964732077e-07,7.645194841643388e-07
1834,2.1936147609480372e-07,5.42336238140706e-07
1835,2.102538445569735e-07,7.691660357522778e-07
1836,2.5337227693711384e-07,5.168257075638394e-07
1837,2.5048406193661776e-07,8.252058592006506e-07
1838,1.956770185884693e-07,6.469965683209011e-07
1839,1.8527408773838516e-07,8.893156291378546e-07
1840,2.465069468549075e-07,6.834675900790899e-07
1841,2.3499206980304166e-07,4.783308895639493e-07
