year,ancien_ADJ or_NOUN,ancien_ADJ bord_NOUN
1800,1.2576657937302116e-08,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,1.1702034896643454e-08
1804,0.0,0.0
1805,0.0,1.1371510844071508e-08
1806,2.881669125542885e-09,0.0
1807,2.2775640928784924e-08,0.0
1808,0.0,2.4926814390369145e-08
1809,0.0,4.518061036407062e-09
1810,4.680253518074551e-09,0.0
1811,0.0,2.5070767684098882e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,4.315557688983063e-08
1816,2.3176038865813098e-09,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,3.5763532135746345e-09
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-08,1.4239777357261119e-08
1821,9.86148829262845e-10,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,2.5263338088166165e-09,8.421112696055388e-10
1825,3.522177216552791e-09,8.805443485471187e-09
1826,6.1655889282974385e-09,0.0
1827,4.6086365279585095e-09,1.7512819638909605e-08
1828,9.172301251858528e-10,1.9261833017480967e-08
1829,1.714635211591542e-09,8.573175946935407e-09
1830,0.0,7.305785310052215e-09
1831,1.5591206103948707e-09,1.4032085715598441e-08
1832,1.3529969367098715e-09,0.0
1833,8.108540172635514e-09,1.50587169400751e-08
1834,1.9602515166639023e-08,9.334530925997342e-10
1835,7.563087933704082e-10,6.050470346963266e-09
1836,3.36037508930076e-09,6.72075017860152e-09
1837,4.174734336004349e-09,6.957891152126194e-09
1838,3.1560809521380406e-09,1.1361890983607736e-08
1839,1.3982950353153e-09,2.0974426639952526e-09
1840,1.2739377330817092e-09,6.369688665408546e-10
1841,6.420548537278137e-09,5.778493683550323e-09
1842,1.341653010911159e-09,6.708265054555795e-10
1843,0.0,4.134837805480629e-09
1844,8.232841963717874e-09,7.1351298203126134e-09
1845,3.348136878855712e-09,3.348136878855712e-09
1846,5.854501328173001e-10,4.0981511517657054e-09
1847,0.0,5.393223645455691e-10
1848,8.045221711050488e-10,1.6090443422100975e-09
1849,5.865590679832167e-09,4.1897072478036534e-09
1850,6.788996032014438e-10,0.0
1851,1.9348316282474798e-09,0.0
1852,1.6927418133860783e-08,6.510545436100301e-10
1853,2.388772735173461e-09,9.555090940693844e-09
1854,2.5978321716024766e-09,7.79349651480743e-09
1855,1.0613874223963649e-09,0.0
1856,0.0,0.0
1857,4.881509085841174e-10,0.0
1858,4.893676019968041e-10,0.0
1859,5.092173349652285e-10,1.5276520048956854e-09
1860,3.661747127736703e-09,1.8308735638683515e-09
1861,9.431927461278633e-10,1.4147891747029462e-09
1862,1.3553959066214816e-09,4.517986262886353e-10
1863,9.989241656072068e-10,2.9967726078439227e-09
1864,0.0,7.671564716815737e-09
1865,4.706844358715045e-10,0.0
1866,1.9462452205409875e-09,9.731225825149181e-10
1867,5.338092634588065e-09,0.0
1868,4.93987406535723e-10,1.4819622196071691e-09
1869,9.767038289254515e-10,1.953407657850903e-09
1870,2.2936195165357276e-09,1.7202146374017957e-09
1871,4.248470908407853e-09,0.0
1872,1.8142017887967654e-09,6.047339518033823e-09
1873,0.0,1.7958012854535355e-09
1874,1.1949218281515073e-09,0.0
1875,1.7164581422868253e-09,5.721527140956084e-10
1876,1.813804439976252e-09,9.673623679873344e-09
1877,6.184815992682502e-09,6.184815992682502e-10
1878,5.435179861734696e-09,1.0266450800600069e-08
1879,6.10932526790009e-10,6.109325489944695e-09
1880,6.417846254436199e-10,8.343199908722454e-09
1881,1.3945015142624584e-09,6.972507571312292e-10
1882,2.6621540527571597e-09,5.324308105514319e-09
1883,1.8958017378167824e-09,3.159669414998234e-09
1884,6.601696966868076e-10,1.3203393933736152e-09
