year,son_DET bélier_NOUN
1800,9.432493897065797e-09
1801,3.095537337571841e-08
1802,9.398928568771225e-08
1803,6.436119437402965e-08
1804,1.2359254952798437e-08
1805,9.097208941710733e-08
1806,5.76333825108577e-08
1807,2.8469551160981155e-09
1808,2.2660739951163578e-09
1809,2.9367397402779716e-08
1810,8.190443878675069e-08
1811,6.267691787797958e-08
1812,1.2269157556588084e-07
1813,1.1502966579257645e-08
1814,9.440030979135372e-09
1815,1.1867783378249896e-07
1816,9.270415546325239e-09
1817,3.113746815941454e-09
1818,3.457141417584353e-08
1819,9.315945348475907e-09
1820,2.3732962262101864e-09
1821,2.465372084259343e-08
1822,7.21844344298006e-08
1823,1.8777104315859106e-08
1824,4.7158231097910175e-08
1825,3.258013947515792e-08
1826,1.8496766784892316e-08
1827,8.295545583791863e-09
1828,9.172301140836225e-09
1829,4.286587973467704e-09
1830,1.878630406793036e-08
1831,1.5591206103948707e-09
1832,2.5706941575442954e-08
1833,2.548398292390175e-08
1834,2.333632664885954e-08
1835,5.3697924329298985e-08
1836,1.1425274948351216e-08
1837,2.852735292435682e-08
1838,1.830527018853445e-08
1839,9.088918062616358e-09
1840,1.273937771939515e-08
1841,2.5040138851295524e-08
1842,1.341653010911159e-08
1843,1.1813821976236483e-08
1844,8.232841963717874e-09
1845,8.370341586516616e-09
1846,3.219975752699611e-08
1847,2.6966118227278457e-08
1848,2.494018680465615e-08
1849,8.379414939696517e-10
1850,5.431196825611551e-09
1851,7.094382858952031e-09
1852,7.161600201754936e-09
1853,1.3735443005202796e-08
1854,1.7145692865483397e-08
1855,2.9188154115900034e-08
1856,2.5885945831305435e-08
1857,2.4407546206361985e-08
1858,5.383043621964845e-09
1859,1.7822607167872206e-08
1860,1.2358396167533314e-08
1861,1.1789909493131745e-08
1862,7.228778020618165e-09
1863,1.3485476124674989e-08
1864,1.534312921158687e-08
1865,8.47231973466478e-09
1866,1.897589108068587e-08
1867,1.358787216076962e-08
1868,9.879748019692158e-09
1869,1.7580668476568917e-08
1870,1.0894692259455496e-08
1871,7.434824311758348e-09
1872,8.4662747923403e-09
1873,2.0951015478054558e-08
1874,3.943242088411125e-08
1875,2.0597497041308088e-08
1876,2.539326260375674e-08
1877,1.4225077116236662e-08
1878,2.5968081684979438e-08
1879,1.8327975581655664e-08
1880,9.626769159609694e-09
1881,2.2312024727799695e-08
1882,2.1297232422057277e-08
1883,2.7805091562527195e-08
1884,2.3105939384038265e-08
1885,7.734762663691441e-09
1886,2.9040586824180536e-08
1887,1.9586774424595887e-09
1888,1.9021844099853524e-09
1889,2.318100555953606e-08
1890,3.9326319978272295e-09
1891,1.0198752065093686e-08
1892,7.522214851007902e-09
1893,7.390100087434348e-09
1894,1.764431090123253e-08
1895,1.023164486468886e-08
1896,7.666137447071009e-09
1897,1.3401441401050818e-08
1898,1.3580051749784161e-08
1899,9.949641111006713e-09
1900,1.038210628578895e-08
1901,2.235495621949468e-09
1902,5.892340837476695e-09
1903,9.720396709766987e-09
1904,5.912087708281888e-09
1905,1.5482277349043727e-08
1906,1.0288369267641428e-08
1907,0.0
1908,3.929111258571538e-09
1909,1.1001967115120692e-09
1910,3.206490406526541e-09
1911,4.788336727123976e-09
1912,4.688478938419394e-09
1913,1.3257474229533273e-08
1914,1.0714789944188396e-08
1915,0.0
1916,7.69122365795738e-09
1917,3.289927441585405e-09
1918,2.2972752589112133e-09
1919,6.4454939163738345e-09
1920,2.0445025228355007e-08
1921,1.817459427400081e-08
1922,1.4018077365562931e-08
1923,6.369568872344189e-09
1924,6.445812328337297e-09
1925,5.499089184013428e-09
1926,1.5604593173179637e-08
1927,1.3379070296082318e-08
1928,1.3711249469139375e-08
1929,5.570203187588163e-09
1930,6.302162347537887e-09
1931,1.4826963656844327e-08
1932,1.4247397261968331e-08
1933,6.882397318719313e-09
1934,2.036868629318178e-08
1935,8.377798899061872e-09
1936,1.8187071848529968e-08
1937,6.295559185076627e-09
1938,9.075650453382877e-09
1939,0.0
1940,1.0143131667916805e-08
1941,8.854507793643052e-09
1942,6.068423541449874e-09
1943,5.806470415592457e-09
1944,2.5705489292704442e-08
1945,6.535512131478072e-09
1946,5.568441707737293e-09
1947,7.152522574216391e-09
1948,9.784699273041042e-09
