year,en_ADP oie_NOUN,en_ADP bois_NOUN
1800,3.144164484325529e-09,1.17906165542081e-05
1801,1.666827853519237e-08,1.079866342479363e-05
1802,2.0140561218795483e-08,1.176432579086395e-05
1803,9.751696339321825e-09,1.4262830518418923e-05
1804,1.2359254952798437e-08,1.1924208592972718e-05
1805,3.695740957709859e-08,1.4285460565588437e-05
1806,1.4408345627714425e-08,1.6370762750739232e-05
1807,0.0,1.311876894760644e-05
1808,1.0877154998922833e-07,2.0360674170660786e-05
1809,0.0,1.631471786822658e-05
1810,2.3401266702194334e-08,1.2671785952989012e-05
1811,1.504245972228091e-08,1.3508129995898344e-05
1812,2.6672082320544632e-09,1.7939642930286936e-05
1813,5.751483289628823e-09,1.4223418475012295e-05
1814,1.1642705288750221e-07,1.65704022947466e-05
1815,0.0,1.170055566035444e-05
1816,2.3176038865813098e-09,1.1882355465786532e-05
1817,4.670620334934483e-09,2.1441261196741834e-05
1818,4.768470951432846e-09,1.0661108717613388e-05
1819,4.140420006848444e-09,1.3404609489953145e-05
1820,2.3732962262101864e-09,1.1490313227113802e-05
1821,1.577838126820552e-08,1.018691727949772e-05
1822,1.0025615893027862e-09,1.1876344615302514e-05
1823,1.9765373782121287e-09,1.501575479778694e-05
1824,1.9368560089105813e-08,1.443462952011032e-05
1825,7.924898959288385e-09,1.7187343473779038e-05
1826,3.5231937367541377e-09,1.4962122804718092e-05
1827,1.8434546111834038e-09,1.5673973393859342e-05
1828,7.337841001486822e-09,1.4456463759415783e-05
1829,9.430493719264632e-09,1.5141085896175355e-05
1830,2.0873671680021744e-09,1.7562064385856502e-05
1831,1.5591206103948707e-09,2.0705121642095037e-05
1832,2.0294953273491956e-08,2.81382781395223e-05
1833,2.3167257001688313e-09,2.0550514818751253e-05
1834,3.733812370398937e-09,2.0227927961968817e-05
1835,7.563087933704082e-09,1.8149141396861523e-05
1836,2.016224964762614e-09,1.83221090992447e-05
1837,1.3915781860163179e-09,1.8399447071715258e-05
1838,4.418513332993257e-09,1.7521299014333636e-05
1839,2.0974426639952526e-09,2.177425085392315e-05
1840,5.732719632334238e-09,1.8811600966728292e-05
1841,2.3113974734201292e-08,1.987866016861517e-05
1842,1.341653010911159e-09,1.6513735317857936e-05
1843,1.7720733214154905e-09,1.8937556887976825e-05
1844,3.2931368743049916e-09,2.0618328562704846e-05
1845,3.9061593959388574e-09,1.8201029888587072e-05
1846,2.9272506640865004e-09,2.0090306861675344e-05
1847,7.011190739092399e-09,1.9800681911874563e-05
1848,4.82713291560799e-09,1.633019019209314e-05
1849,1.9272654583346593e-08,1.8548673324403353e-05
1850,6.788996032014438e-09,1.9997667550342157e-05
1851,1.0964046337491595e-08,1.9445058569544926e-05
1852,5.208436348880241e-09,1.88122212421149e-05
1853,1.791579506971175e-08,2.0618692360585555e-05
1854,7.79349651480743e-09,1.8903905584011227e-05
1855,1.0083180512765466e-08,2.1460191419464536e-05
1856,1.3978411317339123e-08,1.7964846847462468e-05
1857,1.4156376515472857e-08,1.869178595370613e-05
1858,1.5659763041853125e-08,1.9072123905061744e-05
1859,2.036869339860914e-09,1.8223869119537994e-05
1860,4.57718396518203e-09,2.2015339709469117e-05
1861,7.073945706981277e-09,1.877896829682868e-05
