year,un_DET anal_ADJ,un_DET banal_ADJ
1800,0.0,3.144164484325529e-09
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,4.475680270843441e-09,0.0
1803,3.900678446910888e-09,3.900678446910888e-09
1804,4.943701892301533e-09,0.0
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,1.729001475325731e-08
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,2.259030518203531e-09,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,0.0,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,3.94459531705138e-09,9.86148829262845e-10
1822,0.0,0.0
1823,9.882686891060644e-10,0.0
1824,0.0,0.0
1825,8.805443041381977e-10,1.7610886082763955e-09
1826,8.807984341885344e-10,8.807984341885344e-10
1827,0.0,9.217273055917019e-10
1828,4.586150570418113e-09,0.0
1829,8.57317605795771e-10,8.57317605795771e-10
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,0.0,5.411987857861789e-09
1833,1.1583628500844156e-09,0.0
1834,0.0,3.733812370398937e-09
1835,2.2689263801112247e-09,7.563087933704082e-10
1836,1.3441500135158435e-09,4.032450096058682e-09
1837,6.957890930081589e-10,2.0873671680021744e-09
1838,6.312161904276081e-10,3.1560809521380406e-09
1839,6.9914751765765e-10,6.9914751765765e-10
1840,6.369688665408546e-10,5.732719632334238e-09
1841,0.0,1.6693427085101575e-08
1842,0.0,1.408735705865638e-08
1843,5.31621990873532e-09,2.953455480181333e-09
1844,5.488561272137815e-10,4.939705144924034e-09
1845,0.0,8.928364714222425e-09
1846,1.1709002656346001e-09,7.025401593807601e-09
1847,3.775256551818984e-09,5.393223645455691e-10
1848,0.0,3.218088684420195e-09
1849,6.703531951757213e-09,9.217356655710773e-09
1850,3.394498016007219e-09,2.7155984128057753e-09
1851,6.449438760824933e-10,9.674158363282004e-09
1852,2.6042181744401205e-09,6.510545436100301e-09
1853,1.1943863675867306e-09,5.971932059978258e-09
1854,1.558699391779328e-09,3.63696517347023e-09
1855,2.653468555990912e-09,1.3798036491152743e-08
1856,0.0,1.863788057221427e-08
1857,4.881509085841174e-10,1.3180074809326925e-08
1858,9.787352039936081e-10,1.0766087576996597e-08
1859,3.055304009791371e-09,9.675129142294736e-09
1860,1.0985241161165504e-08,2.746310379109218e-08
1861,4.715963730639317e-10,2.6880993708733314e-08
1862,4.517986429419807e-09,1.400575744270327e-08
1863,4.994620828036034e-10,9.489779628779615e-09
1864,1.4384183844029508e-09,1.726102105692462e-08
1865,0.0,1.6003271208209213e-08
1866,9.731225825149181e-10,3.503241430280468e-08
1867,1.455843445796745e-09,1.844068364675877e-08
1868,2.9639244392143382e-09,1.531360993567432e-08
1869,1.953407657850903e-09,3.906815315701806e-09
1870,1.1468097582678638e-09,1.548193218070537e-08
1871,1.0621177271019633e-09,1.1683294554032386e-08
1872,6.047339295989218e-10,1.5723081503438152e-08
1873,5.986004469882289e-10,2.8134220286801792e-08
1874,4.779687312606029e-09,1.4339061493728877e-08
1875,2.8607636259891933e-09,2.4030413214859436e-08
1876,2.418405919968336e-09,1.753344314181504e-08
1877,2.4739263970730008e-09,2.535774612510977e-08
1878,3.0195443923020093e-09,1.6305540029293297e-08
1879,1.221865053580018e-09,1.710611030603104e-08
1880,1.2835692508872398e-09,1.2193908105473383e-08
1881,2.7890030285249168e-09,4.113779539238749e-08
1882,6.655385131892899e-10,3.3276925659464496e-09
1883,6.319338941018771e-10,4.3603439081607576e-08
1884,3.9610181801208455e-09,3.498899303622238e-08
1885,1.933690763067375e-09,4.576401479994274e-08
1886,1.2906927748801422e-09,3.1621972595985426e-08
1887,2.6115698492645834e-09,3.590908437267615e-08
1888,2.53624587998047e-09,6.404020691519463e-08
1889,1.2530273485467092e-09,6.202485280937253e-08
1890,1.3108772956016423e-09,4.522526708683472e-08
1891,2.5496880162734215e-09,7.139126267929896e-08
1892,3.1342561879199593e-09,4.764069316820496e-08
1893,1.2316833108982905e-09,3.510297480469049e-08
1894,1.2603078580752936e-09,8.381046967542716e-08
1895,0.0,6.25935887565987e-08
1896,1.7691086373616827e-09,8.137900042726187e-08
1897,2.330685422435863e-09,7.283392022827684e-08
1898,1.6975064687230201e-09,5.149102855206422e-08
1899,2.7637891975018647e-09,6.080335879232734e-08
1900,5.191053142894475e-10,5.91780051628632e-08
1901,1.1177477832191585e-09,6.650599015944891e-08
1902,4.910283846193408e-10,6.727089019165078e-08
1903,0.0,7.290297343587326e-08
1904,2.6873125946735854e-09,8.276922702776801e-08
1905,3.096455536422127e-09,9.289366076359329e-08
1906,1.5432553013283723e-09,6.584556078159665e-08
1907,4.114274698707732e-09,5.1942716794428634e-08
1908,3.437972351250096e-09,9.184297455888668e-08
1909,1.1001967115120692e-09,9.626721353406253e-08
1910,4.809735720812114e-09,8.016226238360957e-08
1911,5.320374141248863e-10,8.086968683596041e-08
1912,1.5628263128064646e-09,1.0991878518495923e-07
