year,en_ADP île_NOUN,en_ADP ile_NOUN,en_ADP bile_NOUN
1800,3.144164395507687e-08,1.2576657937302116e-08,4.4018303668735825e-08
1801,1.0715321963061797e-07,3.095537381980762e-08,8.096020565062645e-08
1802,6.937304419807333e-08,2.2378401354217203e-08,8.056224487518193e-08
1803,3.705644502360883e-08,1.1702035340732664e-08,5.460949736857401e-08
1804,1.557266102736321e-07,4.943701892301533e-09,7.415552971679062e-08
1805,6.254330742194725e-08,1.9900143755080535e-08,2.55858996212055e-08
1806,5.187004603612877e-08,5.76333825108577e-09,3.458002950651462e-08
1807,6.832692633906845e-08,5.693910232196231e-09,2.562259560079383e-08
1808,7.47804418388398e-08,2.2660739951163578e-08,4.5321479902327155e-09
1809,7.454800710071652e-08,6.7770917766551975e-09,2.259030518203531e-09
1810,8.424456154898508e-08,4.680253518074551e-08,5.3822915901946544e-08
1811,6.267691787797958e-08,1.0028307073639553e-08,1.178326058948187e-07
1812,9.868670503010435e-08,8.00162469616339e-09,2.6672083208723052e-08
1813,9.777521370324394e-08,2.5881675469463516e-08,8.339650747757332e-08
1814,9.125363931161701e-08,2.5173416684509675e-08,3.776012391654149e-08
1815,6.74305908887618e-08,5.394447111228828e-09,1.0788894400093341e-07
1816,6.025770460382773e-08,6.952811659743929e-09,5.3304887615013286e-08
1817,9.49692804397273e-08,1.0898113522728181e-08,3.580808893843823e-08
1818,1.1801965627000754e-07,7.152706427149269e-09,6.079800130009971e-08
1819,4.5544620519422097e-08,7.24573512300708e-09,5.072014630513877e-08
1820,1.2222476186707354e-07,3.5599443393152796e-09,9.493184904840746e-09
1821,3.550135829755163e-08,1.0847637010868993e-08,2.5639868894700157e-08
1822,5.714601059025881e-08,7.017931125119503e-09,7.017931125119503e-09
1823,7.313188632451784e-08,6.917880934764753e-09,2.4706716672540097e-08
1824,4.6316120716483056e-08,1.0947446504872005e-08,1.8526447931321854e-08
1825,9.862096272961196e-08,1.4969253392393966e-08,1.2327619813845558e-08
1826,1.3476216054186807e-07,8.807984452907647e-09,3.435113882233054e-08
1827,4.2399456390285195e-08,8.295545805836468e-09,1.6591091167583727e-08
1828,9.630916508740484e-08,8.255071293206129e-09,1.6510142586412258e-08
1829,1.0287811136322489e-07,1.971830476676928e-08,1.8860987438529264e-08
1830,6.575206867864836e-08,8.349468672008697e-09,6.262101504006523e-09
1831,5.456922025359745e-08,1.2472964883158966e-08,1.2472964883158966e-08
1832,6.22378593106987e-08,3.382492252956837e-08,1.2176972319366541e-08
1833,1.3321172898095313e-07,3.590924801954998e-08,1.6217079235048004e-08
1834,8.027696907220161e-08,2.5203233278148218e-08,5.600718555598405e-09
1835,7.638718813041123e-08,1.5882484660778573e-08,4.235329242874286e-08
1836,1.0148332307835517e-07,4.099657502365517e-08,2.755507466645213e-08
1837,7.305785487687899e-08,9.74104708006962e-09,6.262101948095733e-09
1838,5.996553653631054e-08,2.0830134062066463e-08,2.019891809368346e-08
1839,9.088918062616358e-08,1.1186360615589308e-08,9.088918062616358e-09
