year,en_ADP an_NOUN,en_ADP banc_NOUN
1800,4.904896533375336e-07,1.8864987794131594e-08
1801,5.643402785082685e-07,4.7623651688866175e-09
1802,6.064546766992862e-07,2.4616241489638924e-08
1803,5.265915992147541e-07,1.950339267864365e-08
1804,3.6830580740776497e-07,2.4718509905596875e-08
1805,4.918178508894755e-07,0.0
1806,4.3801370352980484e-07,0.0
1807,4.526658616832435e-07,3.131650672116848e-08
1808,5.483899125913183e-07,3.6257183921861724e-08
1809,5.421673359151669e-07,3.388545621874073e-08
1810,5.943921879136838e-07,2.3401267590372754e-09
1811,5.515568854974617e-07,2.2563691359778204e-08
1812,3.6807472891808857e-07,2.400487453257938e-08
1813,4.658701489024253e-07,2.8757416448144113e-09
1814,5.286417530392384e-07,3.1466771410748606e-09
1815,5.529308373386499e-07,6.47333635583891e-08
1816,5.400016984680178e-07,2.0858434979231788e-08
1817,5.433488123873786e-07,6.227493865029743e-08
1818,6.115563999653517e-07,3.5763532135746345e-09
1819,4.896046665869846e-07,1.9666995698663925e-08
1820,5.517913699293331e-07,1.1866481131050932e-08
1821,5.581602378068595e-07,9.861488514673056e-09
1822,5.323601897089247e-07,4.110502516141423e-08
1823,5.33665093671587e-07,4.249555374258307e-08
1824,5.793725446068265e-07,1.0947446504872005e-08
1825,5.60906715518783e-07,4.226612659863349e-08
1826,4.6241916806799566e-07,3.963592831723872e-08
1827,6.286180035952604e-07,9.954654700550236e-08
1828,5.851928263078676e-07,1.8344602503717056e-09
1829,5.735454887134672e-07,1.714635172733736e-08
1830,3.7781346229337487e-07,3.965997530386289e-08
1831,3.80425425827724e-07,2.494592976631793e-08
1832,3.368962461225422e-07,3.6530916958099624e-08
1833,6.544750054127135e-07,2.20088942626262e-08
1834,4.424567656702294e-07,2.8937046536725575e-08
1835,4.4092801942952065e-07,3.932805725526123e-08
1836,3.8913142974550397e-07,2.0834325542562482e-08
1837,4.167776712638016e-07,6.19252319422614e-08
1838,3.888291648657116e-07,4.1660268124132926e-08
1839,4.1669192585302994e-07,1.957613093850341e-08
1840,3.471480304884089e-07,1.2102408852854296e-08
1841,3.7239181560622114e-07,1.4767262079828924e-08
1842,5.138531156134718e-07,3.6224629962333665e-08
1843,3.378753090643727e-07,2.0674188638825086e-08
1844,3.485236398370617e-07,2.4149668931272572e-08
1845,3.5546052618018464e-07,5.0780073479472776e-08
1846,3.2843752117983627e-07,1.7563504428608212e-08
1847,4.0395245015645287e-07,4.0449179117274525e-08
1848,3.1456817606301257e-07,3.218088551193432e-08
1849,4.725990050413742e-07,4.022119171054328e-08
1850,3.91725066606341e-07,2.987158342904195e-08
1851,4.456562066046388e-07,3.7406744590740004e-08
