year,en_ADP eau_NOUN,en_ADP beau_NOUN
1800,3.1787503758096136e-06,7.200136864504714e-07
1801,2.576439555923571e-06,7.524537197767245e-07
1802,1.4859258499200223e-06,5.728870746679604e-07
1803,2.201932985057553e-06,5.519460006819799e-07
1804,3.030489324373775e-06,6.673997325901126e-07
1805,2.771805839074659e-06,5.458325231799677e-07
1806,1.8154515828427975e-06,6.137954970952819e-07
1807,1.3608445215140819e-06,4.270432705233418e-07
1808,1.4004336890138802e-06,5.098666742142655e-07
1809,2.3855361632740824e-06,4.405109450544842e-07
1810,1.8884823020925978e-06,5.499297621724963e-07
1811,1.5669229469494894e-06,8.248282483691582e-07
1812,1.2935960285176407e-06,5.041023327656546e-07
1813,4.155446731601842e-06,5.176334856304976e-07
1814,1.2838443126383936e-06,3.9648131178182666e-07
1815,1.4484090797850513e-06,3.776113031150885e-07
1816,2.1762300548289204e-06,4.6815597443128354e-07
1817,1.3918448757976876e-06,6.429887442482851e-07
1818,1.5902850138971303e-06,3.838619111462549e-07
1819,1.3725492635785486e-06,3.73672905951139e-07
1820,9.97971028482425e-07,3.2988818610135695e-07
1821,1.6942037053269132e-06,3.4712437813055885e-07
1822,1.7294187273364514e-06,4.932603303586802e-07
1823,1.5199573006885458e-06,4.7140416237212435e-07
1824,1.6134852103277808e-06,5.002141216792211e-07
1825,9.906123521474797e-07,4.878215689174681e-07
1826,1.0745741292339517e-06,3.382266076101814e-07
1827,1.295948550250614e-06,3.6131709091336006e-07
1828,1.5776357807917307e-06,3.146099439854666e-07
1829,1.1325165587550146e-06,6.764235691569809e-07
1830,1.4121038334202751e-06,5.072302173836363e-07
1831,1.3642305702887825e-06,4.5994058495146817e-07
1832,1.2853470745533002e-06,5.493167434256208e-07
1833,1.4502702546659307e-06,3.0233270165158643e-07
1834,1.1350789714814624e-06,3.612463457258741e-07
1835,1.5663155323863975e-06,4.681551430962827e-07
1836,1.5007434512881446e-06,3.393978868504455e-07
1837,1.0840394311095736e-06,2.6927038465629494e-07
1838,1.4972448525440996e-06,3.799921559632935e-07
1839,1.4038881772648892e-06,3.4817546934462484e-07
1840,1.4242623365134932e-06,2.796293316897902e-07
1841,1.6276090946121258e-06,3.15890983149103e-07
1842,1.3577528821251406e-06,2.7839301042220654e-07
1843,1.7366319041145495e-06,2.906200236019174e-07
1844,1.482460447732592e-06,2.760746335983555e-07
1845,1.506103540216408e-06,2.9072986312828064e-07
1846,1.391614934398433e-06,3.735171771879209e-07
1847,1.3439913750801225e-06,3.0903170689100534e-07
1848,1.6235256907748408e-06,3.073274683629279e-07
1849,1.2527224966252248e-06,2.8741392399389554e-07
1850,1.2641111135636152e-06,1.9552309016290792e-07
1851,1.2840832823712844e-06,3.360157687648524e-07
1852,9.987177236325806e-07,3.333399263283354e-07
1853,1.5377724897902567e-06,3.613018861869932e-07
1854,1.4958318388380576e-06,3.5538345599661625e-07
1855,1.4493245217295225e-06,3.26907318992653e-07
1856,1.6701612384206754e-06,2.8267454099673017e-07
