year,bon_ADJ office_NOUN
1800,2.0751485863002017e-07
1801,4.929048031954153e-07
1802,3.60292261802897e-07
1803,1.969842600146876e-07
1804,3.4111542390746763e-07
1805,3.610454655245121e-07
1806,2.1900684998854558e-07
1807,2.1921555060089304e-07
1808,2.039466551195801e-07
1809,2.6656559271032165e-07
1810,6.271539518820646e-07
1811,3.710473492901656e-07
1812,2.3471432086807908e-07
1813,2.1855636589407368e-07
1814,3.555745138328348e-07
1815,1.3216394734172354e-07
1816,2.4334840986739437e-07
1817,3.487396327273018e-07
1818,3.7313284906304034e-07
1819,4.947801812704711e-07
1820,6.71642851557408e-07
1821,5.818278054903203e-07
1822,5.53413997295138e-07
1823,5.445360216072004e-07
1824,7.924267038106336e-07
1825,3.275624749221606e-07
1826,4.2366403363303107e-07
1827,2.87578927782306e-07
1828,3.531336005835328e-07
1829,2.3061843990035413e-07
1830,3.64245579476119e-07
1831,2.899964215430373e-07
1832,3.0442430443144985e-07
1833,3.0580778798139363e-07
1834,2.800359197863145e-07
1835,5.112647158966865e-07
1836,4.6238761797212646e-07
1837,3.819882010702713e-07
1838,5.788252224192547e-07
1839,4.509501536631433e-07
1840,3.23580195527029e-07
1841,4.2311415882068104e-07
1842,4.876908974438265e-07
1843,3.2547080763833947e-07
1844,3.584030423553486e-07
1845,3.403939103918674e-07
1846,2.874560038890195e-07
1847,2.53481516665488e-07
1848,3.7008018693995837e-07
1849,1.9021271668862028e-07
1850,4.1412874907109654e-07
1851,2.9602924200844427e-07
1852,2.649792065767542e-07
1853,3.8996714124550635e-07
1854,3.7356826965151413e-07
1855,2.584478409062285e-07
1856,2.95617496703926e-07
1857,3.3877674354698684e-07
1858,3.6066393249711837e-07
1859,3.870051727972168e-07
1860,2.7691962145581783e-07
1861,2.4428692313449574e-07
1862,3.8402882296395546e-07
1863,1.813047418863789e-07
1864,3.039857574549387e-07
1865,2.7017287607122853e-07
1866,2.2625100370987639e-07
1867,2.309938338385109e-07
1868,2.361259845429231e-07
1869,2.739654121342028e-07
1870,2.855556431313744e-07
1871,1.7312518707512936e-07
1872,2.4007937327041873e-07
1873,2.591939960439049e-07
1874,2.3898437007119355e-07
1875,2.465978070631536e-07
1876,3.645747028713231e-07
1877,2.585253184861358e-07
1878,2.3431664430972887e-07
1879,2.455948617807735e-07
1880,3.2410122230430716e-07
1881,2.0847797088663356e-07
1882,2.7553295467441785e-07
1883,2.3128779957914958e-07
1884,1.808865022212558e-07
1885,2.339765785563941e-07
1886,1.6779006273281993e-07
1887,1.6257021684396022e-07
1888,1.7436690313843428e-07
1889,1.5913447271032055e-07
1890,1.3043229785125732e-07
1891,1.7911558813921147e-07
1892,1.5545910514447314e-07
1893,1.0654060389470033e-07
1894,1.1027693602727595e-07
1895,1.2338159649516456e-07
1896,1.3622137373658916e-07
1897,1.0255016036353481e-07
1898,1.5730226721188956e-07
1899,1.4592806962809846e-07
1900,1.5521248997174553e-07
1901,1.3636523021887115e-07
1902,8.691202424415678e-08
1903,7.074288532749051e-08
1904,1.0265534200470938e-07
1905,1.346958100612028e-07
1906,1.1059997007123457e-07
1907,8.177121202379567e-08
1908,7.268855739539504e-08
1909,1.1992143811312417e-07
1910,1.0100444569616229e-07
1911,9.895895658473819e-08
1912,1.0054183263719096e-07
1913,9.969620862193551e-08
1914,9.91118085380549e-08
1915,4.005459075528961e-08
1916,6.59247731960022e-08
1917,3.838248474608008e-08
1918,7.121553124989077e-08
1919,6.813807829075813e-08
1920,8.632343906356255e-08
1921,5.755288157160976e-08
1922,9.369978215545416e-08
1923,7.218844899625765e-08
1924,1.4309702578430006e-07
1925,2.6065680458486895e-07
1926,1.0254447602164873e-07
1927,1.2598624721249507e-07
1928,9.369353648480683e-08
1929,8.578113153134836e-08
1930,1.039856769580183e-07
1931,7.983749839013399e-08
1932,8.329247691563069e-08
1933,4.932384811695556e-08
1934,7.06913212411564e-08
1935,1.041240693666623e-07
1936,5.577368611398015e-08
1937,6.421470288842102e-08
1938,5.315737894306949e-08
1939,4.8940961505650193e-08
1940,3.296517903095264e-08
1941,8.559357667081713e-08
1942,1.1226583751522412e-07
1943,4.935499831049128e-08
1944,6.7476911169706e-08
1945,2.178504132643866e-08
1946,8.07424029858339e-08
1947,5.1259746669529704e-08
1948,6.414413888933268e-08
1949,4.123143426681963e-08
1950,1.0529007710147198e-07
