year,en_ADP or_NOUN,en_ADP bord_NOUN
1800,6.980045327509288e-06,9.432493897065797e-09
1801,6.350614057737403e-06,5.000483582762172e-08
1802,7.655650733795483e-06,1.3427040812530322e-08
1803,5.9017265812144615e-06,9.166594594489652e-08
1804,7.0299442995747086e-06,2.4718509461507665e-09
1805,6.606847819057293e-06,1.7910129201936797e-07
1806,6.8151475716149434e-06,2.5935023018064385e-08
1807,6.0241568462515716e-06,9.394951661079176e-08
1808,6.4809714785951655e-06,0.0
1809,7.76654724177206e-06,6.7770917766551975e-09
1810,5.911160315008601e-06,2.106114038724627e-08
1811,9.31880458665546e-06,3.5099073869560016e-08
1812,6.8013810050615575e-06,1.3336041604361526e-08
1813,6.634335932176327e-06,1.5241430517676235e-07
1814,5.903166311327368e-06,3.1466772298927026e-08
1815,1.0122679668711498e-05,1.6183340889597275e-08
1816,5.3258536354405805e-06,6.952811659743929e-09
1817,5.930131010245532e-06,1.2454987263765815e-08
1818,5.1046481530647725e-06,1.5259107044585107e-07
1819,7.2146817728935275e-06,1.3456364911235141e-08
1820,6.727108029735973e-06,2.8479554714522237e-08
1821,6.427718290069606e-06,1.7750679148775816e-08
1822,8.022498150239699e-06,1.1028177482330648e-08
1823,6.740980552422116e-06,2.4706716672540097e-08
1824,6.967628451093333e-06,1.51580028528997e-08
1825,7.2732959779386874e-06,4.138558362676292e-08
1826,8.379035534744617e-06,4.7563116112314674e-08
1827,7.899203410488553e-06,1.4747637222534138e-08
1828,6.4774790189403575e-06,2.384798314380987e-08
1829,6.618492079724092e-06,1.457439946506156e-08
1830,8.751287168706767e-06,1.1480519646056564e-08
1831,6.476586804637918e-06,2.6505050598757407e-08
1832,7.179001840995625e-06,3.5177919244233635e-08
1833,7.363712484220741e-06,1.7375443306377747e-08
1834,6.873015081509948e-06,2.6136685704614138e-08
1835,7.255270247696899e-06,6.050470346963266e-09
1836,6.864574061182793e-06,1.2097349788575684e-08
1837,7.021207693469478e-06,3.965997741328664e-08
1838,7.056365575408563e-06,1.0730675015224733e-08
1839,7.455709237547126e-06,1.0487212875887053e-08
1840,7.969754733494483e-06,7.0066574764382494e-09
1841,7.788125003571622e-06,6.420548537278137e-09
1842,7.114786058082245e-06,8.049918065466954e-09
1843,7.359420578723075e-06,1.5357969118667825e-08
1844,6.799778475397034e-06,1.756339607084101e-08
1845,7.008766260696575e-06,1.0602432709561072e-08
1846,7.009009095781948e-06,8.781752214304106e-09
1847,8.276440894405823e-06,2.2651539310913904e-08
1848,6.6855791374109685e-06,1.0458788002321029e-08
1849,5.945194970990997e-06,1.1731180693530519e-08
1850,7.818886842869688e-06,3.8018377779280854e-08
1851,7.19241415936267e-06,1.805842941848823e-08
1852,8.220215022447519e-06,1.1067927019325907e-08
1853,8.5852489064564e-06,1.5527023000672102e-08
1854,7.341993295995053e-06,1.4028294081924741e-08
1855,7.917419679870363e-06,1.1675261646360013e-08
1856,8.091428753687069e-06,1.0872097000458325e-08
1857,8.515304216416553e-06,2.9289054737091647e-08
1858,8.358888408110943e-06,1.565976326389773e-08
1859,7.205934707599226e-06,2.34239969643113e-08
1860,8.530039849574678e-06,1.0985241161165504e-08
1861,8.377909580303822e-06,1.3204698667834691e-08
1862,9.247414709534496e-06,4.9697850279528666e-09
1863,7.2911475399450865e-06,7.991393324857654e-09
1864,7.302370704564964e-06,1.1986819536957682e-08
1865,7.4099853009101935e-06,2.165148416111151e-08
1866,8.710906513442751e-06,9.244664589402873e-09
1867,9.209665222442709e-06,1.7955402498159856e-08
1868,8.792975677351933e-06,4.198892966655876e-08
1869,6.798835329391295e-06,8.790334682373668e-09
1870,7.445089067914523e-06,1.490852596930381e-08
1871,6.073189069866203e-06,1.1683295220166201e-08
1872,7.06631590219331e-06,1.9351485747165498e-08
1873,8.139169949572533e-06,2.8732820567256567e-08
1874,7.414490028168075e-06,3.2860349108432274e-08
1875,7.726350304437801e-06,5.149374260327022e-09
1876,7.484966317861108e-06,2.478866001354163e-08
1877,9.371233318233863e-06,1.36065949618569e-08
1878,1.0096752703248058e-05,9.662541877730746e-09
1879,9.032026355271228e-06,1.8327976358811782e-08
1880,7.997919965418987e-06,1.2193908105473383e-08
1881,1.044342207023874e-05,2.154504805673696e-07
1882,7.564510724478168e-06,1.0648616211028639e-08
1883,9.607290849089622e-06,6.319338829996468e-09
1884,7.816409379302058e-06,9.242375753615306e-09
1885,9.4944216471049e-06,8.379326565943757e-09
1886,9.35300522542093e-06,1.8715045013717457e-08
1887,7.971164450282231e-06,6.528924567650307e-09
1888,8.393071766477078e-06,4.12139939953704e-08
1889,8.273739695141558e-06,1.566284169030041e-08
1890,7.080048362695379e-06,2.4906668727453507e-08
1891,8.761365279497113e-06,1.0836173736095134e-08
1892,9.089342711376958e-06,1.5671280939599797e-08
1893,9.538771337247454e-06,2.5249507429325746e-08
1894,1.042841722664889e-05,1.6384001710889606e-08
1895,9.170563316729385e-06,1.5648398132839247e-08
1896,9.294896699429955e-06,1.0024948871034667e-08
1897,1.0751451554824598e-05,1.3984112534615178e-08
1898,8.204048754123505e-06,1.5277558773618694e-08
1899,8.074133802438155e-06,1.5477219506010442e-08
1900,9.301328645960893e-06,5.19105292084987e-09
1901,7.562681275885552e-06,2.0119459875900247e-08
1902,7.296681815205375e-06,2.9952730795645977e-08
1903,7.375620953098405e-06,1.83607493653426e-08
1904,6.838135504949605e-06,1.7736263124845664e-08
1905,7.16468184691621e-06,1.4966200723165457e-08
1906,7.4348899943288416e-06,1.286046086290682e-08
1907,7.372780146397417e-06,2.8799922446864912e-08
1908,7.036056103970623e-06,3.3888585937447147e-08
1909,6.1825553530070465e-06,1.5952852705503062e-08
1910,6.2622757468489e-06,1.710128205711925e-08
1911,6.615885467908811e-06,2.2877609140437016e-08
1912,6.261724138312275e-06,1.8232974852150363e-08
1913,6.590555585717084e-06,1.2727175757731857e-08
1914,7.541872946603689e-06,1.7411533548283842e-08
1915,8.198232535505667e-06,1.4136913861761968e-08
1916,7.160529094107915e-06,1.867868548721674e-08
1917,5.998634151183069e-06,1.4256351654751143e-08
1918,5.382516064855736e-06,1.2635013924011673e-08
1919,6.98139047017321e-06,1.841569702287771e-08
1920,7.841045771783683e-06,1.514446346106979e-08
1921,7.103237294359133e-06,1.817459427400081e-08
1922,8.12753387435805e-06,4.205423209668879e-08
1923,8.043703928706236e-06,1.8047112249064412e-08
1924,8.326700481120497e-06,3.0939897754933554e-08
1925,8.824938049656339e-06,2.74954441437103e-08
1926,8.1400248745922e-06,1.2260752413340015e-08
1927,8.067579074122477e-06,1.7838759802657478e-08
1928,8.855182386469096e-06,2.170947865920425e-08
1929,1.1270749382674694e-05,2.6736975300423182e-08
1930,7.525831733801169e-06,2.10072066408884e-08
1931,7.273195933521492e-06,4.790249619190945e-08
1932,7.509474471589783e-06,3.3974563717897865e-08
1933,7.3159885687346105e-06,1.7205993074753678e-08
1934,7.547197128587868e-06,2.3963160344919743e-08
1935,7.015808023425052e-06,1.4361940969820353e-08
1936,6.872288395243231e-06,1.576212937948185e-08
1937,7.155532330216374e-06,2.0145789036973838e-08
1938,6.883232344989665e-06,2.3337385357535823e-08
1939,7.052086857584072e-06,3.364691192331293e-08
1940,5.931196028541308e-06,4.81798743123818e-08
1941,5.746575425291667e-06,4.7224041566096275e-08
1942,5.1793995226034895e-06,3.6410540360520827e-08
1943,5.707760465156753e-06,2.0322646676618206e-08
1944,6.905137070134515e-06,2.8918675454292497e-08
1945,6.2893413996789604e-06,3.921307367704685e-08
