year,son_DET os_NOUN
1800,8.489244018861086e-08
1801,7.143547975374531e-08
1802,4.4756802708434407e-08
1803,9.751696161686141e-08
1804,4.449331569844617e-08
1805,1.2224374756897305e-07
1806,2.881669036725043e-08
1807,4.27043254092041e-08
1808,4.078933146800523e-08
1809,2.25903047379461e-08
1810,9.360507036149102e-09
1811,5.264861169251844e-08
1812,5.067695596494559e-08
1813,2.8757416448144113e-09
1814,3.1466772298927026e-08
1815,6.74305908887618e-08
1816,4.4034472068688046e-08
1817,8.56280379935015e-08
1818,2.8610825708597076e-08
1819,2.794783426907088e-08
1820,5.577246042776096e-08
1821,5.029358973729359e-08
1822,8.421517350143404e-08
1823,3.5577674140085946e-08
1824,6.063201229977722e-08
1825,4.6668849229547504e-08
1826,9.688783109140786e-09
1827,3.594736419643141e-08
1828,4.5861507036448756e-08
1829,5.3153691226270894e-08
1830,7.827626902212614e-08
1831,6.236482352761641e-08
1832,6.088486204092192e-08
1833,1.7375443306377747e-08
1834,6.440826272324784e-08
1835,6.958040899007756e-08
1836,7.123994966162783e-08
1837,3.687682137432091e-08
1838,4.3553918693817195e-08
1839,2.4470162784950844e-08
1840,2.5478755105723394e-08
1841,2.3113974734201292e-08
1842,2.2137275124123335e-08
1843,4.252976149032861e-08
1844,3.0735944511750546e-08
1845,6.249855344364619e-08
1846,3.337065868080913e-08
1847,8.089835468183537e-09
1848,2.4135664911106858e-08
1849,2.1786478399121734e-08
1850,2.647708452485631e-08
1851,2.3862924081186065e-08
1852,3.3854835823632357e-08
1853,2.209614846648833e-08
1854,3.429138506483298e-08
1855,4.404757802944914e-08
1856,1.55315674765788e-08
1857,2.2943092758964667e-08
1858,8.319249067412215e-09
1859,4.0228169240208445e-08
1860,3.112485041922852e-08
1861,2.5937800574027392e-08
1862,2.4397126541231273e-08
1863,1.9479021284851683e-08
1864,4.075518855728433e-08
1865,1.976874619558089e-08
1866,1.897588974841824e-08
1867,4.464586567110018e-08
1868,3.5073104531768706e-08
1869,3.369628132077196e-08
1870,4.415217436104513e-08
1871,1.6993884077720622e-08
1872,3.5679300403046454e-08
1873,3.17258221360639e-08
1874,3.0470507450530704e-08
1875,4.348360488348746e-08
1876,1.9951847951560353e-08
1877,3.5871931536313184e-08
1878,2.1740719446938783e-08
1879,4.093247962799751e-08
1880,4.1074216472480884e-08
1881,4.2532296407049586e-08
1882,2.1962770713201962e-08
1883,2.401348719871521e-08
1884,2.706695756415911e-08
1885,6.123353757381267e-08
1886,3.033128054275025e-08
