year,bien_ADV banal_ADJ
1936,3.394919900756577e-08
1937,2.5182236740306507e-08
1938,4.6674770715071645e-08
1939,2.4470480752825097e-08
1940,1.7750480196809804e-08
1941,4.132103770260187e-08
1942,4.5513175450651033e-08
1943,7.258088197126256e-08
1944,3.213186161588055e-08
1945,3.267756198965799e-08
1946,3.897909195416105e-08
1947,2.9802176726434482e-08
1948,3.696441908118686e-08
1949,3.5341230386620737e-08
1950,2.6588404367089424e-08
1951,4.157946520422229e-08
1952,2.5307528517259925e-08
1953,2.2625037843226892e-08
1954,3.127211556375187e-08
1955,1.9709776921672528e-08
1956,4.447782231409292e-08
1957,2.6505112771246786e-08
1958,3.7225095728121715e-08
1959,2.2477168570844697e-08
1960,3.875666521047094e-08
1961,3.47407969059077e-08
1962,2.7904608401740916e-08
1963,5.754787302247877e-08
1964,4.4412967525886415e-08
1965,3.009623839034248e-08
1966,3.4342264476627804e-08
1967,3.007504723040455e-08
1968,4.177016860174021e-08
1969,4.4055050607560986e-08
1970,4.8746485958872654e-08
1971,3.391342329184255e-08
1972,4.360624994426132e-08
1973,4.410562937096074e-08
1974,3.319087416020494e-08
1975,4.226495242676265e-08
1976,3.370980994343853e-08
1977,3.643604779002274e-08
1978,2.970295653881294e-08
1979,2.691907674545746e-08
1980,5.400893077212032e-08
1981,6.262293933412266e-08
1982,4.593551850007316e-08
1983,4.16810870262907e-08
1984,4.6971969980269535e-08
1985,5.474157982465755e-08
1986,4.016305155118971e-08
1987,5.010869807975382e-08
1988,4.3774842861665775e-08
1989,4.500260042394899e-08
1990,4.467893749415808e-08
1991,3.751337729340776e-08
1992,3.801861381269589e-08
1993,4.3205818145430896e-08
1994,3.006708115815826e-08
1995,3.7414911779887206e-08
1996,3.3629980578098184e-08
1997,4.075660342550691e-08
1998,2.9562400527538557e-08
1999,3.153438754566196e-08
2000,3.9762284353983546e-08
2001,3.8116543477073606e-08
2002,3.548789351270898e-08
2003,3.9169076870848585e-08
2004,3.920264135537366e-08
2005,4.053374524914943e-08
2006,2.7178073125355695e-08
2007,2.8760252845927425e-08
2008,3.618823640749724e-08
2009,4.196009384394017e-08
2010,3.8262722767967716e-08
2011,3.4033350304607524e-08
2012,3.234040235611246e-08
2013,3.0122549787847674e-08
2014,4.027728051081425e-08
2015,3.2583657216811446e-08
2016,3.6248449131193183e-08
2017,2.1382696502314502e-08
2018,3.1235746322799685e-08
2019,2.7295569693386312e-08
