year,mon_DET an_NOUN,mon_DET banc_NOUN
1800,1.8864986461863964e-08,9.432493897065797e-09
1801,1.6668278313147766e-08,2.3811825844433088e-09
1802,1.3427040812530322e-08,4.475680270843441e-09
1803,4.290746247193056e-08,1.950339223455444e-09
1804,7.4155528384522995e-09,0.0
1805,1.1371510844071508e-08,1.1371510844071508e-08
1806,1.152667650217154e-08,5.76333825108577e-09
1807,2.562259604488304e-08,3.4163461393177386e-08
1808,1.5862517521725295e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,1.3554183553310395e-08
1810,2.3401267590372754e-09,9.360507036149102e-09
1811,1.7549537378869218e-08,2.5070767684098882e-09
1812,1.0668832928217853e-08,8.00162425207418e-09
1813,1.4378708224072057e-08,2.8757416448144113e-09
1814,2.5173417128598885e-08,2.2026739543434815e-08
1815,3.236668266737297e-08,5.664169577812572e-08
1816,1.1588019432906549e-08,2.3176038865813098e-08
1817,4.670620334934483e-09,2.80237220096069e-08
1818,1.4305412632253933e-08,2.2650237685439834e-08
1819,6.210630232317271e-09,8.280840013696888e-09
1820,2.254631414899677e-08,1.779972080839798e-08
1821,2.7612166775270452e-08,2.5639868894700157e-08
1822,7.017931125119503e-09,1.7043547018147365e-08
1823,5.929612023614084e-09,2.7671523739059012e-08
1824,1.1789557774477544e-08,1.0105335235266466e-08
1825,1.8491430164857547e-08,4.842993561737785e-08
1826,1.0569581432307018e-08,1.6735169694470642e-08
1827,3.6869092223668076e-09,3.6869092223668076e-09
1828,1.0089531266022078e-08,2.4765213879618386e-08
1829,1.5431717126368483e-08,3.257806824308318e-08
1830,1.8786305178153384e-08,2.9223140574075046e-08
1831,7.795602829929749e-09,4.8332740476553226e-08
1832,1.894195755802741e-08,2.30009471469117e-08
1833,1.3900354645102198e-08,6.370995642157595e-08
1834,1.0267984462686286e-08,8.121041616959701e-08
1835,1.5126175867408165e-08,2.4201881387853064e-08
1836,1.6129799718100912e-08,2.6882999992761114e-08
1837,3.478945576063097e-09,5.287997151270929e-08
1838,3.1560809521380406e-09,2.9035945203759184e-08
1839,2.9364194964465185e-08,4.6842885126352485e-08
1840,9.554533331179726e-09,4.0129037870428874e-08
1841,2.0545755763379248e-08,2.5040138407206314e-08
1842,1.0062398025922903e-08,3.6895457355967665e-08
1843,2.953455535692484e-09,5.43435816346971e-08
1844,4.939705144924034e-09,4.281077892187568e-08
1845,8.370341586516616e-09,5.970844085823046e-08
1846,1.0538102390711401e-08,7.493761389198994e-08
1847,4.853901280910122e-09,3.883120847092414e-08
1848,1.3676876908785829e-08,2.9365060161268275e-07
1849,1.6758829879393033e-09,2.647895107621423e-07
1850,8.146795238417326e-09,1.6293590476834652e-07
