year,mon_DET aveu_NOUN
1800,2.955514704083839e-07
1801,4.881424402469747e-07
1802,2.7973001692771504e-07
1803,3.627630924540881e-07
1804,4.3998945642442777e-07
1805,2.587018703703592e-07
1806,4.495403764792627e-07
1807,1.3380688779207617e-07
1808,1.6542339809078044e-07
1809,3.0496912817312705e-07
1810,4.1420244656364957e-07
1811,2.2062275562007017e-07
1812,1.7603574198332694e-07
1813,2.1855636100909237e-07
1814,2.6746754766548975e-07
1815,2.1038343334112142e-07
1816,1.0660977700638341e-07
1817,3.9388896055925215e-07
1818,3.9816732844144553e-07
1819,2.7223260445907727e-07
1820,4.402464419683838e-07
1821,4.901159620374074e-07
1822,3.8698875926002074e-07
1823,3.4391751491114064e-07
1824,3.6716052775886965e-07
1825,2.9498233367064586e-07
1826,2.2988838610515927e-07
1827,2.6914437789571366e-07
1828,2.8067241863993786e-07
1829,1.91181831254994e-07
1830,2.8388194017736623e-07
1831,2.603731559247535e-07
1832,2.1377351366869135e-07
1833,1.8649642008483625e-07
1834,2.4083089567028537e-07
1835,2.1781693959610493e-07
1836,2.3321003395082585e-07
1837,1.4611570420264286e-07
1838,1.641162095111781e-07
1839,1.5101586159360636e-07
1840,1.2930468074046075e-07
1841,1.5024083221959472e-07
1842,1.2544455429974732e-07
1843,1.0927785343284313e-07
1844,1.306277621626606e-07
1845,1.2443908481429844e-07
1846,1.3289718725495447e-07
1847,6.795461438002803e-08
1848,6.033916377656823e-08
1849,9.133562173246901e-08
1850,9.979824344696908e-08
1851,9.02921444279059e-08
1852,1.3802356124692494e-07
1853,6.867721635828161e-08
1854,9.404152345737771e-08
1855,1.056080485284383e-07
1856,9.836659664586023e-08
1857,1.342415032468125e-07
1858,1.1646948783194944e-07
1859,1.308688548640191e-07
1860,8.330474576823121e-08
1861,1.428936986513918e-07
1862,1.8162305126523393e-07
1863,1.5333486125257423e-07
1864,1.5151340015950865e-07
1865,1.3226232831176077e-07
1866,1.0655692150862706e-07
1867,9.220342178650753e-08
1868,1.2794274084626522e-07
1869,1.0792577631590916e-07
1870,8.945116292125022e-08
1871,6.79755369770163e-08
1872,1.0885210954825197e-07
1873,1.5982632478594994e-07
1874,1.1889472228965303e-07
1875,1.6706859184978384e-07
1876,9.975924419869386e-08
1877,1.206039118573088e-07
1878,1.1353486639720245e-07
1879,1.038585284440785e-07
1880,9.498412767428022e-08
1881,9.203710021887801e-08
1882,1.178003163904151e-07
1883,1.2259517601087566e-07
1884,9.110341903095787e-08
1885,5.156508664505566e-08
1886,1.1551699991008135e-07
1887,7.442973837257227e-08
1888,5.833365390728318e-08
1889,7.643466526374709e-08
1890,6.816561892719619e-08
1891,5.099376210182527e-08
1892,6.895363879877436e-08
1893,5.4194064791346364e-08
1894,7.057724360493012e-08
1895,5.11582243234443e-08
1896,1.1204355065963512e-07
1897,6.758987824984075e-08
1898,5.997856100670163e-08
1899,7.793885714590942e-08
1900,6.021621645757591e-08
1901,6.315274725388065e-08
1902,3.633610179409885e-08
1903,3.942160753389601e-08
1904,3.9772224624812225e-08
1905,5.1607592199687247e-08
1906,7.459067230541905e-08
1907,4.782844464923386e-08
1908,6.483033532234117e-08
1909,6.326131174461125e-08
1910,5.9320073297897125e-08
1911,7.235708876507374e-08
1912,7.241095606458359e-08
1913,5.090870264234937e-08
1914,6.830678245250965e-08
1915,4.947920095865754e-08
1916,3.29623865980011e-08
1917,5.812205117194935e-08
1918,6.317506784370153e-08
1919,4.5118457525639144e-08
1920,5.754896292842204e-08
1921,5.0737407830681036e-08
1922,6.197465785007239e-08
1923,4.140219811432644e-08
1924,7.734974616369072e-08
1925,6.268961372235538e-08
1926,8.025219688789775e-08
1927,7.692964887340281e-08
1928,7.312666294723158e-08
1929,6.015819353777374e-08
1930,5.8820178949758883e-08
1931,4.790249708008787e-08
1932,7.233294008202051e-08
1933,3.785318369864399e-08
1934,7.188947925840239e-08
1935,5.984141981940638e-08
1936,4.364897421282876e-08
1937,4.280980003823487e-08
1938,5.056433738381827e-08
1939,3.6705722017416065e-08
1940,2.2822046474857416e-08
1941,2.066051907334554e-08
1942,5.461581054078124e-08
1943,2.9032351633873077e-08
1944,4.177142187700156e-08
1945,6.099811278303946e-08
1946,5.290019799986112e-08
1947,4.8875572700168846e-08
1948,4.67491183542279e-08
1949,6.5773954949222e-08
1950,7.019338865710267e-08
1951,8.42250769128583e-08
1952,4.639713624410291e-08
1953,4.848222190378948e-08
1954,3.811289173150101e-08
1955,4.411235732248997e-08
1956,5.145473380707699e-08
1957,3.445664731316356e-08
1958,5.873292918678885e-08
1959,6.278105901813547e-08
1960,6.574791600044705e-08
1961,4.863711433600315e-08
1962,5.8980195671853863e-08
1963,6.983337363930531e-08
1964,5.414731751862689e-08
1965,6.730613338890024e-08
1966,4.597432190500683e-08
1967,5.078245468581599e-08
1968,8.578604382414312e-08
1969,6.494713988836054e-08
1970,4.736686776141141e-08
1971,6.782684414119444e-08
1972,4.6684335952562606e-08
1973,4.07977067684584e-08
1974,4.331690073300365e-08
1975,2.341706828445922e-08
1976,2.913898611289767e-08
1977,2.762087519814216e-08
1978,5.287126236819262e-08
1979,3.686743288433547e-08
1980,3.6384963542079873e-08
1981,3.0362638236969275e-08
1982,2.9796011435934133e-08
1983,3.536576898000021e-08
1984,4.40724630124123e-08
1985,3.489023725489204e-08
1986,5.63481648008235e-08
1987,3.483165755824302e-08
1988,4.0776565901623485e-08
1989,4.11609154538084e-08
1990,3.0512445903241314e-08
1991,2.7548885839223658e-08
1992,2.479474914274249e-08
1993,3.378916579865887e-08
1994,2.584714109410413e-08
1995,2.8738989577004048e-08
1996,2.6690460730449672e-08
1997,3.979762241979046e-08
1998,2.1933394545037288e-08
1999,4.02177706693152e-08
2000,2.8717204725303702e-08
2001,3.154472394406582e-08
2002,3.0668551032064784e-08
2003,3.0418538132792605e-08
2004,4.4047911762490344e-08
2005,3.467887088604016e-08
2006,5.476793596415064e-08
2007,4.0344243501522215e-08
2008,4.0871421358446014e-08
2009,2.7178696626606325e-08
2010,4.771031081318711e-08
2011,4.397567598957153e-08
2012,6.059569823690936e-08
2013,7.084377529054109e-08
2014,9.852775839647165e-08
2015,1.1282368728160463e-07
2016,1.2117339576178665e-07
2017,1.1923997789153873e-07
2018,1.481761859878361e-07
2019,1.7091618254028162e-07
