year,son_DET office_NOUN,son beau - fils
1800,5.47084626489891e-07,1.1712212710790482e-07
1801,7.976961811095862e-07,1.595139593746353e-07
1802,9.130387752520619e-07,9.854017157806538e-09
1803,7.586819812388512e-07,9.857135818691631e-08
1804,6.476249403419843e-07,9.242578613566366e-08
1805,8.187487869903975e-07,2.341676310635421e-07
1806,9.595958196939591e-07,2.907137002239324e-07
1807,1.5031923279451576e-06,1.6509227407368599e-07
1808,1.2939282285628906e-06,2.0419215029932047e-07
1809,9.555699378438476e-07,1.729671481598416e-07
1810,8.518061136442157e-07,1.0513590353866675e-07
1811,1.0554793021810838e-06,1.9315123722662975e-07
1812,9.121851878290954e-07,1.34362181825054e-07
1813,9.950066015562697e-07,1.4161794648082093e-07
1814,9.219763796863845e-07,2.304383741602578e-07
1815,1.3081533847270066e-06,2.0990564397749267e-07
1816,1.1240378814392216e-06,9.372620723979708e-08
1817,9.092140427213735e-07,2.371511840237872e-07
1818,1.035950271344177e-06,2.919443373716746e-07
1819,1.1893356983705416e-06,2.634319002936536e-07
1820,1.1913947375319367e-06,2.317822103137246e-07
1821,1.1044867331833075e-06,2.462473398523457e-07
1822,1.12587660794361e-06,2.7302257787908957e-07
1823,1.5594879752001134e-06,2.828518574915506e-07
1824,1.8248551505450905e-06,1.7640073224356456e-07
1825,1.696808896056723e-06,1.5665448227508705e-07
1826,1.8461535025160458e-06,6.621697155040351e-07
1827,1.8323939379172316e-06,2.4044963886638016e-07
1828,1.3015495206047945e-06,1.8542750268579766e-07
1829,1.2182483355438478e-06,1.2643416780200312e-07
1830,1.293123957246678e-06,2.100161395901523e-07
1831,1.06176110303835e-06,1.7970206245276898e-07
1832,1.273170077031871e-06,1.6457162210770093e-07
1833,1.1212952921724195e-06,2.1545425266111806e-07
1834,1.1257444425538665e-06,1.8104875298963208e-07
1835,1.5731222617887397e-06,2.589477015035868e-07
1836,2.1318219491917034e-06,2.6436562983178646e-07
1837,1.5815286165121734e-06,2.2924783582567443e-07
1838,2.0022177249501283e-06,3.1520673982043945e-07
1839,1.778631249393925e-06,2.3233439172543058e-07
1840,2.012821659569397e-06,2.6442450096197945e-07
1841,1.7617985328399755e-06,1.6356111354198788e-07
1842,1.982292267221908e-06,1.9438300569163403e-07
1843,1.9717269106322988e-06,1.690994753111852e-07
1844,1.9303269667148015e-06,2.614996472694031e-07
1845,1.6138018930078601e-06,1.8911254784370612e-07
1846,1.8271899016042426e-06,2.556235356721004e-07
1847,2.301288530404122e-06,2.1206158962172594e-07
1848,1.8777547623471946e-06,2.1582089937410842e-07
1849,1.636499728618901e-06,1.22017013381992e-07
1850,1.768533457457977e-06,1.9986879351563402e-07
1851,1.8593732500349347e-06,1.8140520952059092e-07
1852,1.875037071386032e-06,1.3054363989795092e-07
1853,1.6954314165928963e-06,1.3727788461537216e-07
1854,2.0102026310198085e-06,1.4776278622896655e-07
1855,1.979487567638216e-06,2.0827680691226647e-07
1856,1.6546297274544486e-06,1.916845420169011e-07
1857,1.7241490510855328e-06,1.802847950926889e-07
1858,1.792064153960382e-06,1.9513996085684937e-07
1859,1.7354126775614986e-06,2.5753083710000624e-07
1860,1.606133789522346e-06,2.754872219234983e-07
1861,1.5119380210038003e-06,1.420056974232864e-07
1862,1.4073526966029704e-06,1.376401712605002e-07
1863,2.0403026823601067e-06,1.9353624858275964e-07
1864,1.950974853670573e-06,1.6483554432511482e-07
1865,2.336948125680749e-06,1.9451712685025768e-07
1866,1.5112593150234943e-06,1.761971080149749e-07
1867,1.8164073143367432e-06,1.6874962016633077e-07
1868,1.670171421608302e-06,1.7528113493980868e-07
1869,1.6794422101895634e-06,1.5482633375363264e-07
