year,certain_ADJ office_NOUN
1800,0.0
1801,9.524730337773235e-09
1802,3.3567602031325805e-08
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,2.881669125542885e-09
1807,8.540865792383556e-09
1808,0.0
1809,4.518061036407062e-09
1810,2.3401267590372754e-09
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,1.5497530370112145e-08
1819,0.0
1820,1.0679833017945839e-08
1821,7.88919063410276e-09
1822,7.017931125119503e-09
1823,6.917880934764753e-09
1824,0.0
1825,1.0566531649658373e-08
1826,7.927186018719112e-09
1827,1.013900075008678e-08
1828,8.255071293206129e-09
1829,0.0
1830,3.1310507520032616e-09
1831,6.236482441579483e-09
1832,4.058990921151917e-09
1833,5.791814139399776e-09
1834,6.534171426153534e-09
1835,8.31939672707449e-09
1836,1.2097349788575684e-08
1837,5.5663127440652715e-09
1838,1.8936486156917454e-08
1839,6.9914749545318955e-09
1840,7.64362617644565e-09
1841,0.0
1842,2.0124795163667386e-09
1843,5.906911071384968e-10
1844,5.488561161115513e-09
1845,0.0
1846,2.9272506640865004e-09
1847,4.314578916364553e-09
1848,4.82713291560799e-09
1849,6.703531951757213e-09
1850,6.788996032014438e-10
1851,5.8044946626978344e-09
1852,9.114764054629632e-09
1853,1.134667093616315e-08
1854,1.558699302961486e-08
1855,0.0
1856,4.141751386299575e-09
1857,2.9289055625270066e-09
1858,9.787352039936081e-10
1859,8.656694916453489e-09
1860,1.373155145145688e-09
1861,4.715963730639317e-10
1862,1.0843167252971853e-08
1863,2.4973103585068657e-09
1864,4.794728170054441e-09
1865,9.88437331983505e-09
1866,6.811858188626729e-09
1867,4.367530337390235e-09
1868,2.4699371437009177e-09
1869,5.371870948067681e-09
1870,7.454262984651905e-09
1871,0.0
1872,1.2094679036067646e-08
1873,2.9930022904522957e-09
1874,5.377148060148329e-09
1875,4.005069165202713e-09
1876,4.232210137899983e-09
1877,3.710889595609501e-09
1878,6.6429977074733415e-09
1879,6.109325489944695e-09
1880,0.0
1881,0.0
1882,1.3310770263785798e-09
1883,3.159669414998234e-09
1884,6.601696966868076e-10
1885,5.80107206715752e-09
1886,9.034849535183298e-09
1887,4.570247291724172e-09
1888,1.9021844099853524e-09
1889,2.5060546970934183e-09
1890,0.0
1891,0.0
1892,3.1342561879199593e-09
1893,6.158416554491453e-10
1894,3.780923574225881e-09
1895,1.2037228991346183e-09
1896,5.897029087265082e-09
1897,1.1653427112179315e-09
1898,2.26334195829736e-09
1899,2.7637891975018647e-09
1900,2.595526460424935e-09
1901,3.912117296778206e-09
1902,0.0
1903,1.6200660812870638e-09
1904,1.6123875568041512e-09
1905,3.096455536422127e-09
1906,2.0576738091193647e-09
1907,5.65712765521198e-09
1908,4.4202499438483756e-09
1909,4.400786846048277e-09
1910,5.344150677544235e-10
1911,5.3203743632934675e-09
1912,0.0
1913,5.833288518886093e-09
1914,2.678697486047099e-09
1915,0.0
1916,1.0987462051303964e-09
1917,0.0
1918,0.0
1919,9.207848372660976e-10
1920,9.086678076641874e-09
1921,0.0
