year,un_DET os_NOUN,un_DET boss_NOUN
1800,2.417862518200309e-06,0.0
1801,2.7907460875553625e-06,0.0
1802,1.915591184342702e-06,0.0
1803,3.1400461324437856e-06,0.0
1804,1.8464726387890096e-06,2.4718509461507665e-09
1805,3.994243002125586e-06,0.0
1806,1.2304727619039113e-06,0.0
1807,1.0249038240317532e-06,0.0
1808,1.3415158228724522e-06,0.0
1809,1.091111763606989e-06,2.259030518203531e-09
1810,1.1232608265743238e-06,0.0
1811,1.2535383717704462e-06,0.0
1812,4.134172684189252e-06,0.0
1813,2.4300017926748296e-06,0.0
1814,2.3002209843525634e-06,0.0
1815,2.130806553424236e-06,0.0
1816,3.3419847085269794e-06,0.0
1817,1.4401079226900038e-06,0.0
1818,2.961220438635337e-06,0.0
1819,2.267914958054007e-06,0.0
1820,1.4868700404235824e-06,0.0
1821,1.4782371335897437e-06,0.0
1822,1.9810617999382885e-06,0.0
1823,1.4478136307616296e-06,0.0
1824,1.3911678387046322e-06,0.0
1825,2.004118854870285e-06,0.0
1826,1.7642392435845977e-06,0.0
1827,1.6010403101063275e-06,0.0
1828,2.5930096470005992e-06,0.0
1829,2.05927679886031e-06,0.0
1830,1.5832680198002436e-06,0.0
1831,1.7103552707453673e-06,0.0
1832,1.792720965454464e-06,0.0
1833,2.448779017782954e-06,0.0
1834,2.359769517568111e-06,0.0
1835,3.4805329676146357e-06,0.0
1836,2.3542788554209437e-06,0.0
1837,2.797072088611685e-06,0.0
1838,1.4947199247217213e-06,0.0
1839,1.9674011397796676e-06,0.0
1840,1.401331505945791e-06,0.0
1841,2.6735165050695286e-06,0.0
1842,1.468439251084419e-06,6.708265054555795e-10
1843,1.7413574227020945e-06,5.906911071384968e-10
1844,1.5016703329706615e-06,0.0
1845,2.35262405112735e-06,0.0
1846,1.5069486138941102e-06,0.0
1847,1.2636322637149533e-06,0.0
1848,1.6935191382572157e-06,0.0
1849,1.8116295450454345e-06,0.0
1850,1.773285767114885e-06,0.0
1851,1.5414159157955964e-06,2.579775504329973e-09
1852,1.396512040230391e-06,0.0
1853,1.8656315319276473e-06,0.0
1854,1.4579034584016881e-06,0.0
1855,2.6481617290130544e-06,5.306937111981824e-10
1856,1.2653050376343344e-06,0.0
1857,1.5454858051100473e-06,0.0
1858,1.3814847363846638e-06,2.4468380654951716e-09
1859,1.4237717032017372e-06,0.0
1860,1.742533939363966e-06,0.0
1861,1.5430633624191614e-06,4.715963730639317e-10
1862,1.3924433979184414e-06,9.035972525772706e-10
1863,1.5023819521786663e-06,4.994620828036034e-10
1864,2.036321014031728e-06,4.794727948009836e-10
1865,1.908154665386519e-06,4.706844358715045e-10
1866,1.5278024108056343e-06,0.0
1867,2.9621561097314952e-06,0.0
1868,2.1873761681945325e-06,2.9639245502366407e-09
1869,2.3636233166257625e-06,1.4650557433881772e-09
1870,1.8687265139760711e-06,0.0
1871,2.296298518444928e-06,1.0621177271019633e-09
1872,1.8746751884179957e-06,0.0
1873,2.0561924856110636e-06,1.1972008939764578e-09
1874,2.4400303288985015e-06,0.0
1875,1.7771062807980798e-06,0.0
1876,1.598566331750817e-06,6.04601479992084e-10
1877,1.8350348938156458e-06,1.2369631985365004e-09
1878,1.779115500255557e-06,1.4493812372506909e-08
1879,2.000193155993202e-06,0.0
1880,1.478671812549237e-06,0.0
1881,1.7305764217212527e-06,0.0
1882,2.0991084070942634e-06,3.3276925659464496e-09
1883,1.5627724874178739e-06,3.791603475633565e-09
1884,1.4286071952085422e-06,1.9805090900604227e-09
1885,2.188293301230715e-06,0.0
1886,1.4120178839505115e-06,0.0
1887,1.408289083570935e-06,1.3057849246322917e-09
1888,1.5458418225477999e-06,1.3315291091942072e-08
1889,1.557512991468002e-06,6.265136742733546e-10
1890,1.2505769255710675e-06,3.932631831293776e-09
1891,1.2671949320974818e-06,6.374220040683554e-10
1892,1.2236135980003837e-06,0.0
1893,1.5753229281045833e-06,0.0
1894,1.1147422789292705e-06,1.0082463308691558e-08
1895,1.2145564554089106e-06,4.213029924926559e-09
1896,1.1858924793273218e-06,2.948514543632541e-09
1897,1.4421115928087147e-06,2.330685422435863e-09
1898,1.0632048983438835e-06,9.619203211741478e-09
1899,1.1359173264224864e-06,0.0
1900,1.165391395829829e-06,5.191053142894475e-10
1901,1.1971079061368073e-06,2.459045056468767e-08
1902,1.0714239877529508e-06,3.4371986368242347e-09
1903,1.3203538102857237e-06,2.1060858834687224e-08
1904,1.0308531130931442e-06,3.7622376325430196e-09
1905,1.1415599558972644e-06,5.1607592088664944e-09
1906,1.1363503951145049e-06,1.286046086290682e-08
1907,1.0213687282600858e-06,1.6971383742792057e-08
1908,1.0549663258530018e-06,4.911389073214423e-09
1909,1.109548435351826e-06,5.5009837240938e-09
1910,1.0105788916803249e-06,0.0
1911,1.2369870248107873e-06,1.3300935797211366e-08
1912,1.0616800381058056e-06,8.856016087133156e-09
1913,1.225520946945835e-06,7.954484626537806e-09
1914,1.1290709984734804e-06,3.3483718020477227e-09
1915,1.2240211439973336e-06,2.3561523843085297e-09
1916,1.0954500169191306e-06,1.4283700444650549e-08
1917,1.2348193578759492e-06,1.5352993543160665e-08
1918,1.173907634210991e-06,1.033773866510046e-08
1919,9.226264054973399e-07,6.4454939163738345e-09
1920,1.1888404358728621e-06,4.543339038320937e-09
