year,ancien_ADJ honneur_NOUN,ancien_ADJ bonheur_NOUN
1800,0.0,1.5720821977538435e-08
1801,7.143547975374531e-09,3.809892135109294e-08
1802,2.0140561218795483e-08,1.3427040812530322e-08
1803,9.751696339321825e-09,7.801356893821776e-09
1804,0.0,4.943701892301533e-09
1805,2.842877711017877e-09,1.421438877713399e-08
1806,0.0,1.4408345627714425e-08
1807,5.693910232196231e-09,5.693910232196231e-09
1808,1.3596443970698147e-08,2.4926814390369145e-08
1809,4.518061036407062e-09,1.8072244145628247e-08
1810,0.0,3.042164919975221e-08
1811,2.5070767684098882e-09,2.5070767684098882e-09
1812,1.3336041604361526e-08,2.6672082320544632e-09
1813,0.0,3.4508900625951355e-08
1814,3.776012391654149e-08,1.1642705288750221e-07
1815,1.3486118000116676e-08,1.0788894222457657e-08
1816,5.7940098940889584e-08,1.622322720606917e-08
1817,3.113746815941454e-09,3.42512151974006e-08
1818,3.5763530803478716e-08,5.960588467246453e-09
1819,1.0351049795076506e-08,1.5526575580793178e-08
1820,2.0173018810965004e-08,1.3053129244156025e-08
1821,2.1695274909916407e-08,2.7612166775270452e-08
1822,0.0,2.3058916553964082e-08
1823,1.9765373782121287e-09,1.680056804787e-08
1824,3.9579230559638745e-08,8.421112696055388e-09
1825,1.6730341556581152e-08,4.4027217427355936e-09
1826,1.8496766784892316e-08,7.0463874735082754e-09
1827,3.2260455640198415e-08,2.027800150017356e-08
1828,1.2841221419535032e-08,9.172301140836225e-09
1829,6.001223074036943e-09,9.430493719264632e-09
1830,5.218417697960831e-09,2.0873671680021744e-09
1831,9.354723218280014e-09,3.1182412207897414e-09
1832,2.705993873419743e-09,1.488296597074168e-08
1833,1.7375443306377747e-08,2.4325620628928846e-08
1834,9.334531370086552e-09,9.334531370086552e-09
1835,1.3613558280667348e-08,1.5882484660778573e-08
1836,3.091545153210973e-08,1.4113575197427508e-08
1837,2.2265250976261086e-08,1.461157062010443e-08
1838,1.7042836475411605e-08,1.3886756633496589e-08
1839,1.0487212875887053e-08,1.957613093850341e-08
1840,2.8026629905752998e-08,1.2739377552861697e-08
1841,2.5682194149112547e-09,1.3483152372373297e-08
1842,1.8112315203211438e-08,2.2808102073668124e-08
1843,7.088293507706567e-09,8.860366662588604e-09
1844,2.360081374774836e-08,2.030767731753258e-08
1845,1.897277535078956e-08,2.1204865419122143e-08
1846,1.5221703009160592e-08,9.952652035849496e-09
1847,2.1572894581822766e-09,1.5101026207275936e-08
1848,2.091757700384278e-08,1.930853166243196e-08
1849,8.379414939696517e-10,6.703531951757213e-09
1850,2.987158254086353e-08,8.146795238417326e-09
1851,9.029214709244116e-09,2.257303499675345e-08
1852,2.4740073101270355e-08,1.1718981340891332e-08
1853,1.3735443005202796e-08,1.4332636411040767e-08
1854,1.2469595134234623e-08,8.832629738719788e-09
1855,3.714855978387277e-09,1.4859423913549108e-08
