year,en_ADP ordures_NOUN,en_ADP bordure_NOUN
1800,0.0,1.2891074163690064e-07
1801,0.0,2.6193008650921e-08
1802,0.0,1.656001700212073e-07
1803,0.0,4.251739369465213e-07
1804,0.0,1.928043786847411e-07
1805,0.0,1.1087222873129576e-07
1806,0.0,7.204172902675055e-08
1807,4.555128185756985e-08,1.3950080779423502e-07
1808,2.2660739951163578e-09,9.970725756147658e-08
1809,0.0,4.3147481876282257e-07
1810,0.0,6.552355102940055e-08
1811,0.0,2.6073598746734206e-07
1812,0.0,8.00162425207418e-09
1813,0.0,8.627225156487839e-09
1814,0.0,1.8880061958270744e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,7.416332437060191e-08
1817,0.0,1.120948880384276e-07
1818,1.1921177378582115e-09,9.179306914575136e-08
1819,0.0,1.0454560595007933e-07
1820,7.119888678630559e-09,8.42520151422832e-08
1821,5.9168927535324656e-09,5.621048160264763e-08
1822,2.0051231786055723e-09,7.318699601910339e-08
1823,0.0,3.4589405117912975e-08
1824,0.0,1.6000115010683658e-08
1825,8.805443041381977e-10,7.396572243578703e-08
1826,0.0,5.372870504061211e-08
1827,0.0,1.0784209791836474e-07
1828,0.0,3.485474309172787e-08
1829,2.0575622983187714e-08,7.372931065674493e-08
1830,5.218417697960831e-09,7.410153135545272e-08
1831,0.0,9.978371906527173e-08
1832,0.0,5.68258712307923e-08
1833,5.791814139399776e-09,9.730247652051105e-08
1834,4.667265685043276e-09,5.974099792638299e-08
1835,7.563087933704082e-10,4.689114518896531e-08
1836,0.0,1.0618785095672933e-07
1837,0.0,1.071515214334795e-07
1838,2.5248647617104325e-09,5.0497293679896416e-08
1839,6.9914751765765e-10,7.690622627620769e-08
1840,9.554533164646273e-09,4.777266437994143e-08
1841,0.0,8.731945788653661e-08
1842,8.720745015011744e-09,4.427455024824667e-08
1843,6.497602011990011e-09,4.4892523476391943e-08
1844,0.0,6.53138769735051e-08
1845,0.0,1.244390830379416e-07
1846,1.7563503984519002e-09,1.1065007599064813e-07
1847,1.6179670936367074e-09,9.653870591819214e-08
1848,0.0,8.769291781618449e-08
1849,8.379414939696517e-10,9.971503645012092e-08
1850,6.1100964288129944e-09,2.2878916183799447e-07
1851,0.0,1.3995281578083052e-07
1852,1.3021090872200602e-09,9.114763344086896e-08
1853,7.166318205520383e-09,1.1346670447665019e-07
