year,un_DET or_NOUN,un_DET bord_NOUN
1800,4.4961552170263985e-07,1.430594889662018e-06
1801,5.762461718905598e-07,1.6430159466285232e-06
1802,6.019789964284428e-07,1.463547505409224e-06
1803,3.335080056565687e-07,2.0888133724916713e-06
1804,6.67399774556543e-07,1.7896200723566125e-06
1805,4.264316615376629e-07,2.328316920374718e-06
1806,4.2072369854651015e-07,9.59595809035818e-07
1807,4.128084847287994e-07,7.060448958817744e-07
1808,5.053345026873046e-07,9.018974651553435e-07
1809,2.6430655797327063e-07,1.0527081713007647e-06
1810,3.5803939590906e-07,1.45555880770587e-06
1811,7.420947225611485e-07,9.978165826929342e-07
1812,4.4275655497472144e-07,1.2135797091694656e-06
1813,4.486157074712338e-07,1.049645741435512e-06
1814,2.5488085952929396e-07,9.093896995437944e-07
1815,2.8051123601713357e-07,2.0930455126855207e-06
1816,3.3373494900956757e-07,9.826641029775374e-07
1817,3.596377702308473e-07,8.329272986884462e-07
1818,4.1128063266171466e-07,1.0168764479345782e-06
1819,4.3370898339389896e-07,1.2555823296622748e-06
1820,5.339916668845035e-07,1.1534219765962916e-06
1821,3.9939027973723285e-07,6.764981045348506e-07
1822,4.210758675071702e-07,9.153387310334438e-07
1823,3.3996441639594366e-07,8.597937850574056e-07
1824,3.9747652991195537e-07,2.1583311893280666e-06
1825,3.971254782797473e-07,1.6202015671318293e-06
1826,3.1796822663743285e-07,1.1996475013376084e-06
1827,3.659257501453794e-07,9.705788208691501e-07
1828,3.3754069272973197e-07,1.3795140980654708e-06
1829,2.700550321144135e-07,1.2945495511118565e-06
1830,2.661393030400916e-07,1.458025934653051e-06
1831,3.3677005895071943e-07,2.1734140511764366e-06
1832,3.084832966848694e-07,1.5153565442460604e-06
1833,3.312917766784551e-07,1.8614890606727386e-06
1834,4.2005388944943434e-07,2.146008561965118e-06
1835,4.00843653380889e-07,1.5632902545803518e-06
1836,3.803944532698722e-07,1.1102678783014852e-06
1837,3.0266826422931103e-07,1.9899567718084654e-06
1838,4.336455154962948e-07,1.348277832713407e-06
1839,2.712692359629898e-07,1.5199467573445702e-06
1840,3.044711236466213e-07,1.2223432022118175e-06
1841,3.890852333654493e-07,1.1922958287335916e-06
1842,3.0790937222135994e-07,9.33119664647819e-07
1843,3.142476772133307e-07,1.4365607459154717e-06
1844,2.969311720946166e-07,1.0362403157770927e-06
1845,2.818015216732306e-07,1.2801042892363057e-06
1846,2.359364073001302e-07,1.00229058119794e-06
1847,2.389198110464008e-07,7.793208203210611e-07
1848,2.622742316660265e-07,8.793427372921769e-07
1849,2.1702684072089085e-07,9.309530106804687e-07
1850,2.4033045598059743e-07,1.2471385417711645e-06
1851,2.8313036226634836e-07,1.6388024377533839e-06
1852,2.994851013848887e-07,1.4401326584589924e-06
1853,3.039713381003395e-07,1.514481862585626e-06
1854,3.0342679568917674e-07,9.757457606340836e-07
1855,3.157627688210596e-07,1.0566111576792991e-06
1856,3.05454175508757e-07,9.344826598645106e-07
1857,4.0760602182388084e-07,1.1271404948276498e-06
1858,2.8089699988242955e-07,1.1128218777578525e-06
1859,2.8261562801112916e-07,9.425612974567343e-07
1860,2.3984443742186556e-07,1.1493309113319583e-06
1861,2.801282459330423e-07,9.776192939625616e-07
1862,3.203252283423552e-07,1.0698591035307459e-06
1863,3.156600310028068e-07,8.066312746635163e-07
1864,3.04944698381604e-07,1.2821102597371237e-06
1865,2.7676245673013966e-07,1.1644733421967146e-06
1866,3.4643163537850796e-07,1.4635763800896484e-06
1867,2.9747733343299387e-07,1.3937274196962335e-06
1868,2.657652117266096e-07,1.7106783989362384e-06
1869,2.1878165790134574e-07,1.2433439930958912e-06
1870,2.6204603731372345e-07,1.2677982432762747e-06
1871,1.6993883589222492e-07,1.7769230069575315e-06
1872,2.666876723900202e-07,1.0340950744591737e-06
1873,2.3405277038701655e-07,1.7491104760125609e-06
1874,1.8162811832311831e-07,1.7876029989594144e-06
1875,2.385876887167626e-07,1.5007565350444452e-06
1876,1.8682186286866909e-07,1.7067899209521897e-06
1877,2.2389034581848932e-07,1.4942515775828724e-06
1878,1.7332184998331002e-07,1.313501750033197e-06
1879,1.9549841123733813e-07,1.2951769603475327e-06
1880,1.8675932844658405e-07,1.0936010443884925e-06
1881,2.168449799722083e-07,1.1323351989389607e-06
1882,1.6571908467710728e-07,1.2325773277588326e-06
1883,1.9526757766286096e-07,1.2954645391971553e-06
1884,1.7956616193970376e-07,1.4404902648479379e-06
1885,1.7983322930792411e-07,1.3638965148388138e-06
1886,1.6327263929749591e-07,1.3397390761227257e-06
1887,1.912974973983239e-07,1.4239585022224333e-06
1888,1.6739223385187074e-07,1.23832204490526e-06
1889,2.1677373718276272e-07,1.2166895366760855e-06
1890,1.8811089363968136e-07,1.263030263487508e-06
1891,2.581559104264386e-07,1.3079899252588234e-06
1892,2.062340609398916e-07,1.194151614036798e-06
1893,2.0630695130030574e-07,1.0808021224661957e-06
1894,1.7959387621502287e-07,1.3636531304150878e-06
1895,2.2028128654483226e-07,1.2915946321356842e-06
1896,2.305738274754887e-07,1.4612838352690005e-06
1897,1.526598898404785e-07,1.6227397576784597e-06
1898,1.9691074593097824e-07,1.1152617218623817e-06
1899,2.1391728921571485e-07,1.1425504951034782e-06
1900,2.429412844229262e-07,1.2048434063771651e-06
1901,1.9616473878603102e-07,1.42959936200171e-06
1902,2.3569362550546202e-07,3.364035519481945e-06
