year,en_ADP haleine_NOUN,en_ADP baleines_NOUN
1800,6.005354293847631e-07,8.489243974452165e-08
1801,5.643402687383059e-07,2.3811825844433088e-09
1802,7.362493761320366e-07,1.5664880947952042e-08
1803,6.163072043818829e-07,0.0
1804,4.6965166689005855e-07,0.0
1805,6.481761261056818e-07,0.0
1806,3.7749865100522584e-07,2.881669125542885e-09
1807,6.007075512570736e-07,5.693910232196231e-09
1808,7.183454613368667e-07,0.0
1809,6.935223950677027e-07,6.7770915546105925e-09
1810,6.528953804263438e-07,7.020380277111826e-09
1811,6.693895215903467e-07,5.0141535368197765e-09
1812,5.521121124729689e-07,0.0
1813,7.160596737776359e-07,0.0
1814,6.104553449404193e-07,0.0
1815,6.095725098020921e-07,8.091670444798638e-09
1816,5.817185524392698e-07,0.0
1817,9.076571814148338e-07,0.0
1818,7.021573651400104e-07,1.1921177378582115e-09
1819,6.810990953454166e-07,4.140420006848444e-09
1820,7.179220915531914e-07,5.458581142647745e-08
1821,7.494730880353018e-07,2.070912508145284e-08
1822,7.910210797490436e-07,0.0
1823,6.394098477358057e-07,2.075364236020505e-08
1824,7.486369213438593e-07,5.894778887238772e-09
1825,8.594112159698852e-07,8.805443041381977e-10
1826,7.019963277343777e-07,6.1655889282974385e-09
1827,8.046679340623086e-07,1.2904182611350734e-08
1828,7.117705536074936e-07,2.7516904310687096e-09
1829,6.635638101215591e-07,2.571952872898464e-09
1830,5.354096970222599e-07,2.817945699007396e-08
1831,6.579488740499073e-07,1.5591206548037917e-08
1832,7.184413561844849e-07,9.470978667991403e-09
1833,8.618219453637721e-07,2.20088942626262e-08
1834,6.384819357663218e-07,8.401078055442213e-09
1835,8.054688578340574e-07,3.025235173481633e-09
1836,7.943926334519347e-07,5.376600054063374e-09
1837,7.326659101636324e-07,2.7831563720326358e-09
1838,7.423102488246514e-07,5.680945491803868e-09
1839,7.515835704907659e-07,9.088918062616358e-09
1840,8.255116767941217e-07,1.52872523528913e-08
1841,6.253614515117079e-07,1.2841097074556274e-08
1842,6.72839007620496e-07,8.049918065466954e-09
1843,7.932981702651887e-07,6.497602011990011e-09
1844,8.507270194968442e-07,1.2074834465636286e-08
1845,6.886001528982888e-07,1.785672942844485e-08
1846,6.884893650749291e-07,7.025401593807601e-09
1847,7.097482352946827e-07,3.235934187273415e-09
1848,7.144157052607625e-07,7.24069959545659e-09
1849,5.052787059867114e-07,2.513824481908955e-09
1850,7.386427682831709e-07,1.2220192857625989e-08
1851,6.346247687361029e-07,8.384270167027807e-09
1852,6.881646754663961e-07,1.9531636308300904e-09
1853,6.819946065661497e-07,6.569124799682413e-09
1854,7.320691111090127e-07,3.117398783558656e-09
1855,6.79818640492158e-07,1.2736649068756378e-08
1856,6.528435392283427e-07,4.141751386299575e-09
1857,6.49240689654107e-07,1.122747050885664e-08
1858,5.652195795846637e-07,7.340514196485515e-09
1859,8.055818057073338e-07,1.5276520048956854e-09
1860,7.520313261011324e-07,9.154367819341758e-10
1861,7.710600584687199e-07,1.8863854922557266e-09
1862,7.436605642396898e-07,6.776979422085105e-09
1863,6.49800142582535e-07,1.3485476124674989e-08
1864,6.942765935491479e-07,1.2466292886870178e-08
1865,7.356797482316324e-07,4.23615986733239e-09
1866,5.663573574565817e-07,6.325296841858119e-09
