year,en_ADP ans_NOUN,en_ADP banc_NOUN
1800,1.006132621661493e-07,1.8864987794131594e-08
1801,9.28661236798689e-08,4.7623651688866175e-09
1802,9.175144555229053e-08,2.4616241489638924e-08
1803,9.946729906396001e-08,1.950339267864365e-08
1804,9.887404028852131e-08,2.4718509905596875e-08
1805,6.25433098644379e-08,0.0
1806,1.6137346481315262e-07,0.0
1807,1.5088862248546775e-07,3.131650672116848e-08
1808,1.427626639127766e-07,3.6257183921861724e-08
1809,7.906607124574805e-08,3.388545621874073e-08
1810,1.4508786394529238e-07,2.3401267590372754e-09
1811,8.273353602206157e-08,2.2563691359778204e-08
1812,9.068508077803017e-08,2.400487453257938e-08
1813,7.476928232108548e-08,2.8757416448144113e-09
1814,3.1466771410748606e-08,3.1466771410748606e-09
1815,4.855002422310406e-08,6.47333635583891e-08
1816,5.7940095388175905e-08,2.0858434979231788e-08
1817,6.383180817248757e-08,6.227493865029743e-08
1818,6.318223921830679e-08,3.5763532135746345e-09
1819,1.066158181739496e-07,1.9666995698663925e-08
1820,4.509263007435038e-08,1.1866481131050932e-08
1821,1.0354562518521959e-07,9.861488514673056e-09
1822,1.3334069137727056e-07,4.110502516141423e-08
1823,4.348382143248841e-08,4.249555374258307e-08
1824,5.557934468214398e-08,1.0947446504872005e-08
1825,4.138558074018306e-08,4.226612659863349e-08
1826,3.435113959948666e-08,3.963592831723872e-08
1827,6.544263980723386e-08,9.954654700550236e-08
1828,4.035812389835414e-08,1.8344602503717056e-09
1829,5.658296359234427e-08,1.714635172733736e-08
1830,2.7135772739939057e-08,3.965997530386289e-08
1831,4.989185842241284e-08,2.494592976631793e-08
1832,3.9236911608675484e-08,3.6530916958099624e-08
1833,3.938433690287013e-08,2.20088942626262e-08
1834,4.760610661236342e-08,2.8937046536725575e-08
1835,9.756383434478266e-08,3.932805725526123e-08
1836,3.09154504218867e-08,2.0834325542562482e-08
1837,3.478945287405111e-08,6.19252319422614e-08
1838,3.282324301245865e-08,4.1660268124132926e-08
1839,6.711815891957684e-08,1.957613093850341e-08
1840,6.369688487772862e-08,1.2102408852854296e-08
1841,9.052973348744331e-08,1.4767262079828924e-08
1842,7.24492630332918e-08,3.6224629962333665e-08
1843,3.544146692791017e-08,2.0674188638825086e-08
1844,3.402907938765409e-08,2.4149668931272572e-08
1845,2.566904799827796e-08,5.0780073479472776e-08
1846,3.2785206105501175e-08,1.7563504428608212e-08
1847,2.1572895470001185e-08,4.0449179117274525e-08
1848,1.930853293918844e-08,3.218088551193432e-08
1849,4.7762666932626985e-08,4.022119171054328e-08
1850,3.2587180065490884e-08,2.987158342904195e-08
1851,3.4826968864365426e-08,3.7406744590740004e-08
