year,son_DET or_NOUN,son_DET bord_NOUN
1800,1.25452167765161e-06,4.313793638743846e-06
1801,1.0381955606320048e-06,3.676545851760693e-06
1802,9.95838888684375e-07,4.397356008212228e-06
1803,1.0044246694373982e-06,5.4063403354120965e-06
1804,1.2977217114240602e-06,5.025272827197114e-06
1805,9.950072372699736e-07,9.921642913468531e-06
1806,7.578790048867745e-07,2.8499706772322497e-06
1807,9.394952158459091e-07,3.066170560117598e-06
1808,1.0741191260876803e-06,2.7714085639729547e-06
1809,9.82678247218871e-07,2.893818141558313e-06
1810,9.407309633502337e-07,3.858869092709938e-06
1811,1.0178731670862362e-06,3.3695111909537445e-06
1812,6.107906798114016e-07,3.144638448304704e-06
1813,8.655982277616658e-07,3.2035762984605753e-06
1814,9.471498465529749e-07,2.9893433008965076e-06
1815,1.1220449911419905e-06,4.569096631712455e-06
1816,1.0614625640670283e-06,4.577267503691473e-06
1817,9.761595762824982e-07,5.347860160043183e-06
1818,8.750144031566265e-07,3.908953971176743e-06
1819,1.1613878356797613e-06,3.7067110199018316e-06
1820,1.301752971194503e-06,3.1695371873752265e-06
1821,8.924646834884697e-07,3.653681417858934e-06
1822,8.431543250253526e-07,4.143587148064398e-06
1823,9.872803836685762e-07,5.146903220065724e-06
1824,1.142745000848322e-06,4.510347864083997e-06
1825,1.0997997854644836e-06,6.14796039144494e-06
1826,1.026130223347188e-06,3.894009843463664e-06
1827,6.885303113213226e-07,4.2039984577968426e-06
1828,7.989074619629832e-07,6.360073768973962e-06
1829,9.207591245008473e-07,5.466256851605067e-06
1830,7.723258761416218e-07,5.911423698989893e-06
1831,6.89131281594868e-07,5.829551838587577e-06
1832,8.104451931778556e-07,6.125016909663827e-06
1833,1.0911778209887757e-06,6.441655955313763e-06
1834,9.455880087827495e-07,6.057177046159268e-06
1835,8.417716941266917e-07,6.49139843744706e-06
1836,8.078341666717392e-07,5.032497796264579e-06
1837,9.170500074873189e-07,6.979460607681176e-06
1838,9.076888827230789e-07,4.380640461931762e-06
1839,7.858418245021426e-07,6.002181294206821e-06
1840,8.917564064958583e-07,4.352408289776122e-06
1841,8.539329705570253e-07,4.728733799197471e-06
1842,1.0042272644561479e-06,3.9182977715768175e-06
1843,9.297478165137818e-07,5.7019410633074585e-06
1844,9.270180119091975e-07,4.261867971422362e-06
1845,8.05226888278554e-07,5.476993493402915e-06
1846,8.418772874385638e-07,4.0355075867637424e-06
1847,8.612977966393487e-07,3.2575071600149386e-06
1848,8.302668921267298e-07,3.983993671852204e-06
1849,8.320759299351721e-07,3.8905624037965936e-06
1850,8.106061244461671e-07,4.198993920567773e-06
1851,8.010203007557948e-07,4.296616069154879e-06
1852,7.747549211067906e-07,4.861424415025795e-06
1853,8.181546871099954e-07,5.448193533652557e-06
1854,6.785537687292731e-07,3.818293819790597e-06
1855,8.761753029773445e-07,4.014167416244163e-06
1856,6.947788167011026e-07,4.475680100313184e-06
1857,8.630508023799166e-07,5.340859104308038e-06
1858,8.015841483910435e-07,4.2144339289507116e-06
1859,9.57837786197402e-07,4.191876932679861e-06
1860,9.07655541837471e-07,4.556128871513465e-06
1861,8.328392091527803e-07,3.589320058949852e-06
1862,8.588691873256948e-07,3.5136379068489987e-06
1863,8.161210391932627e-07,5.330758618526943e-06
1864,7.091402398629043e-07,6.031288492636122e-06
1865,8.458199216576645e-07,3.986226602137322e-06
1866,8.037992778042735e-07,6.240635059384658e-06
1867,8.201251535666643e-07,5.901504039229621e-06
1868,6.871364561789051e-07,5.729760061967681e-06
1869,7.676892104235833e-07,4.533370827175531e-06
1870,7.012741516376764e-07,5.259843135263509e-06
1871,6.691341827291808e-07,6.986610628700873e-06
1872,6.839540471759165e-07,6.3781289298958654e-06
1873,5.596914229855088e-07,5.147963648255427e-06
1874,6.10007602652729e-07,9.308441434541237e-06
1875,6.60264239726871e-07,6.067107250373738e-06
1876,6.511557675281665e-07,6.922082263827178e-06
1877,6.957918161631937e-07,6.442722735755524e-06
1878,5.284202395650084e-07,5.028145096730441e-06
1879,6.763023017164471e-07,4.2026049555943246e-06
1880,6.052028771463824e-07,4.3590013092398294e-06
1881,6.066081423838909e-07,3.754695420354892e-06
1882,6.442412558982369e-07,4.2421423529503954e-06
1883,5.207135540530317e-07,4.252282963079779e-06
1884,6.03395125864381e-07,4.567054148196803e-06
1885,5.240301841347161e-07,4.95347126161505e-06
1886,6.434103374530764e-07,3.980496302347092e-06
1887,4.642065440929599e-07,4.206586197597062e-06
1888,5.788981156662487e-07,4.992599826891819e-06
1889,4.836685678633046e-07,4.049157723784447e-06
1890,4.771593222763215e-07,4.7198139014881235e-06
1891,5.341596658325898e-07,5.027347384611858e-06
1892,5.353309795452788e-07,3.81877767097194e-06
1893,5.129961102579017e-07,4.010360967754423e-06
1894,4.801772890417055e-07,4.15460480951424e-06
1895,6.157042493626363e-07,4.385764228231892e-06
1896,4.876842885082056e-07,5.381628810141592e-06
1897,4.876959378563583e-07,4.008778944353253e-06
1898,4.6002423870206144e-07,4.103438996594377e-06
1899,5.162758043297799e-07,4.5685433320841184e-06
1900,5.684203263633947e-07,3.733924458515503e-06
1901,4.4989349268220735e-07,4.5794126606324426e-06
1902,4.104997359810625e-07,7.355114320262146e-06
1903,3.866557785059399e-07,4.1970514104150425e-06
1904,3.568751072435816e-07,3.9138020326845435e-06
1905,4.2576262693216904e-07,3.797286552753576e-06
1906,4.0381847998816056e-07,3.821614726007283e-06
1907,3.908560906040748e-07,3.553704800651758e-06
1908,4.543034899384679e-07,3.3932787175672274e-06
1909,4.2357574336904236e-07,3.771474297309396e-06
1910,4.6440669576597315e-07,3.313907853907949e-06
1911,4.080726885291597e-07,3.937608965998152e-06
1912,4.3550760508992425e-07,3.407482452644217e-06
1913,4.5923891800470074e-07,3.846258422868232e-06
1914,5.156492521862788e-07,3.585436587627555e-06
1915,7.056676145644758e-07,3.2691615174940125e-06
1916,8.735032057671788e-07,3.699478554608504e-06
1917,7.204940737359777e-07,3.1681999601573807e-06
1918,6.133725038992566e-07,3.2655766659672736e-06
1919,5.312928510470272e-07,2.6555435752584344e-06
1920,6.125935283485262e-07,3.817919150606031e-06
1921,4.369475385956889e-07,4.060507222902743e-06
1922,5.179310766934009e-07,4.034255113083418e-06
1923,5.509677052373263e-07,3.2559113805064044e-06
1924,5.053516742847819e-07,4.247790300837551e-06
1925,5.279125154800113e-07,3.7404803236995576e-06
1926,5.305561736612674e-07,3.4764806002840487e-06
1927,4.86106193520186e-07,3.493052119551976e-06
1928,4.821789429954038e-07,3.3855359760082138e-06
1929,3.7654574125411955e-07,3.1449366559854752e-06
1930,4.190937912262882e-07,3.530261167838944e-06
1931,4.5621427080533294e-07,3.456963625581011e-06
1932,5.446889931315368e-07,3.351426350661768e-06
1933,3.590317374513319e-07,3.068402115502522e-06
1934,4.52903742953481e-07,3.3740129481429904e-06
1935,4.1769310410444405e-07,3.3247894464238925e-06
1936,4.38914678824176e-07,3.84838440936619e-06
1937,4.0669312006968994e-07,3.4952943082089405e-06
1938,4.200729367687117e-07,2.891242786517978e-06
1939,3.8235127419739e-07,2.9701045320962294e-06
1940,4.057252613876017e-07,4.3311170969673185e-06
1941,4.899494241428215e-07,4.259018339780596e-06
1942,3.9444752530926053e-07,7.084884529717783e-06
1943,4.412917617990786e-07,3.6406569563496305e-06
1944,4.3378013181438746e-07,3.5055860791999294e-06
1945,4.5530733450149796e-07,4.019340167360497e-06
1946,4.329463472174666e-07,2.3735482344022785e-06
1947,3.7073909719964604e-07,2.2709258828967904e-06
1948,4.533577246945697e-07,3.7910272112640087e-06
1949,3.7402802854913375e-07,2.9500109377522676e-06
1950,3.935083658923588e-07,3.7106777313056227e-06
1951,4.2219152396327786e-07,4.619585581622232e-06
1952,3.4481507549255497e-07,4.065021741439523e-06
1953,3.436851003790764e-07,2.9703441200013003e-06
1954,3.3617524453077863e-07,3.3588206491685924e-06
1955,3.2286490858624006e-07,2.8250679235952703e-06
1956,3.505898824585074e-07,3.177984048363669e-06
1957,2.9155624492460674e-07,2.840464617293037e-06
1958,3.069002305622348e-07,3.0756200359860486e-06
1959,2.666257157279972e-07,3.0336426917187964e-06
1960,3.4604165533025366e-07,2.1959804286098006e-06
1961,3.119723412936537e-07,2.5909686769409745e-06
1962,3.7227282811969076e-07,2.4410190704315937e-06
