year,ton_DET or_NOUN,ton_DET bord_NOUN
1800,8.489243885634323e-08,6.288328968651058e-09
1801,5.000483582762172e-08,4.7623651688866175e-09
1802,8.727576528144709e-08,0.0
1803,1.677291692203653e-07,7.801356893821776e-09
1804,1.038177401824214e-07,2.4718509461507665e-09
1805,1.5635827521620627e-07,2.842877711017877e-09
1806,5.187004248341509e-08,0.0
1807,1.2526602510831708e-07,8.540865792383556e-09
1808,4.5321478125970316e-08,0.0
1809,5.1957703028904234e-08,1.3554183553310395e-08
1810,2.574139346123161e-08,0.0
1811,1.0279014617253779e-07,1.7549536934780008e-08
1812,5.3344165529267684e-08,5.3344164641089264e-09
1813,8.339650747757332e-08,2.0130190847567064e-08
1814,6.293354370967563e-08,0.0
1815,4.8550024445148665e-08,8.091670444798638e-09
1816,4.4034472068688046e-08,2.3176038865813098e-09
1817,3.580808893843823e-08,4.670620334934483e-09
1818,7.629553699928238e-08,1.4305412854298538e-08
1819,6.003609098748086e-08,8.280840013696888e-09
1820,6.76389415588119e-08,1.1866481131050932e-09
1821,1.4003314019461754e-07,2.070912508145284e-08
1822,7.21844344298006e-08,6.015369535816717e-09
1823,6.917880635004536e-08,4.941343334508019e-09
1824,7.242156652154108e-08,5.894778887238772e-09
1825,7.220463604795668e-08,1.7610886082763955e-09
1826,5.196710661792281e-08,9.688783109140786e-09
1827,4.7929820112813104e-08,2.7651818612639545e-09
1828,1.0915038473058303e-07,1.0089530988466322e-08
1829,5.572564276690173e-08,1.7146351893870815e-08
1830,4.696576283436116e-08,5.218417697960831e-09
1831,1.1225668572478753e-07,4.677361609140007e-09
1832,7.441482807735156e-08,4.19429042608499e-08
1833,1.1699465041203894e-07,2.20088942626262e-08
1834,1.0267983929779234e-07,7.467624740797874e-09
1835,6.958040899007756e-08,2.2689263801112247e-08
1836,1.1694105372939134e-07,1.5457725766054864e-08
1837,7.862416850912268e-08,1.3219993100221927e-08
1838,4.1660269900489766e-08,4.418513555037862e-09
1839,9.50840624014404e-08,1.677954131196202e-08
1840,5.6690229399691816e-08,1.3376346252869098e-08
1841,7.255219980351058e-08,8.346713542550788e-09
1842,9.056157512787877e-08,1.7441490030023488e-08
1843,1.1636614738463891e-07,9.451057714215949e-09
1844,4.8299337418455934e-08,3.2931368743049916e-09
1845,7.644912036752771e-08,1.5066614622583074e-08
1846,8.196302081486806e-08,1.0538101946622191e-08
1847,5.662884650092792e-08,4.314578916364553e-09
1848,4.263967567919025e-08,4.02261068899179e-09
1849,5.614208120618969e-08,1.5920887719289567e-08
1850,3.937617609750532e-08,3.394498016007219e-09
1851,7.22337163416853e-08,1.2898877521649865e-09
1852,5.9245962802378926e-08,6.510545436100301e-09
1853,5.4344578614973216e-08,1.6721408258035808e-08
1854,5.6632741163298306e-08,7.27393034694046e-09
1855,8.331890910540096e-08,7.429711956774554e-09
1856,4.245295315286057e-08,6.73034605824796e-09
1857,1.1081025430570435e-07,2.39193944651106e-08
1858,9.542668333306636e-08,1.1255455234504552e-08
1859,6.517981754328162e-08,8.147477359443656e-09
1860,8.833965159382728e-08,8.696649622663699e-09
1861,8.064297785104202e-08,1.9335450573976232e-08
1862,9.713670667821361e-08,9.487771457372673e-09
1863,7.541877550254483e-08,1.5982786649715308e-08
1864,1.0212770851225628e-07,8.151037178549814e-09
1865,6.636650229374652e-08,6.589582213223366e-09
1866,8.855415245534459e-08,1.0217787504984699e-08
1867,6.551295683721037e-08,4.367530337390235e-09
1868,6.4218362849644e-08,5.433861360870651e-09
1869,7.422949188651273e-08,1.4162205630441349e-08
1870,4.185855440042019e-08,1.4335121534259088e-08
1871,8.072094370703553e-08,6.37270636261178e-09
1872,5.3821318624081016e-08,8.4662747923403e-09
1873,4.968383748860106e-08,8.979006871356887e-09
1874,7.82673765797881e-08,1.1949218503559678e-08
1875,6.808617553089036e-08,1.2587359599081083e-08
1876,6.227395310531847e-08,5.441413541973361e-09
1877,4.51491583008945e-08,1.1132669008873108e-08
1878,3.2611077338540184e-08,5.435179861734696e-09
1879,5.803859082220697e-08,1.3440515367335593e-08
1880,6.610381309002378e-08,2.3104245627791897e-08
1881,4.183504487276224e-08,1.2550513517339823e-08
1882,6.389169482368118e-08,5.324308105514319e-09
1883,6.256145379524014e-08,5.687405213450347e-09
1884,6.931781992847164e-08,3.9610181801208455e-09
1885,4.383032448096458e-08,5.156508553483263e-09
1886,6.711602551501272e-08,3.872078213618124e-09
1887,4.635536360320103e-08,1.1752064210668323e-08
1888,5.516334833366443e-08,8.876860135842435e-09
1889,4.9494580878217675e-08,6.891650361495749e-09
1890,3.8015443237782165e-08,3.9326319978272295e-09
1891,6.756673087693343e-08,7.0116419337296065e-09
1892,4.387958751905785e-08,1.3163876211308434e-08
1893,5.234654043562159e-08,1.2316833108982905e-09
1894,2.6466464575491955e-08,2.520615716150587e-09
1895,6.921406359161608e-08,7.22233739480771e-09
1896,3.597187570036908e-08,4.717623180994224e-09
1897,2.855089586972781e-08,2.330685422435863e-09
1898,2.82917743676947e-08,5.092519295146758e-09
1899,4.09040801230276e-08,1.3818945987509323e-08
1900,6.333085078580325e-08,1.661137005726232e-08
1901,4.3592162823902214e-08,1.1177477832191585e-09
1902,3.338993082024899e-08,8.838511256215043e-09
1903,3.186129982069019e-08,7.560307935250421e-09
1904,2.1498500757388683e-08,5.374625189347171e-10
1905,2.993240255655394e-08,1.0321517862621477e-08
1906,4.012463905578301e-08,3.600929110447737e-09
1907,2.159994205719329e-08,1.2342823652033985e-08
1908,3.5362001771233054e-08,6.875944702500192e-09
1909,4.510806661528477e-08,2.3104130164597336e-08
1910,6.626746884563772e-08,1.1757131268552712e-08
1911,4.894744243255644e-08,6.916486494645824e-09
1912,4.7405731506966475e-08,9.376957876838787e-09
1913,6.045408240673567e-08,6.893886794756554e-09
1914,4.620753313311354e-08,1.0045115850232378e-08
1915,6.479418912519463e-08,8.246533234057551e-09
1916,4.065361070004769e-08,1.8678685265172135e-08
1917,4.386569774084137e-08,7.676496771580332e-09
1918,4.364822903113463e-08,1.4932290071101306e-08
1919,2.117805197876521e-08,7.366278698128781e-09
1920,3.7103934591442567e-08,2.0445025228355007e-08
1921,2.8019165876358443e-08,7.572747762196741e-09
1922,4.057864688711277e-08,1.9920426197472807e-08
1923,3.6094223609950404e-08,1.6985516992917837e-08
1924,2.9650736532715882e-08,1.675911143195208e-08
1925,5.939016034517408e-08,1.5397448649423495e-08
1926,4.904300876518164e-08,6.687683296036084e-09
1927,2.787306230267461e-08,2.2298449309232637e-08
1928,2.742249938236796e-08,1.2568645679778001e-08
1929,6.684243802901335e-08,1.1140405931087116e-08
1930,3.676261295382233e-08,4.201441416995522e-09
1931,3.307553342324354e-08,6.843213995466613e-09
1932,3.6166470818166374e-08,1.2055489939655217e-08
1933,2.1794258397989097e-08,1.8353059516584835e-08
1934,3.5944742293736454e-08,4.7926320689839486e-09
1935,2.393656917121234e-08,9.574627313213568e-09
1936,3.273672799508631e-08,2.424942913137329e-08
1937,5.9178256517355976e-08,8.813782592653752e-09
1938,2.2040865133021725e-08,1.0372171566075394e-08
1939,2.2941076593951948e-08,9.176430282309411e-09
1940,1.7750480196809804e-08,2.5357829169792012e-09
1941,3.8369532440185594e-08,5.9030051957620344e-09
1942,4.551317811518629e-08,6.068423541449874e-09
1943,4.6451763546784264e-08,8.709705845433291e-09
