year,ton_DET aveu_NOUN
1800,1.8864987794131594e-08
1801,4.7623650800687756e-08
1802,4.2518962573012686e-08
1803,8.386458993925316e-08
1804,1.1370514130248921e-07
1805,6.254330742194725e-08
1806,7.780506905419315e-08
1807,1.9928686256776018e-08
1808,2.039466551195801e-08
1809,3.388545621874073e-08
1810,4.914266327205041e-08
1811,1.7549536934780008e-08
1812,2.400487453257938e-08
1813,8.627225156487839e-08
1814,2.8320094713762956e-08
1815,6.74305908887618e-08
1816,2.3176038865813098e-08
1817,5.604744224285696e-08
1818,1.0013788664942069e-07
1819,4.0369095288816936e-08
1820,1.044250339532482e-07
1821,6.508582117703554e-08
1822,3.408709403629473e-08
1823,4.743689885344793e-08
1824,4.463189640091514e-08
1825,4.4907759511048084e-08
1826,8.015265506866598e-08
1827,3.2260455640198415e-08
1828,6.053718948351161e-08
1829,4.115124596637543e-08
1830,2.4004722876114215e-08
1831,4.053713453799901e-08
1832,4.7354892451778596e-08
1833,2.89590715851773e-08
1834,4.3872296684455137e-08
1835,4.0840674842002045e-08
1836,2.2178475500567174e-08
1837,3.061472142462662e-08
1838,1.199310784016916e-08
1839,1.957613093850341e-08
1840,3.1848443160509277e-08
1841,2.0545755319290038e-08
1842,4.159124467051356e-08
1843,2.7762482091020502e-08
1844,1.4819115767839008e-08
1845,4.9664027557128065e-08
1846,1.4050803409659807e-08
1847,1.887628364727334e-08
1848,2.172209789819135e-08
1849,2.0948537127196687e-08
1850,1.968808760466345e-08
1851,1.5478653025979838e-08
1852,2.799534470909748e-08
1853,1.5527023000672102e-08
1854,1.610655964157104e-08
1855,3.290301009428731e-08
1856,2.3815070804289462e-08
1857,1.7085282522089074e-08
1858,8.80861672492017e-09
1859,1.0693564256314403e-08
1860,2.4259074749011234e-08
1861,1.55626805886655e-08
1862,2.0330938710344526e-08
1863,2.2975255475898848e-08
1864,1.7740493518658695e-08
1865,1.553258638375965e-08
1866,1.216403244796993e-08
1867,3.008743121313273e-08
1868,7.903798504571569e-09
1869,2.1975836372867263e-08
1870,1.8922360567330543e-08
1871,1.4869648623516696e-08
1872,2.842249446910472e-08
1873,4.549363552541763e-08
1874,1.2546679029057373e-08
1875,3.2612703648737806e-08
1876,4.6554313737345865e-08
1877,8.658742167710898e-09
1878,2.8987625577681086e-08
1879,1.221865053580018e-08
1880,1.6686400483578723e-08
1881,9.761510488814906e-09
1882,1.1979693681496428e-08
1883,6.951272890631799e-09
1884,6.601696966868076e-09
1885,1.0957580620640783e-08
1886,1.2261581083805595e-08
1887,1.8933882239835498e-08
1888,1.775372027168487e-08
1889,1.0650732740202784e-08
1890,5.898947996740844e-09
1891,1.4660706204594476e-08
1892,9.402768119670668e-09
1893,3.695050043717174e-09
1894,1.1342770278588432e-08
1895,1.2639090662958097e-08
1896,2.2408710664834075e-08
1897,8.740070001067579e-09
1898,1.1316709347397591e-08
1899,1.2713430308508578e-08
1900,8.30568502863116e-09
1901,1.7325090917452712e-08
1902,7.365425602756659e-09
1903,1.674068350610014e-08
1904,4.299700151477737e-09
1905,9.805442235943929e-09
1906,4.115347618238729e-09
1907,1.5942815068115124e-08
1908,7.367083609821634e-09
1909,2.3654228797909127e-08
1910,2.137660359835536e-08
1911,1.4897047151407605e-08
1912,1.3544495303108306e-08
1913,1.4318072061314524e-08
1914,2.678697486047099e-09
1915,3.534228465440492e-09
1916,6.592477230782379e-09
1917,1.6449636319748606e-08
1918,2.2972752589112133e-09
1919,2.2098836538475553e-08
1920,1.2115570768855832e-08
1921,9.844571380313027e-09
1922,1.9920426197472807e-08
1923,1.5923921736771263e-08
1924,2.5783249313349188e-08
1925,2.3096172974135243e-08
1926,1.4489980104670508e-08
1927,8.919379901328739e-09
1928,1.0283436990832229e-08
1929,6.684243825105796e-09
1930,7.352522701786768e-09
1931,3.4216069977333063e-09
1932,7.6716757391182e-09
1933,6.882397318719313e-09
1934,3.5944740517379614e-09
1935,7.180970484910176e-09
1936,1.8187071404440758e-08
1937,1.0072894518486919e-08
1938,7.779128452511941e-09
1939,7.647025235257843e-09
1940,2.5357829169792012e-09
1941,1.4757512545315876e-08
1942,3.034211770724937e-09
1943,8.709705623388686e-09
1944,2.8918675454292497e-08
1945,2.178504043826024e-08
1946,6.960552134671616e-09
1947,1.549713246618012e-08
1948,1.7395020535104777e-08
1949,8.835307485632882e-09
1950,2.3397795700930146e-08
1951,9.595261474260042e-09
1952,6.326882462381889e-09
1953,6.464296320451979e-09
1954,1.8567819282111486e-08
1955,9.385607846468247e-09
1956,7.849027205963921e-09
1957,8.835037423882142e-09
1958,5.790570523078742e-09
1959,6.975673039200103e-09
1960,1.7994165935064643e-08
1961,1.250668635321972e-08
1962,1.2049716779927166e-08
1963,9.699079650538067e-09
1964,1.0951142992432494e-08
1965,1.3132904541635071e-08
1966,2.7695373772118614e-09
1967,2.0707409509324037e-08
1968,1.1228539320562447e-08
1969,1.407944960618579e-08
1970,1.0577067222072856e-08
1971,5.138397263237948e-09
1972,3.078088173236182e-09
1973,2.2052815684681093e-09
1974,6.188128787165681e-09
1975,1.0851812337620004e-08
1976,5.142174241967723e-09
1977,4.11374712072643e-09
1978,4.752473081737207e-09
1979,5.851973461368232e-09
1980,6.253665696398514e-09
1981,1.138598904049104e-08
1982,9.932003663948308e-09
1983,8.209910418166544e-09
1984,6.958810416790584e-09
1985,9.02333674446254e-09
1986,1.1988970760601347e-08
1987,9.77730663098697e-09
1988,3.597932174415064e-09
1989,4.390497854167563e-09
1990,5.993515961311147e-09
1991,2.930732601047481e-09
1992,3.856960972825618e-09
1993,5.539207592608619e-09
1994,4.747434001473039e-09
1995,4.880205572987961e-09
1996,4.804283193493575e-09
1997,5.274383707565278e-09
1998,7.1521940592234046e-09
1999,3.656160929565999e-09
2000,2.2090156370779823e-09
2001,4.8193329327261836e-09
2002,6.571832411594869e-09
2003,5.0003075569016175e-09
2004,4.845270407116686e-09
2005,5.4044992925383895e-09
2006,6.588624035241963e-09
2007,5.192823504529542e-09
2008,5.108927669805752e-09
2009,9.059565986291318e-09
2010,1.0392344318432833e-08
2011,1.2619107314648659e-08
2012,9.191482464032674e-09
2013,1.4782362334209154e-08
2014,1.9272462514763333e-08
2015,1.906254887273917e-08
2016,1.9677731222245143e-08
2017,1.3332739912108593e-08
2018,1.7295826992835828e-08
2019,2.4234382833832058e-08
