year,un_DET oeuf_NOUN,un_DET boeuf_NOUN
1800,6.602745603601079e-07,6.288329146286742e-07
1801,6.381569428448586e-07,6.095827629337691e-07
1802,5.527465418708744e-07,6.668763319339632e-07
1803,1.91328272514113e-06,7.645329560546088e-07
1804,5.883005140816522e-07,1.952762178625278e-07
1805,4.77603456783271e-07,5.68575558190787e-07
1806,2.7952190517765985e-07,2.1612518175118112e-07
1807,4.982171710743444e-07,1.395008073501458e-07
1808,2.855253202760366e-07,3.807004396172431e-07
1809,2.6204753966752037e-07,1.4231892664362533e-07
1810,2.9251585154099757e-07,1.8252988054356933e-07
1811,2.4318644697984837e-07,2.3315813990620882e-07
1812,2.827240628278105e-07,1.6003248859419728e-07
1813,1.8692321157587344e-07,2.3005933269537593e-07
1814,1.258670891957081e-07,1.0384034787591645e-07
1815,1.591361922237411e-07,8.36139331106267e-08
1816,2.642068555047672e-07,5.3304889391370125e-08
1817,3.300571574937905e-07,1.0898113667057174e-07
1818,2.1696542740201608e-07,1.8835459636434848e-07
1819,2.370390478345641e-07,7.659777279123148e-08
1820,1.2578470620638882e-07,1.0442503306506978e-07
1821,1.4397773162588834e-07,8.480880175909533e-08
1822,1.7244059336007922e-07,8.321261191213125e-08
1823,1.3835761925040657e-07,6.819054054751916e-08
1824,1.2379036196108473e-07,6.06320114115988e-08
1825,1.338427406682996e-07,6.780191186273044e-08
1826,1.858484713901376e-07,7.839105875540042e-08
1827,2.2213628575462607e-07,7.650336542042169e-08
1828,1.8894940900793245e-07,6.328887514062131e-08
1829,1.4317203822500346e-07,7.630127002444809e-08
1830,1.4924675206806626e-07,7.723258388381282e-08
1831,2.245133647882369e-07,1.8865358786257502e-07
1832,9.606278006391022e-08,1.542416483424347e-07
1833,2.050302218004063e-07,9.846084125797461e-08
1834,1.6428774607391006e-07,8.027696463130951e-08
1835,1.459675971204888e-07,9.907645193152348e-08
1836,1.391195243449772e-07,5.779845135833739e-08
1837,1.8438411486521034e-07,5.566312821780883e-08
1838,1.2245593872250993e-07,8.710783294674229e-08
1839,1.6849454687051235e-07,1.2025337192689278e-07
1840,1.3376346563731545e-07,5.987507512017487e-08
1841,1.3162124279375575e-07,4.9438222404774024e-08
1842,1.0733224353742798e-07,4.8970334454168096e-08
1843,8.565021347717305e-08,5.965979987809789e-08
1844,8.726812417148011e-08,5.982531681159031e-08
1845,9.207376455711014e-08,5.747634901354104e-08
1846,8.547571983541502e-08,4.5665110803838616e-08
1847,1.2781939773276463e-07,2.9662730050006303e-08
1848,6.114368339416032e-08,6.275273078948373e-08
1849,1.399362239418167e-07,4.524883934209356e-08
1850,1.025138391952396e-07,6.177986211497455e-08
1851,1.0061124400273513e-07,5.0305623666702104e-08
1852,7.812654567729282e-08,4.427170896548205e-08
1853,9.85368766581729e-08,4.896984062696674e-08
1854,6.754363757188742e-08,7.637626692202915e-08
1855,7.588920070134009e-08,4.192480318465641e-08
1856,1.0457921956197325e-07,5.332505059740811e-08
1857,9.079607166118109e-08,4.10046780974227e-08
1858,7.095830467651609e-08,4.8447391765016334e-08
1859,4.888486349052812e-08,3.717286678472931e-08
1860,2.567800194697156e-07,3.3871161431164865e-08
1861,7.875659435718774e-08,3.489813293899857e-08
1862,6.596260296309886e-08,5.8282023429612195e-08
1863,3.696019323928823e-08,3.196557296636371e-08
1864,7.479775498975272e-08,5.2262533412061885e-08
1865,7.766293091959753e-08,4.2832283719818065e-08
1866,6.422609344358676e-08,1.0655692062044864e-07
1867,5.338092812223749e-08,6.696880028300711e-08
1868,6.866425272811227e-08,3.754304422898258e-08
1869,7.374113564218021e-08,3.125452208152524e-08
1870,6.880858371971499e-08,5.504686972912509e-08
1871,6.90376513734492e-08,4.460894431623785e-08
1872,6.047339506931593e-08,3.205089815772055e-08
1873,1.0116347670674486e-07,4.309923251621939e-08
1874,9.141152113034678e-08,5.377148387664121e-08
1875,1.4361032718568367e-07,1.0355964041863785e-07
1876,9.73408416093946e-08,1.275709151649096e-07
1877,1.2184087783140285e-07,6.246664163711557e-08
1878,1.3467168202829782e-07,6.763779292207062e-08
1879,9.71382752013028e-08,5.498392752212311e-08
