year,aucun_DET ail_NOUN,aucun_DET bail_NOUN
1800,0.0,0.0
1801,0.0,1.6668277424969347e-08
1802,0.0,1.3427040812530322e-08
1803,0.0,1.3652374342143503e-08
1804,0.0,1.4831105232815389e-08
1805,0.0,1.1371510844071508e-08
1806,0.0,4.8988376022407465e-08
1807,0.0,7.97147419184796e-08
1808,0.0,1.5862518409903714e-08
1809,0.0,1.129515236897305e-08
1810,0.0,3.042164831157379e-08
1811,0.0,2.5070768572277302e-08
1812,0.0,4.000812481308458e-08
1813,0.0,2.300593315851529e-08
1814,0.0,6.293354282149721e-09
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,0.0,1.8682481339737933e-08
1818,0.0,7.152706427149269e-09
1819,0.0,1.8631889475706487e-08
1820,0.0,1.898636980968149e-08
1821,0.0,1.1833785507064931e-08
1822,0.0,1.4035862250239006e-08
1823,0.0,7.906149512848515e-09
1824,0.0,2.0210670470532932e-08
1825,0.0,2.1133063299316746e-08
1826,0.0,2.290075862276808e-08
1827,0.0,3.226045630633223e-08
1828,9.172301251858528e-10,1.3758452155343548e-08
1829,8.57317605795771e-10,2.829148082472699e-08
1830,0.0,2.609208960002718e-08
1831,0.0,3.274153215215847e-08
1832,0.0,1.3529969367098715e-09
1833,0.0,1.2741991461950875e-08
1834,9.334530925997342e-10,4.0138484536100805e-08
1835,0.0,1.663879345414898e-08
1836,6.720750067579218e-10,6.72075017860152e-09
1837,6.957890930081589e-10,2.6439986200443855e-08
1838,0.0,1.199310784016916e-08
1839,0.0,4.47454411300896e-08
1840,6.369688665408546e-10,1.46502836528839e-08
1841,6.420548537278137e-10,1.0914932957462042e-08
1842,0.0,1.2074877098200432e-08
1843,0.0,1.063243981747064e-08
1844,0.0,1.756339607084101e-08
1845,5.580227946389016e-10,1.8414752223083752e-08
1846,0.0,2.3418005534736608e-08
1847,0.0,1.4022381478184798e-08
1848,1.6090443422100975e-09,3.218088684420195e-09
1849,0.0,1.508294644736452e-08
1850,0.0,1.6972490968214515e-08
1851,6.449438760824933e-10,1.612359690206233e-08
1852,0.0,4.101643469311966e-08
1853,0.0,1.970737528722566e-08
1854,5.195664454227256e-10,1.5586993584726372e-08
1855,0.0,1.4859423913549108e-08
1856,0.0,1.65670055451983e-08
1857,0.0,2.9777204701986193e-08
1858,0.0,5.3830437884982985e-09
1859,0.0,5.092173349652285e-09
1860,0.0,6.865776031039772e-09
1861,0.0,1.7920662842563218e-08
1862,4.517986262886353e-10,1.400575744270327e-08
1863,1.4983863039219614e-09,2.097740781081825e-08
1864,0.0,3.3083623618423985e-08
1865,0.0,1.7886008729650626e-08
1866,4.865612912574591e-10,1.6056522333940393e-08
1867,0.0,1.3102591012170706e-08
1868,0.0,6.915823469455518e-09
1869,0.0,1.1232093810598087e-08
1870,0.0,1.77755516972411e-08
1871,0.0,4.248470730772169e-08
1872,0.0,9.675742873582749e-09
1873,0.0,7.781805422268917e-09
1874,0.0,2.2703515512034755e-08
1875,0.0,2.3458261722009155e-08
1876,0.0,9.069021977836655e-09
1877,1.2369631985365004e-09,2.72131899237138e-08
1878,0.0,1.6305540029293297e-08
1879,0.0,1.4662381087049425e-08
1880,6.417846254436199e-10,1.5402831010646878e-08
1881,0.0,1.1156012114099667e-08
1882,6.655385131892899e-10,9.983077475794744e-09
1883,0.0,2.2749619632556062e-08
1884,0.0,2.3105939384038265e-08
1885,0.0,3.158361439048463e-08
1886,0.0,1.2906927471245666e-08
1887,0.0,1.6322311946481705e-08
1888,0.0,1.521747527988282e-08
1889,0.0,2.944614330147033e-08
1890,0.0,1.9663159989136147e-08
1891,0.0,2.6134301833735663e-08
1892,6.268512375839919e-10,3.071571019752639e-08
1893,0.0,1.6011883430255835e-08
1894,0.0,1.638400193293421e-08
1895,0.0,1.5648397910794642e-08
1896,5.89702897624278e-10,3.302336204491496e-08
1897,5.826713556089658e-10,2.4472196713531957e-08
1898,5.6583548957434e-10,1.2448380326546271e-08
1899,0.0,1.492446166651007e-08
1900,0.0,2.2321527737290126e-08
1901,5.588738916095792e-10,2.1796081606240136e-08
1902,0.0,2.0132164157971033e-08
1903,0.0,2.2680925582108102e-08
1904,0.0,2.418581424024069e-08
1905,0.0,2.2707340008309984e-08
1906,0.0,2.9836270121208486e-08
1907,5.142843373384665e-10,1.9542805373973238e-08
1908,4.911389073214423e-10,1.8663278922304016e-08
1909,0.0,2.09037368525955e-08
1910,5.344150677544235e-10,4.809735609789811e-09
1911,0.0,1.54290850096217e-08
1912,0.0,1.667014770667663e-08
1913,0.0,8.484783542428431e-09
1914,0.0,1.339348720819089e-08
1915,1.1780761921542648e-09,2.3561524287174507e-08
1916,0.0,4.504859418830165e-08
1917,0.0,2.0836206537921953e-08
1918,0.0,1.378365155346728e-08
1919,0.0,1.8415696967366557e-08
1920,7.572231730534895e-10,3.558948824533559e-08
1921,0.0,1.9689143759826777e-08
