year,en_ADP ordure_NOUN,en_ADP bordure_NOUN
1800,6.288328968651058e-09,1.2891074163690064e-07
1801,0.0,2.6193008650921e-08
1802,0.0,1.656001700212073e-07
1803,0.0,4.251739369465213e-07
1804,2.4718509461507665e-09,1.928043786847411e-07
1805,0.0,1.1087222873129576e-07
1806,0.0,7.204172902675055e-08
1807,0.0,1.3950080779423502e-07
1808,0.0,9.970725756147658e-08
1809,0.0,4.3147481876282257e-07
1810,0.0,6.552355102940055e-08
1811,0.0,2.6073598746734206e-07
1812,0.0,8.00162425207418e-09
1813,0.0,8.627225156487839e-09
1814,5.034683425719777e-08,1.8880061958270744e-08
1815,0.0,1.3486118000116676e-08
1816,2.3176038865813098e-09,7.416332437060191e-08
1817,3.113746815941454e-09,1.120948880384276e-07
1818,7.152706427149269e-09,9.179306914575136e-08
1819,1.035105001712111e-09,1.0454560595007933e-07
1820,0.0,8.42520151422832e-08
1821,4.930744257336528e-09,5.621048160264763e-08
1822,0.0,7.318699601910339e-08
1823,9.882686891060644e-10,3.4589405117912975e-08
1824,1.1789557774477544e-08,1.6000115010683658e-08
1825,6.163809906922779e-09,7.396572243578703e-08
1826,8.807984341885344e-10,5.372870504061211e-08
1827,1.566936447261469e-08,1.0784209791836474e-07
1828,0.0,3.485474309172787e-08
1829,8.57317605795771e-10,7.372931065674493e-08
1830,0.0,7.410153135545272e-08
1831,0.0,9.978371906527173e-08
1832,0.0,5.68258712307923e-08
1833,2.3167257001688313e-09,9.730247652051105e-08
1834,0.0,5.974099792638299e-08
1835,0.0,4.689114518896531e-08
1836,6.048674894287842e-09,1.0618785095672933e-07
1837,1.7394727436226276e-08,1.071515214334795e-07
1838,4.418513555037862e-09,5.0497293679896416e-08
1839,4.6842885126352485e-08,7.690622627620769e-08
1840,1.2739377330817092e-09,4.777266437994143e-08
1841,1.926164561183441e-09,8.731945788653661e-08
1842,2.0795621225033756e-08,4.427455024824667e-08
1843,0.0,4.4892523476391943e-08
