year,en_ADP as_NOUN,en_ADP basse_NOUN
1800,3.4585810571030606e-07,6.382653818803874e-07
1801,4.2861285987072506e-07,6.524440163691025e-07
1802,3.3343818017783633e-07,3.312003400424146e-07
1803,3.003522337508002e-07,5.012371975254837e-07
1804,2.4718509372689823e-07,6.402093983837176e-07
1805,2.7860201168294907e-07,7.363053062814373e-07
1806,2.651135728726217e-07,7.319439756514612e-07
1807,2.5622595423158145e-07,2.8754248049267517e-07
1808,2.8099317894714204e-07,8.724384867875301e-07
1809,2.1460790433636134e-07,4.608422443652671e-07
1810,2.808152181899004e-07,4.048419310898055e-07
1811,2.557218179433107e-07,3.7355443316400283e-07
1812,1.9737341272474396e-07,6.187923133893491e-07
1813,2.50189524653166e-07,3.623434470245712e-07
1814,4.0277466961669006e-07,5.569618508616259e-07
1815,2.022917642285904e-07,4.5313355201415106e-07
1816,2.757948678322464e-07,3.9631026815811765e-07
1817,3.720927379546879e-07,5.72929408804157e-07
1818,1.4305412698867315e-07,8.583247621540835e-07
1819,2.918996142575736e-07,4.958153052569969e-07
1820,4.378731439658168e-07,5.96884005332754e-07
1821,4.339054879842763e-07,6.015507767465067e-07
1822,3.8297854132451903e-07,6.396342797643229e-07
1823,3.281052071146817e-07,4.6942763143320576e-07
1824,3.680026168240147e-07,3.4021296002606505e-07
1825,2.8969908849596493e-07,5.168794983134717e-07
1826,2.8449789102324985e-07,3.452729773201213e-07
1827,2.6084881338261923e-07,4.0187309602313093e-07
1828,2.2563861046265288e-07,4.118363152727511e-07
1829,2.777708928980438e-07,5.744027979925903e-07
1830,3.214545323260154e-07,5.635891273669813e-07
1831,2.2451337056139664e-07,5.456922069768666e-07
1832,3.2877825006938366e-07,5.425517726198592e-07
1833,2.9422415903646026e-07,4.702953276813915e-07
1834,3.407103701391634e-07,4.368560428957835e-07
1835,4.3790279136146637e-07,3.637845367165937e-07
1836,3.3536543780909867e-07,5.060724821426277e-07
1837,3.7920506068545023e-07,2.929272040486097e-07
1838,2.7521026901844436e-07,4.797243040588484e-07
1839,2.5868458308764275e-07,3.209087064970362e-07
1840,3.4014138294846674e-07,4.191255228991331e-07
1841,3.820226459616549e-07,4.629215473173076e-07
1842,4.3268309024568907e-07,5.755691576680988e-07
1843,3.3964738710423603e-07,4.7550633008874854e-07
1844,2.6729294777538826e-07,3.7651530698790125e-07
1845,4.0456653921383534e-07,3.3760378476133113e-07
1846,2.915541785775133e-07,5.333450665556683e-07
1847,3.537954720300718e-07,4.5087350297734474e-07
1848,2.5181543988894717e-07,3.50771673485184e-07
1849,2.2875802829780412e-07,2.689792291121762e-07
1850,2.8038552457587684e-07,4.3245904013389236e-07
1851,2.2637530627811486e-07,4.830629580787615e-07
1852,2.793023943237216e-07,3.326888673438333e-07
1853,2.6037622324892595e-07,4.150492634025227e-07
1854,2.9407460516717165e-07,3.231703340489389e-07
1855,3.3539842902996497e-07,5.195491432630206e-07
1856,2.8422767495150936e-07,4.053739196541173e-07
1857,3.1192843735761144e-07,4.080941669037941e-07
1858,3.8366420923585665e-07,4.301541338680437e-07
1859,3.7071023051282737e-07,5.010698684859705e-07
1860,3.9272237825627165e-07,4.3162844454158744e-07
1861,3.485097264110948e-07,3.989705371632013e-07
1862,2.9186190375618537e-07,8.023943283141932e-07
1863,3.3064388560433144e-07,6.662824052483529e-07
1864,3.2700043783862043e-07,4.679654486139384e-07
1865,3.1959472512888e-07,4.400899529244384e-07
1866,4.5785417668309236e-07,4.0335930684420873e-07
1867,3.9550414143718626e-07,5.595291767690469e-07
1868,2.711990786385954e-07,3.8135828095420266e-07
1869,4.0728548655888375e-07,4.199826366679815e-07
1870,4.512696407665828e-07,4.512696212266576e-07
1871,3.8236238508737586e-07,2.8358543047168894e-07
1872,3.368367974543318e-07,3.4772201962240956e-07
1873,3.5137846432498065e-07,5.20782376334239e-07
1874,3.5130700881680355e-07,5.347275222611358e-07
1875,4.7317029022719836e-07,4.5886647259685276e-07
1876,3.301123994159383e-07,6.124612910163307e-07
1877,3.698519965844582e-07,5.02207062935689e-07
1878,3.448319532139976e-07,7.192554658530526e-07
1879,3.335691514116945e-07,6.714148428343947e-07
1880,3.3244444619384694e-07,5.8081508380603e-07
1881,3.4653363067960186e-07,6.74938739564368e-07
1882,3.374280168610966e-07,7.214437403035845e-07
1883,3.7536872571353186e-07,8.126669724939362e-07
1884,3.096195948515401e-07,6.878968221712967e-07
1885,4.447488609615746e-07,7.94102292811516e-07
1886,3.2331852700684394e-07,7.853865544582561e-07
1887,3.042478760040268e-07,7.482147452719801e-07
1888,2.5869708109027556e-07,6.898588784665094e-07
1889,2.982205120072301e-07,8.307571439658545e-07
1890,2.890484358530898e-07,5.990709182057685e-07
1891,2.3520871894611162e-07,5.622062069221556e-07
1892,3.265894872317432e-07,8.989046769158904e-07
1893,2.43873290228791e-07,7.968991071471976e-07
1894,2.2307449065728235e-07,8.462967526767784e-07
1895,2.3773527124681948e-07,8.85940070638469e-07
1896,3.036969786762711e-07,7.064640970000369e-07
1897,2.709421679236712e-07,6.048128716740209e-07
1898,2.5858681684809426e-07,8.085789149347988e-07
1899,2.785899582136153e-07,7.688861263233093e-07
1900,3.021192990226851e-07,7.251901190663546e-07
1901,2.749659515632885e-07,7.254182943228216e-07
