year,en_ADP arc_NOUN,en_ADP barque_NOUN
1800,1.3991532341606217e-06,2.2009152278457123e-08
1801,8.738940096009173e-07,2.3811825400343878e-08
1802,1.3359905324250576e-06,3.5805442166747525e-08
1803,1.92108404917235e-06,2.145373123596528e-08
1804,1.16177000109019e-06,9.887403784603066e-09
1805,1.9274709757155506e-06,9.950071699904584e-08
1806,1.3976094805911998e-06,3.458002950651462e-08
1807,9.480360745328653e-07,5.97860605466849e-08
1808,9.245582077710424e-07,6.798222074166915e-08
1809,1.3328279919733177e-06,1.4457795316502597e-07
1810,2.6654042812879197e-06,3.042164919975221e-08
1811,1.9379704099264927e-06,5.264861258069686e-08
1812,1.0722177421484957e-06,2.9339290108509886e-08
1813,9.432432648281974e-07,2.0130190847567064e-08
1814,1.3750978951065917e-06,8.181360300341112e-08
1815,4.612252268998418e-07,3.236668177919455e-08
1816,1.5296185438273824e-06,6.952811659743929e-09
1817,1.591124600963667e-06,2.9580593974287694e-08
1818,8.154085548994772e-07,1.9073883805731384e-08
1819,8.767339636506222e-07,3.1053151161586356e-08
1820,7.606414555993979e-07,2.610625848831205e-08
1821,5.19700449785887e-07,5.423818549843418e-08
1822,7.138238515835837e-07,3.709477880420309e-08
1823,6.176679221425729e-07,8.795591099897138e-08
1824,6.80425898735848e-07,3.3684450784221553e-08
1825,1.376290697407967e-06,2.6416328680056722e-08
1826,8.305929100060894e-07,1.3211976401805714e-08
1827,8.949971856964112e-07,1.474763688946723e-08
1828,1.3143907153789769e-06,3.0268594741755805e-08
1829,2.284751417391817e-06,3.6864655328372464e-08
1830,1.2837308531743474e-06,4.5922078584226256e-08
1831,1.6308401882270118e-06,4.2096257146795324e-08
1832,1.6682452042005025e-06,4.4648898134269643e-08
1833,1.1884802688655327e-06,6.602667923516492e-08
1834,1.2050879831804195e-06,3.640467127752345e-08
1835,9.642936902309884e-07,7.033671778344797e-08
1836,7.117274094525783e-07,5.107770206791429e-08
