year,en_ADP arts_NOUN,en_ADP barres_NOUN
1800,5.345079756580162e-08,5.439404731077957e-07
1801,6.42919282256571e-08,9.405671335116494e-07
1802,9.398928568771225e-08,8.190494895643496e-07
1803,7.80135707145746e-08,6.748173859705275e-07
1804,6.921182560404304e-08,5.092012997920392e-07
1805,2.558589917711629e-08,4.1221727542506414e-07
1806,4.8988375134229045e-08,1.930718269704812e-07
1807,4.27043254092041e-08,3.4448157748556696e-07
1808,4.5321479902327155e-09,3.874986589380569e-07
1809,1.581321384946932e-08,5.941250265095732e-07
1810,5.616304221689461e-08,7.535207942055422e-07
1811,3.7606150637969904e-08,1.1206633416804834e-06
1812,5.06769564090348e-08,2.0884240257146303e-06
1813,4.3136123117903935e-08,5.377636966841237e-07
1814,9.440030979135372e-09,1.1013370340151596e-06
1815,2.6972236000233352e-08,8.145615311150323e-07
1816,8.57513455798653e-08,3.290997483418323e-07
1817,2.1796228488746294e-08,2.3664475179430156e-07
1818,4.4108355412575406e-08,4.875761305811466e-07
1819,9.212434237682032e-08,9.315945135313086e-07
1820,3.44127952800477e-08,5.197518930799561e-07
1821,7.001656854299654e-08,2.031466550533878e-07
1822,3.308453244699194e-08,4.190707443285646e-07
1823,6.32491954366543e-08,6.838819217591663e-07
1824,3.1158117863583357e-08,5.650566663462087e-07
1825,4.3146671568905504e-08,3.918422066817584e-07
1826,8.807984186454121e-08,7.407514885926503e-07
1827,3.686909327837995e-08,1.1263507531111827e-06
1828,3.3937512911030865e-08,5.310762389854062e-07
1829,3.686465693819585e-08,7.638699912604352e-07
1830,3.131050774207722e-08,1.2200661103634047e-06
1831,3.741889442743229e-08,8.731075240575592e-07
1832,5.276688019861808e-08,4.464889968858188e-07
1833,4.51761508202253e-08,7.645194841643388e-07
1834,2.4269779741459274e-08,5.42336238140706e-07
1835,3.932805725526123e-08,7.691660357522778e-07
1836,6.922372786100084e-08,5.168257075638394e-07
1837,3.89641890974346e-08,8.252058592006506e-07
1838,4.102905393210676e-08,6.469965683209011e-07
