year,un_DET ail_NOUN,un_DET bail_NOUN
1800,4.4018304556914245e-08,1.219935789720239e-06
1801,2.8574191901498125e-08,9.024681748570629e-07
1802,3.1329761895904085e-08,1.2576661845287163e-06
1803,4.4857802805609026e-08,1.2326143696839154e-06
1804,6.673997310358004e-08,1.740183062537426e-06
1805,5.970043304159844e-08,1.6175974106857893e-06
1806,5.76333825108577e-09,1.9768250965057632e-06
1807,5.124519342203371e-08,5.215621953880145e-06
1808,2.4926813058101516e-08,2.710224443092102e-06
1809,1.8072244367672852e-08,1.9766516032859727e-06
1810,3.7442028144596406e-08,2.8923965871285873e-06
1811,2.2563690471599784e-08,2.2663973169301244e-06
1812,2.1337665412346496e-08,2.33380731273769e-06
1813,4.6011864762718346e-08,1.2624506027236748e-06
1814,9.440030979135372e-09,1.0006433299736273e-06
1815,8.631115377966125e-08,1.65339798385844e-06
1816,3.476405829871965e-08,5.214608922443631e-07
1817,6.227493631882908e-09,6.289768430534082e-07
1818,5.4837415275343915e-08,9.453493881039776e-07
1819,7.14222423425781e-08,1.062017741304544e-06
1820,2.966620193944891e-08,1.0169574506946333e-06
1821,1.2819934447350079e-08,1.1537940913797229e-06
1822,2.606660132187244e-08,1.4406809754063943e-06
1823,1.9765374226210497e-08,1.325268339513741e-06
1824,5.052667617633233e-08,1.2867460270626907e-06
1825,3.698286188402733e-08,1.7285084581430965e-06
1826,2.554315514657901e-08,1.6541394955993383e-06
1827,4.239945700090786e-08,2.1513114880633566e-06
1828,2.935136400594729e-08,2.7902139407842697e-06
1829,5.143905729143583e-08,2.17930130474997e-06
1830,1.3567886592014133e-08,1.491423873289932e-06
1831,3.118241287403123e-08,2.1048127329947874e-06
1832,2.5706941575442954e-08,1.666892178064927e-06
1833,3.127579673023462e-08,2.2773412950982674e-06
1834,2.0535967371060337e-08,2.3812387439647864e-06
1835,4.310960122211327e-08,1.8764021305628376e-06
1836,2.9571300685926616e-08,1.5014155572146137e-06
1837,1.600314936123226e-08,1.2586824365001803e-06
1838,1.830526930035603e-08,1.5534230364266932e-06
1839,4.61437361654049e-08,1.7695423615293748e-06
1840,3.7581163681021934e-08,1.9261939030457143e-06
1841,2.8250413564023802e-08,2.6709481062425766e-06
1842,2.3478927246856074e-08,1.7984859148612031e-06
1843,2.8353172587536335e-08,1.5759638642975915e-06
1844,2.3600813359170303e-08,1.8172626923274038e-06
1845,5.1896120678573965e-08,1.547955225333908e-06
1846,3.86397085438972e-08,1.6222823653322394e-06
1847,2.480882788091776e-08,1.668663362153211e-06
1848,2.9767320941509468e-08,1.8801682983848877e-06
1849,1.8434711979153917e-08,2.690630033441721e-06
1850,3.1229382635444836e-08,3.209158506933818e-06
1851,2.063820381259518e-08,1.5375462503186554e-06
1852,4.231854622283038e-08,2.413459093020265e-06
1853,3.5831592359869546e-08,3.2899373394457143e-06
1854,2.7017455717093242e-08,1.6454669093945995e-06
1855,3.290301009428731e-08,1.4339343721303521e-06
1856,1.9673319640034492e-08,1.5210582269276074e-06
1857,3.368241174861453e-08,1.6953480823644895e-06
1858,2.4957746813658588e-08,1.6393814732396095e-06
1859,2.189634606963864e-08,1.947247142197739e-06
1860,2.5174512335857102e-08,1.1845751579642183e-06
1861,2.263662646218023e-08,1.6072004598299827e-06
1862,3.1625905533294585e-08,1.265939697958629e-06
1863,1.897955925755923e-08,1.4194711930315407e-06
1864,2.493258499658424e-08,1.2125867137058322e-06
1865,2.8711750421628324e-08,1.3871070869697633e-06
1866,2.676087196284982e-08,1.522936848630252e-06
1867,3.54255238477208e-08,1.3141414001438534e-06
1868,3.0133230910500686e-08,1.2571979119968546e-06
1869,3.076617138830784e-08,1.1217443436351004e-06
1870,3.4404291859857494e-08,1.3503684463955778e-06
1871,2.9739295914765762e-08,2.0647567495757357e-06
1872,3.386509961345041e-08,1.5910549713282762e-06
1873,2.8134221341513665e-08,1.3672034064882155e-06
1874,3.2860350884789113e-08,1.2684094841119986e-06
1875,4.005068870993611e-08,1.2650296241645265e-06
1876,3.1439277181632974e-08,1.227341019927053e-06
1877,6.679601505243937e-08,1.4008608317794824e-06
1878,3.200717091367267e-08,1.9953148608919946e-06
1879,7.086817366275255e-08,1.7429905199151108e-06
1880,4.299956968267793e-08,1.670565382028144e-06
1881,3.277078591823468e-08,1.5939152859800743e-06
1882,4.924984886578443e-08,2.0538518512580595e-06
1883,3.6020232130340446e-08,2.2623233562057976e-06
1884,2.970763546272792e-08,1.749449697996397e-06
1885,2.7716233197416784e-08,1.826048602993069e-06
1886,2.5813854942491332e-08,1.630790357864953e-06
1887,3.199173115309151e-08,2.279900563451065e-06
1888,2.916682828590922e-08,1.7462053172323522e-06
1889,2.944614285738112e-08,1.4898495130921674e-06
1890,3.932631698067013e-08,2.035792526555724e-06
1891,3.059625619528106e-08,2.688645921011812e-06
1892,3.6984224571767754e-08,2.220934007368669e-06
1893,3.2639608404938514e-08,1.9448278898437366e-06
1894,3.276800497609145e-08,1.7259916340606196e-06
1895,3.851913210617397e-08,1.7141013870514143e-06
1896,3.1843956194155254e-08,1.578634670096335e-06
1897,4.544836718078926e-08,1.810942578117647e-06
1898,3.055511665905897e-08,1.9623174338789795e-06
1899,3.592925956752424e-08,1.5676212470339124e-06
1900,4.308574175215796e-08,2.1672646042247834e-06
1901,2.9620317087974968e-08,1.765482636528759e-06
1902,3.289890104785087e-08,1.5266072672659448e-06
1903,4.3201761279476614e-08,1.6924290022757305e-06
1904,2.741058846567057e-08,1.559178798515859e-06
1905,2.6835946298486846e-08,1.8155550201015558e-06
1906,4.3211150213551264e-08,1.9023194610667815e-06
1907,3.445704999105459e-08,1.8457665404980617e-06
1908,3.0450612031884816e-08,1.6237052093970306e-06
1909,2.4754426453110767e-08,1.6117881926902555e-06
1910,2.1911017999975968e-08,1.5711803449391937e-06
1911,3.4050394281948115e-08,1.5950481255799787e-06
1912,2.917275843117295e-08,1.842572231680606e-06
1913,2.7045248096602137e-08,1.7595319725671743e-06
1914,2.343860305842327e-08,1.6942761291716124e-06
1915,2.5917676671483036e-08,1.6328136140941751e-06
1916,1.977743191439174e-08,1.9601631819909926e-06
1917,3.289927341665333e-08,1.6822495005897053e-06
1918,2.8715941624568586e-08,1.4289051648574969e-06
1919,2.3019620598585533e-08,2.1159635128498167e-06
1920,3.256059688538926e-08,2.6820845526742687e-06
1921,3.407736476335188e-08,2.3528526185145893e-06
1922,2.80361542315255e-08,2.3461835034765954e-06
1923,4.671017084234563e-08,2.096649659222294e-06
1924,4.769900963097484e-08,1.7287668612198104e-06
1925,4.8391982421236435e-08,2.157842502015228e-06
1926,6.241837402498618e-08,2.3172822629646816e-06
1927,5.797597046885983e-08,2.2309598151082355e-06
1928,2.056687409268676e-08,2.2417893461579297e-06
1929,3.5649299956475033e-08,1.6844293959650258e-06
1930,3.991369190714522e-08,1.6553679387243392e-06
1931,4.676196141417677e-08,1.5454257891178713e-06
