year,en_PRON allait_VERB,en_PRON balaie_VERB
1800,7.860410988769218e-08,1.2576657937302116e-08
1801,1.904946067554647e-08,1.904946067554647e-08
1802,0.0,0.0
1803,5.265916058760922e-08,0.0
1804,5.9324420931261557e-08,0.0
1805,8.24434565060983e-08,0.0
1806,5.187004603612877e-08,0.0
1807,4.839823830593559e-08,0.0
1808,9.744118045773575e-08,9.064295980465431e-09
1809,9.03612189517844e-08,0.0
1810,8.190443878675069e-08,0.0
1811,5.766276700569506e-08,0.0
1812,9.868670503010435e-08,2.6672082320544632e-09
1813,8.052076339026826e-08,0.0
1814,1.5733386149463513e-08,0.0
1815,3.506390555685357e-08,0.0
1816,8.806894413737609e-08,0.0
1817,7.940054302935096e-08,0.0
1818,6.914282835168706e-08,0.0
1819,4.968504185853817e-08,0.0
1820,9.374520004712394e-08,1.6613073583471305e-08
1821,5.029358973729359e-08,0.0
1822,1.3634837614517892e-07,0.0
1823,7.016707570528524e-08,0.0
1824,1.0105335235266466e-07,0.0
1825,1.4881199206229212e-07,0.0
1826,1.0305341646699162e-07,4.403992281964975e-09
1827,1.2812009231311094e-07,1.8434546111834038e-09
1828,1.0731592681167967e-07,9.172301251858528e-10
1829,2.2290257106760691e-07,2.571952872898464e-09
1830,1.1167414015744725e-07,2.0873671680021744e-09
1831,9.198811312671751e-08,1.5591206103948707e-09
1832,1.4882965615470312e-07,0.0
1833,1.4479535082045913e-07,1.1583628500844156e-09
1834,1.3255034048142988e-07,4.667265685043276e-09
1835,9.302598158456021e-08,0.0
1836,7.796069922960669e-08,2.016224964762614e-09
1837,1.0158520780123581e-07,0.0
1838,7.258986300939796e-08,1.2624323808552163e-09
1839,1.0627042001942755e-07,0.0
1840,1.4204405829332245e-07,5.732719632334238e-09
1841,1.2391659254262777e-07,1.1556987367100646e-08
1842,1.831356399861761e-07,1.341653010911159e-09
1843,8.860366307317236e-08,5.906911071384968e-10
1844,1.2623691247881652e-07,3.841992946007622e-09
1845,9.486387853030465e-08,2.7901139176833567e-09
1846,9.659927258098833e-08,0.0
1847,7.658377398911398e-08,4.853901280910122e-09
1848,9.332457295840868e-08,0.0
1849,1.0055298105271504e-07,1.6758829879393033e-09
1850,1.2763312895458512e-07,1.0183494048021657e-08
1851,1.0512584935895575e-07,6.449438760824933e-10
1852,1.1718982051434068e-07,0.0
1853,1.1346670447665019e-07,1.7915795513800958e-09
1854,1.0910895298366086e-07,1.558699391779328e-09
1855,1.2736649068756378e-07,1.0613874223963649e-09
1856,1.3150061306532734e-07,5.177189232874468e-10
1857,9.079607110606958e-08,0.0
1858,1.008097285648546e-07,0.0
1859,1.0642641967706368e-07,0.0
1860,1.2724571263333928e-07,9.154367819341758e-10
1861,1.1931388144148514e-07,4.715963730639317e-10
1862,1.350877880668122e-07,0.0
1863,1.1437681735060323e-07,0.0
1864,1.4192394814926956e-07,1.4384183844029508e-09
1865,1.2237795488090342e-07,4.706844358715045e-10
1866,1.1969407864853565e-07,2.432806400776144e-09
1867,1.572310850406211e-07,4.85281148598915e-10
1868,9.731552097491658e-08,4.93987406535723e-10
1869,1.157394038386883e-07,0.0
1870,1.1926820775443048e-07,5.734048791339319e-10
1871,1.2320565190293564e-07,0.0
1872,1.4634561296134052e-07,0.0
1873,1.4306550610854174e-07,5.9860045809045914e-09
1874,1.577296870891587e-07,0.0
1875,1.2301283902615978e-07,1.716458086775674e-09
1876,1.1185127135604489e-07,6.04601479992084e-10
