year,aucun_DET an_NOUN,aucun_DET banc_NOUN
1800,3.144164484325529e-09,6.288328968651058e-09
1801,1.4287095950749062e-08,7.143547975374531e-09
1802,0.0,8.951360541686881e-09
1803,1.950339223455444e-09,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,2.842877711017877e-09
1806,2.881669125542885e-09,0.0
1807,0.0,5.693910232196231e-09
1808,9.064295980465431e-09,2.2660739062985158e-08
1809,0.0,4.518061036407062e-09
1810,9.360507036149102e-09,3.7442028144596406e-08
1811,0.0,7.521230305229665e-09
1812,0.0,5.3344164641089264e-09
1813,0.0,6.614205716459765e-08
1814,3.1466771410748606e-09,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,2.384235475716423e-09,8.344824387052086e-09
1819,2.070210003424222e-09,2.070209959015301e-08
1820,0.0,1.1866481131050932e-08
1821,1.97229765852569e-09,0.0
1822,3.0076847679083585e-09,3.308453244699194e-08
1823,8.894418535021487e-09,1.087095569118901e-08
1824,0.0,1.0105335235266466e-08
1825,7.044354211060977e-09,1.7610886970942374e-08
1826,6.1655889282974385e-09,8.80798456392995e-09
1827,0.0,4.608636583469661e-09
1828,9.172301251858528e-10,2.0179061976932644e-08
1829,1.714635211591542e-09,1.8860987438529264e-08
1830,1.0436835840010872e-09,1.6698937344017395e-08
1831,3.1182412207897414e-09,1.5591206103948707e-09
1832,5.411987746839486e-09,1.0823975493678972e-08
1833,1.1583628500844156e-09,3.59092489077284e-08
1834,0.0,2.0535967593104942e-08
1835,9.832014313815307e-09,1.2100940693926532e-08
1836,1.3441500135158435e-09,1.0753200108126748e-08
1837,0.0,8.349469116097907e-09
1838,1.8936485712828244e-09,1.7042836475411605e-08
1839,6.9914751765765e-10,8.38977065598101e-09
1840,7.0066574764382494e-09,1.4013314952876499e-08
1841,0.0,1.219904177673925e-08
1842,6.708265054555795e-10,1.542900918138912e-08
1843,1.7720733769266417e-09,8.860366662588604e-09
1844,2.1954245643662773e-09,7.683985892015244e-09
1845,1.674068439427856e-09,1.0044410636567136e-08
1846,4.0981511517657054e-09,1.4636253098387897e-08
1847,2.1572894581822766e-09,2.1572894581822766e-08
1848,1.6090443422100975e-09,9.65426583121598e-09
1849,8.379414939696517e-10,3.016589289472904e-08
1850,8.82569484161877e-09,5.431196825611551e-09
1851,6.449438760824933e-10,7.094382858952031e-09
1852,3.906327261660181e-09,4.557382027314816e-09
1853,5.971931837933653e-10,1.3138249599364826e-08
1854,5.7152309551611324e-09,1.1950028522278444e-08
1855,5.306937111981824e-10,1.8574279891936385e-08
1856,2.0708756931497874e-09,2.019103773065467e-08
1857,1.9526036343364694e-09,2.5871997433313254e-08
1858,4.893676019968041e-10,5.8724113904951025e-09
1859,1.018434669930457e-09,1.2221216039165483e-08
1860,9.154367819341758e-10,1.2816115280145368e-08
1861,9.431927461278633e-10,1.0375120318428799e-08
1862,3.162590411776023e-09,2.0330938710344526e-08
1863,9.989241656072068e-10,1.4484400345793347e-08
1864,1.9178911792039344e-09,1.0548401596643942e-08
1865,3.294791106611683e-09,6.589582268734517e-09
1866,1.9462451650298362e-09,9.731225603104576e-09
1867,4.85281148598915e-10,5.338092634588065e-09
1868,4.93987406535723e-10,1.6301584082611953e-08
1869,1.4650557433881772e-09,4.395167341186834e-09
1870,2.2936195165357276e-09,1.0321287824410774e-08
1871,4.248470908407853e-09,1.4869648623516696e-08
1872,3.0236697590169115e-09,1.269941218851045e-08
1873,4.190203295451056e-09,1.915521496975714e-08
1874,5.974609140757536e-10,1.1351757756017378e-08
1875,1.1443054281912168e-09,9.154443425529735e-09
1876,1.209202959984168e-09,1.5115036333668286e-08
1877,3.0924081073635534e-09,1.051418752062716e-08
1878,1.8117265465633636e-09,2.536417254006551e-08
1879,6.10932526790009e-10,1.588424503040642e-08
1880,1.9253538763308597e-09,1.2193908105473383e-08
1881,6.972507571312292e-10,6.9725074602899895e-09
1882,3.9932310791357395e-09,1.3310770263785798e-08
1883,0.0,9.479008689083912e-09
1884,6.601696966868076e-10,4.621187876807653e-09
1885,6.445635691854079e-10,7.734762719202593e-09
1886,1.2906927748801422e-09,2.1296431507167313e-08
1887,1.3057849246322917e-09,2.4157020495074732e-08
1888,1.268122939990235e-09,2.028996703984376e-08
1889,6.265136742733546e-10,1.6915869593958632e-08
1890,0.0,2.16294753774271e-08
