year,aucun_DET aveu_NOUN
1800,6.917161954334006e-08
1801,5.476719877606229e-08
1802,2.6854081625060644e-08
1803,7.80135707145746e-08
1804,5.438072037122765e-08
1805,1.3930100806192058e-07
1806,1.7290014397985942e-07
1807,1.9643989901396708e-07
1808,1.2916622438297054e-07
1809,4.51806094758922e-08
1810,1.287069739674962e-07
1811,1.3788921648938413e-07
1812,1.3869482984318893e-07
1813,2.1280487771946355e-07
1814,1.258670891957081e-07
1815,4.045835311217161e-08
1816,9.965697067571e-08
1817,1.3856173097792635e-07
1818,1.9073883095188648e-07
1819,2.0598589856035687e-07
1820,1.8155715508783032e-07
1821,1.0847637099686835e-07
1822,1.1830226753772877e-07
1823,1.3143973376372742e-07
1824,1.8273814816893719e-07
1825,1.1535130539641614e-07
1826,1.6911330191771157e-07
1827,1.8158027614845196e-07
1828,1.4308789292316604e-07
1829,1.0287811136322489e-07
1830,1.80557265139214e-07
1831,1.02901957177437e-07
1832,5.141388470519814e-08
1833,1.0656938265185545e-07
1834,1.456186851100938e-07
1835,1.1647155417904287e-07
1836,7.930485024232325e-08
1837,1.4333254805265483e-07
1838,1.2308715713338358e-07
1839,1.2654570014092315e-07
1840,1.1592833715212691e-07
1841,1.1621193074518033e-07
1842,1.1873629057745916e-07
1843,1.0632439995106324e-07
1844,1.52033141187502e-07
1845,1.395056921649207e-07
1846,9.835562053694957e-08
1847,1.2134753024639622e-07
1848,8.206125867715741e-08
1849,1.4077417453961516e-07
1850,1.1677073263882676e-07
1851,8.513259075471069e-08
1852,7.877759844454602e-08
1853,9.256494593046227e-08
1854,7.689583725323246e-08
1855,8.915654348129465e-08
1856,7.144521418922523e-08
1857,9.56775778604424e-08
1858,5.627727261980908e-08
1859,8.096555603742672e-08
1860,8.696649639317044e-08
1861,6.272231856119248e-08
1862,9.307051845874881e-08
1863,1.0189026333762286e-07
1864,7.192091677765688e-08
1865,8.613524959955043e-08
1866,4.038458856214788e-08
1867,7.667442503134225e-08
1868,6.965222421051465e-08
1869,8.888004587870313e-08
1870,9.805223699643761e-08
1871,8.709365317827178e-08
1872,6.652073003543535e-08
1873,5.9261445861658046e-08
1874,9.619120894255317e-08
1875,5.950388159980946e-08
1876,7.13429741949767e-08
1877,8.90613488513381e-08
1878,6.763779292207062e-08
1879,5.742765629701552e-08
1880,6.482024872411785e-08
1881,4.322954794133693e-08
1882,6.721938672349381e-08
1883,2.7173157057802655e-08
1884,6.535679730745869e-08
1885,4.18966337178972e-08
1886,5.679048342699389e-08
1887,7.965288295608275e-08
1888,4.7554611803946045e-08
1889,5.951879922250214e-08
1890,5.0468775159018264e-08
1891,2.2947192590550003e-08
1892,5.578976169928751e-08
1893,5.973663919078831e-08
1894,4.85218523138542e-08
1895,5.416753179332545e-08
1896,5.248355783304959e-08
1897,3.670829484825333e-08
1898,5.488604148951026e-08
1899,9.396883449142024e-08
1900,5.2429637520390315e-08
1901,6.315275102863893e-08
1902,4.517461116293475e-08
1903,4.86019817724781e-08
1904,4.729670255443352e-08
1905,3.6641388589941926e-08
1906,3.4980454977073805e-08
1907,4.6799875974556926e-08
1908,4.66581955294032e-08
1909,8.801573647687633e-08
1910,3.473698040323825e-08
1911,3.2986320008809855e-08
1912,4.948950049765699e-08
1913,5.143900017046121e-08
1914,4.7546880210802556e-08
1915,2.591767678250534e-08
1916,2.5271162051865304e-08
1917,1.973956376133401e-08
1918,1.8378202071289707e-08
1919,3.2227468305112694e-08
1920,3.483226640454973e-08
1921,5.300923078266351e-08
1922,4.131643893678927e-08
1923,5.6264525483129546e-08
1924,3.480738541838946e-08
1925,3.519416935660047e-08
1926,2.8979960653430226e-08
1927,4.7941666636575064e-08
1928,1.828166551476329e-08
1929,4.3447585529321486e-08
1930,2.7309368988426286e-08
1931,3.877821175279905e-08
1932,3.835837647514495e-08
1933,2.7529590163055673e-08
1934,2.6359476379411717e-08
1935,2.39365673948555e-08
1936,1.6974599503782883e-08
1937,3.7773354000236736e-08
1938,1.8151300351654243e-08
1939,1.8352860564618823e-08
1940,2.7893612308815818e-08
1941,3.246652768851277e-08
1942,1.8205270180260413e-08
1943,2.9032351855917682e-08
1944,3.213186161588055e-08
1945,4.1391576388605245e-08
1946,3.7586981527226726e-08
1947,3.4570526219468434e-08
1948,4.4574740343250596e-08
1949,4.221313743002497e-08
1950,3.296962081122956e-08
1951,2.558736356128577e-08
1952,2.636200890915319e-08
1953,2.9089334940834988e-08
1954,2.4431339618047332e-08
1955,3.941955295516664e-08
1956,2.8779766569897447e-08
1957,2.562160866803609e-08
1958,2.8125627382635798e-08
1959,3.410329085795638e-08
1960,2.5607082676515347e-08
1961,2.9182269378758008e-08
1962,2.917300001570311e-08
1963,3.297687189984799e-08
1964,1.8251904654320583e-08
1965,3.666269154933843e-08
1966,2.714146618565394e-08
1967,4.092178407244518e-08
1968,3.458390041011228e-08
1969,3.587988617326232e-08
1970,2.3453497283165703e-08
1971,2.928886644326667e-08
1972,1.5903455607979566e-08
1973,1.874489319320105e-08
1974,2.1939730254771916e-08
1975,1.5420996479775795e-08
1976,1.8283285774245428e-08
1977,2.0568737379988988e-08
1978,1.6039596317796168e-08
1979,3.043026208793265e-08
1980,2.274060340035078e-08
1981,2.4037087431594273e-08
1982,1.862250609274696e-08
1983,1.705135233009969e-08
1984,1.3337719650952096e-08
1985,2.045289770880032e-08
1986,1.9182353705460287e-08
1987,1.649920555735207e-08
