year,longues_ADJ ouvertures_NOUN,longues_ADJ couvertures_NOUN
1800,9.432493897065797e-09,3.458580977167003e-08
1801,4.7623651688866175e-09,1.1905912700171939e-08
1802,0.0,2.4616241489638924e-08
1803,0.0,1.950339223455444e-09
1804,1.2359254952798437e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,9.064295980465431e-09
1809,4.51806094758922e-08,0.0
1810,1.1700633351097167e-08,9.360507036149102e-09
1811,1.504245972228091e-08,5.0141535368197765e-09
1812,8.00162425207418e-09,0.0
1813,2.300593315851529e-08,1.1502966579257645e-08
1814,0.0,0.0
1815,0.0,4.5852800667489646e-08
1816,0.0,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,1.3113295338484932e-08
1819,0.0,0.0
1820,1.0679833017945839e-08,5.933240565525466e-09
1821,2.9584463767662328e-09,1.97229765852569e-09
1822,4.010246357211145e-09,7.017931125119503e-09
1823,9.882686891060644e-10,7.906149512848515e-09
1824,0.0,4.210556348027694e-09
1825,0.0,3.522177216552791e-09
1826,1.4092774947016551e-08,2.025836387531399e-08
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,0.0,3.118582370120748e-08
1829,5.143905745796928e-09,9.430493719264632e-09
1830,4.174734336004349e-09,5.218417697960831e-09
1831,2.182768810143898e-08,1.5591206103948707e-09
1832,4.058990921151917e-09,4.058990921151917e-09
1833,1.1583628278799551e-08,0.0
1834,1.3068342852307069e-08,1.3068342852307069e-08
1835,1.5882484660778573e-08,1.285724948729694e-08
1836,3.091545153210973e-08,3.36037508930076e-09
1837,6.957891152126194e-09,4.174734336004349e-09
1838,8.837027110075724e-09,5.049729523420865e-09
1839,4.894032734625853e-09,4.194885327990505e-09
1840,2.5478754661634184e-09,1.0191501864653674e-08
1841,1.4125206782011901e-08,4.494383976094696e-09
1842,1.609983613093391e-08,1.341653010911159e-09
1843,1.594865928211675e-08,1.1813822142769936e-09
1844,9.330554107123135e-09,7.683985892015244e-09
1845,1.0602432709561072e-08,1.1160455892778032e-09
1846,1.8734404250153602e-08,5.269050973311096e-09
1847,1.0786447290911383e-08,1.6179670936367074e-09
1848,1.045878850192139e-08,3.218088684420195e-09
1849,6.703531951757213e-09,4.1897072478036534e-09
1850,2.5119284430275002e-08,3.394498016007219e-09
1851,1.6768540334055615e-08,7.739326512989919e-09
1852,2.6042181744401205e-08,3.906327261660181e-09
1853,1.2541057081705276e-08,7.763511611358354e-09
1854,1.1430461910322265e-08,1.3508727469968562e-08
1855,7.429711956774554e-09,5.306937111981824e-09
1856,5.694908100650764e-09,1.5531567143511893e-09
1857,1.122747050885664e-08,0.0
1858,1.5170396494568195e-08,4.404308473482388e-09
1859,1.2730433596175317e-08,2.036869339860914e-09
1860,2.288591982591015e-09,4.577183909670879e-10
1861,2.357981809808507e-09,4.715963730639317e-10
1862,1.0391368654438793e-08,1.8071945051545413e-09
1863,1.6482248454963155e-08,1.4983863039219614e-09
1864,8.151037178549814e-09,9.589455896019672e-10
1865,2.8241067262513297e-09,7.0602665935837194e-09
1866,4.865612801552288e-09,5.838735717134114e-09
1867,1.067618526917613e-08,1.747012134956094e-08
1868,1.333765986544222e-08,1.4819622196071691e-09
1869,1.0743741896135361e-08,1.953407657850903e-09
1870,4.587239033071455e-09,1.7202146374017957e-09
1871,1.0621176826930423e-08,0.0
1872,1.0280476914203973e-08,6.047339295989218e-10
1873,4.788803575905831e-09,1.7958012854535355e-09
1874,7.169530746864439e-09,5.974609140757536e-10
1875,1.4303817685856757e-08,0.0
1876,7.859819461941697e-09,0.0
1877,1.1132669008873108e-08,1.8554447978047506e-09
1878,6.6429977074733415e-09,4.22736201599605e-09
1879,6.720257683667796e-09,3.0546627449723474e-09
1880,1.2835692508872398e-09,6.417846254436199e-10
1881,2.091752326904839e-09,0.0
1882,3.3276925659464496e-09,1.9966155395678697e-09
1883,1.2638677882037541e-09,0.0
1884,6.601696966868076e-09,8.582206056928499e-09
1885,2.5782542767416317e-09,0.0
1886,9.034849313138693e-09,1.936039106809062e-09
1887,3.264462256069578e-09,6.528924623161458e-10
1888,8.876860135842435e-09,6.340614699951175e-10
1889,3.132568426877924e-09,6.265136742733546e-10
1890,1.9663159989136147e-09,6.554386478008212e-10
1891,1.4023283867459213e-08,6.3742202627281586e-09
1892,6.268512375839919e-10,1.2537024751679837e-09
1893,2.463366621796581e-09,4.926733243593162e-09
1894,6.301539290376468e-09,1.2603078580752936e-09
1895,1.2037228991346183e-09,3.0093072478365457e-09
1896,1.179405795248556e-09,2.948514543632541e-09
1897,1.1653427112179315e-09,2.9133566670225264e-09
1898,1.0185038590293516e-08,0.0
1899,4.4220627160029835e-09,6.080336234504102e-09
1900,4.671947717582725e-09,3.633737311048435e-09
1901,5.029864968975062e-09,3.353243460679778e-09
1902,6.874397495693074e-09,0.0
1903,2.1600881083827517e-09,1.0800440541913758e-09
1904,5.912087708281888e-09,5.374625189347171e-10
1905,1.0321518084666081e-09,1.5482277682110634e-09
1906,2.572092316910357e-09,5.144184522798412e-10
1907,3.599990305858114e-09,0.0
1908,3.929111258571538e-09,9.822778146428846e-10
1909,1.1552065082298668e-08,2.2003934230241384e-09
1910,1.068830135508847e-09,1.6032452032632705e-09
1911,3.1922244847493175e-09,5.320374141248863e-10
1912,8.335073964360618e-09,0.0
1913,1.590896969716482e-09,2.121195885607108e-09
1914,1.3393487430235496e-09,1.3393487430235496e-09
1915,4.712304768617059e-09,0.0
1916,1.0987462051303964e-09,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,1.8415696745321952e-09,2.762354567309444e-09
1920,4.543339038320937e-09,4.543339038320937e-09
1921,7.572747429129834e-10,0.0
1922,2.951174193910333e-09,0.0
1923,1.0615948120573648e-09,2.1231896241147297e-09
1924,2.578324886925998e-09,5.156649773851996e-09
1925,6.598906754362588e-09,2.1996355847875293e-09
1926,5.57306911730393e-09,5.57306911730393e-09
1927,0.0,2.2298449753321847e-09
1928,2.2852082448565625e-09,0.0
1929,8.912325100141061e-09,2.2280812750352652e-09
1930,4.201441416995522e-09,4.201441416995522e-09
1931,1.1405356659111021e-09,1.1405356659111021e-09
1932,1.0959536611565568e-09,5.4797681947604815e-09
1933,1.1470662197865522e-09,0.0
1934,2.3963160344919743e-09,0.0
1935,5.98414207075848e-09,0.0
1936,7.274828739411987e-09,0.0
1937,3.777335333410292e-09,0.0
1938,2.5930428915188486e-09,1.2965214457594243e-09
1939,3.058810094103137e-09,1.5294050470515685e-09
1940,0.0,2.5357829169792012e-09
1941,5.9030051957620344e-09,0.0
1942,3.034211770724937e-09,3.034211770724937e-09
1943,0.0,0.0
1944,1.6065930807940276e-08,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,1.1920870957027319e-09,1.1920870957027319e-09
1948,5.435944139264848e-09,0.0
1949,9.817008317369869e-10,9.817008317369869e-10
1950,0.0,1.0635361480382244e-09
1951,7.462981344019681e-09,0.0
1952,3.1634410646574906e-09,1.0544803918932644e-09
1953,6.464296653518886e-09,1.0773827385790469e-09
1954,3.9090144454689835e-09,0.0
1955,1.8771215692936494e-09,1.8771215692936494e-09
1956,4.360570571293465e-09,8.72114158667614e-10
1957,8.835037701437898e-10,0.0
1958,8.272243445794913e-10,0.0
1959,7.750747599288843e-09,0.0
1960,2.076250060767393e-09,6.920833350854139e-10
1961,6.948159270159238e-10,6.948159270159238e-10
1962,1.9025869768540815e-09,1.9025869768540815e-09
1963,2.5864212993553792e-09,0.0
1964,1.8251904432275978e-09,0.0
1965,5.47204326295514e-09,0.0
1966,3.3234448526542337e-09,5.539074754423723e-10
1967,5.423369309198733e-09,1.4791006197611978e-09
1968,8.982831700699023e-10,4.4914158503495116e-10
1969,1.3625273131978588e-09,4.5417578031781147e-10
1970,3.219107425067591e-09,2.2993624781975086e-09
1971,2.569198631618974e-09,5.138397485282553e-10
1972,3.0780880067027283e-09,5.130146862875051e-10
1973,1.6539611902288698e-09,5.513203782392395e-10
1974,1.6876715580593782e-09,0.0
1975,1.1422960355389478e-09,0.0
1976,1.7140580066410394e-09,5.713526873840635e-10
1977,1.7630346071939584e-09,1.7630346071939584e-09
1978,1.1881182704343018e-09,0.0
1979,4.681578680276743e-09,0.0
1980,3.97960553399912e-09,0.0
1981,4.427884725544118e-09,0.0
1982,3.1037510339615437e-09,0.0
1983,2.5261264191556165e-09,2.5261264191556165e-09
1984,5.799008495621649e-10,0.0
1985,6.015558051686298e-10,1.8046674155058895e-09
1986,2.3977941854269602e-09,0.0
1987,6.110816852533674e-10,6.110816852533674e-10
1988,2.398621523624911e-09,5.996553809062277e-10
1989,4.390497743145261e-09,5.488122178931576e-10
1990,3.814055737905164e-09,1.6345953479657283e-09
1991,2.344586080837985e-09,0.0
1992,1.65298330578878e-09,0.0
1993,2.2156829704300662e-09,0.0
