year,pas_ADV allé_VERB,pas_ADV calé_VERB
1800,1.2891074163690064e-07,0.0
1801,7.143547975374531e-08,0.0
1802,1.3427040812530322e-07,0.0
1803,9.55666195068261e-08,0.0
1804,9.88740396223875e-08,0.0
1805,1.9331568523739406e-07,0.0
1806,1.2103009794373065e-07,0.0
1807,9.11025637151397e-08,0.0
1808,1.3369836437959748e-07,0.0
1809,9.262025457701384e-08,0.0
1810,1.2870697219113936e-07,0.0
1811,1.42903374467096e-07,0.0
1812,1.0135391192989118e-07,0.0
1813,2.2143210287595139e-07,0.0
1814,1.3845379953636439e-07,0.0
1815,1.4295284245235962e-07,0.0
1816,2.2944279010062019e-07,0.0
1817,1.1365175822675155e-07,0.0
1818,2.563053271842364e-07,0.0
1819,1.687221100610259e-07,3.1053151161586356e-09
1820,1.5307760747873544e-07,0.0
1821,2.2089733420216362e-07,0.0
1822,1.9349438673543773e-07,0.0
1823,1.4824030358795426e-07,0.0
1824,2.2315948911000305e-07,0.0
1825,2.1133062944045378e-07,0.0
1826,2.0610683293398324e-07,0.0
1827,2.5439672413085646e-07,1.8434546111834038e-09
1828,2.815896493757464e-07,0.0
1829,1.7575010247128375e-07,0.0
1830,2.3169775431597373e-07,0.0
1831,2.2139512623198243e-07,0.0
1832,2.557164293648384e-07,0.0
1833,2.3051420328101813e-07,0.0
1834,3.03372246435174e-07,0.0
1835,4.462222022993956e-07,0.0
1836,3.844268974262377e-07,0.0
1837,2.748366796367918e-07,0.0
1838,2.2471296290405007e-07,0.0
1839,3.139172406463331e-07,0.0
1840,2.840881165866449e-07,3.1848443882154243e-09
1841,2.857144068002526e-07,0.0
1842,3.9780010752110684e-07,0.0
1843,2.894386454954656e-07,5.906911071384968e-10
1844,3.271182436037634e-07,5.488561272137815e-10
1845,2.8459163559091394e-07,0.0
1846,2.93895965342017e-07,1.7563503984519002e-09
1847,3.397730949927791e-07,0.0
1848,3.620349673383316e-07,0.0
1849,3.2679719197403756e-07,0.0
1850,3.129727303985419e-07,0.0
1851,3.237618386719987e-07,5.159551008659946e-09
1852,3.0143826279527275e-07,0.0
1853,2.6754253212857293e-07,5.971931837933653e-10
1854,2.514701691325172e-07,0.0
1855,3.550341034497251e-07,2.1227748447927297e-09
1856,3.2202117949964304e-07,0.0
1857,3.656250271433237e-07,0.0
1858,4.335796859322727e-07,2.936205500958522e-09
1859,3.747839514289808e-07,3.5645213447565993e-09
1860,3.7624451465489983e-07,0.0
1861,3.51339309645482e-07,9.431927461278633e-10
1862,4.4773244667339895e-07,4.517986429419807e-09
1863,4.0855996985555976e-07,2.9967726078439227e-09
1864,4.708422807198076e-07,4.794728170054441e-09
1865,2.8617614589165896e-07,0.0
1866,4.812090992345475e-07,4.379051787850585e-09
1867,4.1200368627869466e-07,4.85281148598915e-10
1868,3.976598748067772e-07,3.951899252285784e-09
1869,4.3267979776828724e-07,1.4650557433881772e-09
1870,3.732865820893494e-07,2.2936195165357276e-09
1871,3.9723204281472135e-07,8.496941816815706e-09
1872,4.729019451588101e-07,4.8378714367913744e-09
1873,3.884916850438458e-07,9.577607151811662e-09
1874,4.45705836682464e-07,7.766991494406739e-09
1875,4.806082642971887e-07,6.293679799540541e-09
1876,4.30476262636148e-07,2.418405919968336e-09
1877,4.020130290882662e-07,1.2369631985365004e-09
1878,3.57514039706075e-07,1.2078177347163432e-09
1879,4.5819939487046213e-07,2.443730107160036e-09
1880,4.364135577361594e-07,3.2089231272180996e-09
1881,3.988274386301782e-07,5.5780060570498335e-09
1882,4.1795817651291145e-07,9.317538740560849e-09
1883,4.1581250798117253e-07,1.8958017378167824e-09
1884,5.083306859887671e-07,1.9805090900604227e-09
1885,5.034041237195197e-07,2.5782542767416317e-09
1886,4.594866140905651e-07,2.5813855497602844e-09
