year,trois_DET oeufs_NOUN,trois_DET queues_NOUN
1800,1.0690159513160324e-07,2.389564883742423e-07
1801,6.429193177837078e-08,4.833800630876794e-07
1802,5.594600338554301e-08,1.208433673127729e-07
1803,3.70564464446943e-07,3.1985564419301227e-07
1804,4.943701981119375e-08,1.1617699158250616e-07
1805,1.1371510844071508e-08,1.648869130121966e-07
1806,1.729001475325731e-08,1.181484350354367e-07
1807,1.1387820464392462e-08,1.822051274302794e-07
1808,1.8128591960930862e-08,1.6315732409566408e-07
1809,9.036122072814123e-09,1.9427662323323602e-07
1810,2.8081521108447305e-08,1.8955026348521642e-07
1811,5.0141535368197765e-09,1.3036799373367103e-07
1812,2.6672082320544632e-09,3.2273220540446346e-07
1813,5.751483289628823e-09,1.6679301495514665e-07
1814,3.1466771410748606e-09,1.3530711839848664e-07
1815,2.697223555614414e-09,9.170560133497929e-08
1816,1.8540831092650478e-08,1.0892738089296472e-07
1817,4.826307531402563e-08,6.538868291272593e-08
1818,4.768470773797162e-08,1.585516571367407e-07
1819,8.280840013696888e-09,2.753379249043064e-07
1820,1.6613073583471305e-08,8.306536614099969e-08
1821,9.86148829262845e-10,1.2228245793721726e-07
1822,4.010246357211145e-09,1.3233812978796777e-07
1823,1.087095569118901e-08,1.096978223813494e-07
1824,1.6842225392110777e-08,2.223173680704349e-07
1825,2.641632912414593e-09,1.5233416661430965e-07
1826,2.1139161532346407e-08,1.532589237740467e-07
1827,5.530363722527909e-09,1.5024154720322258e-07
1828,1.834460228167245e-08,2.4948658960965986e-07
1829,8.573175946935407e-09,1.9203913836918218e-07
1830,6.262101504006523e-09,1.8264462653405644e-07
1831,1.4032085715598441e-08,1.8397622625343502e-07
1832,0.0,1.1094574858816486e-07
1833,6.950176989484191e-09,2.1545548634094303e-07
1834,5.600718555598405e-09,1.4001795989315724e-07
1835,2.4201881387853064e-08,1.3008511245971022e-07
1836,4.032449929525228e-09,1.317267077638462e-07
1837,3.478945576063097e-09,2.61616690977462e-07
1838,2.5248647617104325e-09,1.6096012700472784e-07
1839,6.9914749545318955e-09,2.95739397415673e-07
1840,1.3376346252869098e-08,1.5414646270528465e-07
1841,3.852329122366882e-09,1.264848066284685e-07
1842,5.366612043644636e-09,1.18065464960182e-07
1843,2.3627644285539873e-09,6.497602100807853e-08
1844,5.488561161115513e-09,2.2009130873357208e-07
1845,5.580227946389016e-10,4.687391452762313e-08
1846,3.5127007969038004e-09,7.318126904465316e-08
1847,9.168480197274675e-09,9.006683399093163e-08
1848,8.84974404868899e-09,4.98803736093123e-08
1849,7.54147322368226e-09,5.614208120618969e-08
1850,3.394498016007219e-09,9.233034603539636e-08
1851,6.449438760824933e-09,2.902247508984601e-08
1852,2.6042181744401205e-09,7.682443481371592e-08
1853,6.569124799682413e-09,9.734248607173868e-08
1854,6.754363734984281e-09,1.0703068653583614e-07
1855,3.1841622671890946e-09,1.58146718831631e-07
1856,6.730345947225658e-09,4.141751475117417e-08
1857,1.9526036343364694e-09,8.59145572462694e-08
1858,1.468102750479261e-09,6.312841804856362e-08
1859,1.5276520048956854e-09,9.471442297126487e-08
1860,1.8308735638683515e-09,5.126446112058147e-08
1861,2.8295783494058924e-09,4.6688040100661965e-08
1862,1.9879140111811466e-08,8.448634503110952e-08
1863,4.495158911765884e-09,8.490855663012553e-08
1864,1.4384183844029508e-09,3.548098703731739e-08
1865,4.706844358715045e-10,3.9066808454890634e-08
1866,9.731225825149181e-10,5.93604774223877e-08
1867,3.396968040192405e-09,6.939520602600169e-08
1868,3.951899252285784e-09,1.8277534152844055e-08
1869,1.953407657850903e-09,3.369628132077196e-08
1870,1.7202146374017957e-09,9.575861525945584e-08
1871,1.0621177271019633e-09,6.266494523288202e-08
1872,1.8142017887967654e-09,1.9351485747165498e-08
1873,4.788803575905831e-09,5.566984029314881e-08
1874,4.182226565063729e-09,4.241972462182275e-08
1875,5.721527251978387e-09,7.15190893174622e-08
1876,6.650616057868319e-09,6.529695895096665e-08
1877,1.2369631985365004e-09,4.576763856789512e-08
1878,1.8117265465633636e-09,6.280652087298222e-08
1879,3.0546627449723474e-09,5.9260454321474754e-08
1880,4.492492600149944e-09,3.5939940801199555e-08
1881,1.3945015142624584e-09,6.972507549107831e-08
1882,5.324307883469714e-09,6.256062334841772e-08
1883,1.2638677882037541e-09,5.8769852984141835e-08
1884,2.6406787867472303e-09,3.498899303622238e-08
1885,6.445635691854079e-10,5.1565084646654213e-08
1886,3.2267319927115068e-09,4.711028722681476e-08
1887,6.528924623161458e-10,4.374379614091595e-08
1888,1.9021844099853524e-09,3.550744054336974e-08
1889,1.2530273707511697e-08,3.884384724983647e-08
1890,7.865263995654459e-09,1.4419650362640368e-08
1891,3.824531802365527e-09,3.059625441892422e-08
1892,3.761107425503951e-09,3.8864776286118285e-08
1893,7.3900996988562895e-09,1.6011883374744684e-08
1894,2.520615716150587e-09,4.7261544011689693e-08
1895,1.2037228991346183e-09,1.444467478961542e-08
1896,2.94851448812139e-09,2.0639602027472392e-08
1897,1.1653427112179315e-09,3.787363667129284e-08
1898,3.395012826423738e-09,2.7160103499568322e-08
1899,1.6582735185011188e-09,3.0954439012020885e-08
1900,4.15284251431558e-09,4.4123950715402316e-08
1901,7.824234649067563e-09,3.63268028991115e-08
1902,3.928227076954727e-09,3.4863013809172116e-08
1903,1.6200660812870638e-09,5.94024243127933e-08
1904,3.2247751136083025e-09,2.418581246388385e-08
1905,3.6125312741219773e-09,1.8062657147766004e-08
1906,3.600929110447737e-09,1.9033482345776065e-08
1907,6.685696440911215e-09,1.5942815068115124e-08
1908,3.929111258571538e-09,4.174680867663483e-08
1909,1.0451868703853506e-08,3.135560788791736e-08
1910,8.01622590529405e-09,2.672075360976578e-08
1911,1.0108711090417444e-08,2.3409645777405785e-08
1912,5.2094213387476884e-09,3.959160110866833e-08
1913,1.1136278177392711e-08,2.2802856491921375e-08
1914,2.209925398233281e-08,2.8795998474606677e-08
1915,3.2986132936230206e-08,2.709575319670421e-08
1916,3.2962386153911893e-09,1.2086208478478966e-08
1917,4.3865698851064394e-09,2.631941953268324e-08
1918,4.594550517822427e-09,1.6080926812378493e-08
1919,3.6831393490643904e-09,2.2098836538475553e-08
1920,5.300562211374427e-09,8.329454459499175e-09
1921,1.5145494858259667e-09,3.256281289054641e-08
1922,5.902348387820666e-09,2.0658220023506146e-08
1923,4.246379248229459e-09,5.095655097875351e-08
1924,1.289162443462999e-09,3.9964035636330664e-08
1925,3.299453377181294e-09,2.859526304632709e-08
1926,8.916910765321973e-09,3.1209186346359274e-08
1927,1.1149224654616319e-08,2.2298449309232637e-08
1928,3.4278122562625413e-09,2.8565102283550914e-08
1929,0.0,4.567566591617833e-08
1930,2.100720708497761e-09,4.096405348263943e-08
1931,1.0264820993199919e-08,2.737285598186645e-08
1932,3.287861094491973e-09,1.2055489939655217e-08
1933,4.588264879146209e-09,2.7529589274877253e-08
1934,2.3963160344919743e-09,1.0783422155213884e-08
1935,2.393656828303392e-09,2.154291145473053e-08
1936,9.699771652549316e-09,2.424942913137329e-08
1937,2.5182236296217297e-09,1.510934133364117e-08
1938,6.482607339819424e-09,3.8895642262559704e-09
1939,6.117620188206274e-09,1.8352860564618823e-08
1940,2.5357829169792012e-09,1.2678914806940611e-08
1941,5.9030051957620344e-09,3.246652724442356e-08
1942,6.068423541449874e-09,2.1239483061208375e-08
1943,5.806470415592457e-09,5.8064703267746154e-08
1944,1.6065930807940276e-08,1.2852744646352221e-08
1945,1.089252066321933e-08,8.714016175304096e-09
1946,5.568441707737293e-09,9.744772988540262e-09
1947,4.7683483828109274e-09,7.152522574216391e-09
1948,1.0871888278529696e-08,2.174377655705939e-08
