year,monts_NOUN couverts_ADJ
1800,6.288328968651058e-09
1801,1.904946067554647e-08
1802,8.056224487518193e-08
1803,2.3404069793286908e-08
1804,7.415552971679062e-08
1805,3.4114531644036106e-08
1806,3.1698359492793315e-08
1807,2.8469550272802735e-08
1808,2.945896149242344e-08
1809,1.581321384946932e-08
1810,3.510190182964834e-08
1811,2.2563691359778204e-08
1812,1.8670457180292033e-08
1813,1.3803560250380542e-07
1814,4.405347908686963e-08
1815,4.315557688983063e-08
1816,0.0
1817,2.0239355080775567e-08
1818,4.768470773797162e-08
1819,2.794783426907088e-08
1820,2.610625848831205e-08
1821,2.070912508145284e-08
1822,1.9048670196752937e-08
1823,4.644862983127496e-08
1824,3.789500624407083e-08
1825,3.3460683113162304e-08
1826,5.2847905607222856e-08
1827,1.3825909306319772e-08
1828,9.172301140836225e-09
1829,3.5150023336427694e-08
1830,5.0096812032052185e-08
1831,1.870944643656003e-08
1832,2.3000948701223933e-08
1833,6.139323005527331e-08
1834,3.827157613045529e-08
1835,2.193295500774184e-08
1836,2.2850549896702432e-08
1837,3.270208637218275e-08
1838,2.7142295522253335e-08
1839,1.7478688718597368e-08
1840,1.6561189752906103e-08
1841,1.8619591202195807e-08
1842,6.037438549100216e-09
1843,8.269675610961258e-09
1844,1.2074834465636286e-08
1845,1.0044410636567136e-08
1846,1.2294452567118697e-08
1847,2.588747349818732e-08
1848,1.367687652020777e-08
1849,1.6758828991214614e-08
1850,6.1100964288129944e-09
1851,1.4188765717904062e-08
1852,1.4974254725075298e-08
1853,8.360704129017904e-09
1854,6.754363734984281e-09
1855,2.0166361025530932e-08
1856,1.5531567143511893e-08
1857,1.4644527368545823e-08
1858,8.31924928945682e-09
1859,1.1202780925145817e-08
1860,1.373155189554609e-08
1861,1.226150558863992e-08
1862,1.0391368654438793e-08
1863,1.897955925755923e-08
1864,1.2945765348604255e-08
1865,1.7415324293779122e-08
1866,1.1677471434268227e-08
1867,2.426405742994575e-09
1868,1.6301584082611953e-08
1869,8.790334682373668e-09
1870,1.834895613228582e-08
1871,6.37270636261178e-09
1872,4.23313739617015e-09
1873,6.584604861359367e-09
1874,3.5847653734322193e-09
1875,7.437985338754061e-09
1876,6.650616057868319e-09
1877,1.1132669008873108e-08
1878,1.5701630218245555e-08
1879,1.0385853066452455e-08
1880,8.343199908722454e-09
1881,9.064259565150223e-09
1882,9.983077475794744e-09
1883,6.951272890631799e-09
1884,8.582206056928499e-09
1885,1.740321664556177e-08
1886,1.871504551331782e-08
1887,2.6115698492645834e-09
1888,6.974675947901687e-09
1889,1.6915869593958632e-08
1890,4.5880703680722945e-09
1891,1.7210394887001712e-08
1892,1.191017329205124e-08
1893,6.15841644346915e-09
1894,9.452309157609307e-09
1895,2.046328972937772e-08
1896,9.435246361988447e-09
1897,6.992056267307589e-09
1898,1.0185038590293516e-08
1899,6.633094074004475e-09
1900,5.710158568206225e-09
1901,1.1736351446245408e-08
1902,1.718599307309887e-08
1903,1.0260418292773466e-08
1904,1.666133897515465e-08
1905,1.3417973399043603e-08
1906,8.230695236477459e-09
1907,9.771402353919711e-09
1908,6.384805573134145e-09
1909,3.850688656825696e-09
1910,7.481810726517324e-09
1911,1.649316061502759e-08
1912,1.82329742415277e-08
1913,1.2727175757731857e-08
1914,2.0090231700464756e-09
1915,9.424609537234119e-09
1916,2.197492410260793e-09
1917,8.773139548168274e-09
1918,6.89182577673364e-09
1919,7.366278698128781e-09
1920,4.543339038320937e-09
1921,4.543648568500203e-09
1922,1.1804696775641332e-08
1923,6.369568872344189e-09
1924,1.0313299547703991e-08
1925,1.2097995494286806e-08
1926,5.57306911730393e-09
1927,1.0034302277972529e-08
1928,4.570416489713125e-09
1929,6.684243825105796e-09
1930,1.2604324695075775e-08
1931,1.0264820993199919e-08
1932,6.575722188983946e-09
1933,4.588264879146209e-09
1934,1.1981580172459871e-09
1935,4.787313656606784e-09
1936,3.6374143697059935e-09
1937,7.554670666820584e-09
1938,9.075650453382877e-09
1939,1.3764645423464117e-08
1940,2.5357829169792012e-09
1941,0.0
1942,1.517105907566929e-08
1943,2.9032352077962287e-09
1944,3.2131861615880553e-09
1945,4.357008087652048e-09
1946,8.352662561605939e-09
1947,7.152522574216391e-09
1948,6.523132700664291e-09
1949,1.0798709482173763e-08
1950,3.190608444114673e-09
1951,7.462981344019681e-09
1952,0.0
1953,7.54167928107563e-09
1954,1.07497895029951e-08
1955,7.508486277174597e-09
1956,5.232684952005684e-09
1957,6.184526224473075e-09
1958,4.1361216673863055e-09
1959,1.5501495642666896e-09
1960,1.1073333361366622e-08
1961,7.64297514166401e-09
1962,1.0781326054143392e-08
1963,4.526237162849611e-09
1964,3.041984220075733e-09
1965,7.660860390501512e-09
1966,4.431259803538978e-09
1967,7.888536934785861e-09
1968,5.3896989093971115e-09
1969,9.083515273289322e-09
1970,5.058597540852361e-09
1971,3.5968783507200897e-09
1972,2.565073486948677e-09
1973,2.7566018356850464e-09
1974,2.812785782069227e-09
1975,3.998036124386317e-09
1976,2.285410749536254e-09
1977,3.526069214387917e-09
1978,1.7821774056514528e-09
1979,4.096381456264453e-09
1980,1.1370301367108482e-09
1981,2.5302198114474095e-09
1982,5.586751949948621e-09
1983,3.78918940668882e-09
1984,1.739702604197646e-09
1985,4.812446441349039e-09
1986,4.196139880008332e-09
1987,1.2221633705067347e-09
1988,4.797243047249822e-09
1989,1.6464366536794728e-09
1990,3.2691906959314565e-09
1991,4.10302547493302e-09
1992,3.856960972825618e-09
1993,4.985286850001103e-09
1994,2.1099706426497278e-09
1995,6.506940763983948e-09
1996,1.6014276571496566e-09
1997,3.3564262480467733e-09
1998,5.2449422582867555e-09
1999,6.8553016596695215e-09
2000,2.2090156370779823e-09
2001,3.943090742808408e-09
2002,3.504977197366088e-09
2003,1.2500769308587678e-09
2004,4.404791253964646e-10
2005,2.251874686720612e-09
2006,3.294311934354255e-09
2007,3.994479413904628e-09
2008,4.257439734089985e-09
2009,7.629108011997232e-09
2010,2.8342759250676863e-09
2011,9.177532511728259e-09
2012,5.446804340891731e-09
2013,5.857162754807632e-09
2014,5.846701789380404e-09
2015,6.428068743957738e-09
2016,9.942432654952427e-09
2017,4.024978128569501e-09
2018,5.162933192082164e-09
2019,1.020395146156261e-08
