year,plusieurs_DET oeufs_NOUN,plusieurs_DET queues_NOUN
1800,2.5153315874604232e-08,1.2576657937302116e-08
1801,1.4287095950749062e-08,1.6668277424969347e-08
1802,2.0140561218795483e-08,6.713520406265161e-09
1803,1.950339267864365e-08,4.4857802805609026e-08
1804,4.943701892301533e-09,4.449331569844617e-08
1805,0.0,2.55858996212055e-08
1806,5.76333825108577e-09,2.0171682990621775e-08
1807,0.0,1.7081731584767113e-08
1808,0.0,1.1330369531492579e-08
1809,2.259030518203531e-09,3.162642769893864e-08
1810,4.680253518074551e-09,0.0
1811,0.0,1.0028307073639553e-08
1812,0.0,3.467370746079723e-08
1813,0.0,1.7254450312975678e-08
1814,0.0,3.1466772298927026e-08
1815,0.0,1.0788894222457657e-08
1816,0.0,3.244645441213834e-08
1817,1.0898113522728181e-08,2.0239355080775567e-08
1818,0.0,2.98029441125891e-08
1819,4.140420006848444e-09,1.1386155129855524e-08
1820,1.1866481131050932e-09,5.933240565525466e-09
1821,1.97229765852569e-09,1.676452932031225e-08
1822,1.0025615893027862e-09,1.7043547018147365e-08
1823,0.0,4.941343334508019e-09
1824,2.5263338088166165e-09,1.3473780313688621e-08
1825,8.805443041381977e-10,3.434122675116669e-08
1826,0.0,3.2589543508265706e-08
1827,0.0,2.5808365222701468e-08
1828,0.0,4.586150481600271e-08
1829,6.001223074036943e-09,2.2290258527846163e-08
1830,2.0873671680021744e-09,1.1480519646056564e-08
1831,1.5591206103948707e-09,2.494592976631793e-08
1832,1.7588959622116818e-08,2.0294953273491956e-08
1833,1.1583628500844156e-09,3.243415847009601e-08
1834,2.8003592777992026e-09,1.120143711119681e-08
1835,7.563087933704082e-09,2.7983425354705105e-08
1836,2.016224964762614e-09,3.8980349614803345e-08
1837,3.478945576063097e-09,6.262101948095733e-09
1838,6.312161904276081e-10,2.840472923537618e-08
1839,2.7965900706306e-09,2.23727205650448e-08
1840,6.369688665408546e-10,8.917564464638872e-09
1841,3.2102742686390684e-09,1.8619591202195807e-08
1842,2.0124795163667386e-09,8.049918065466954e-09
1843,5.906911071384968e-10,2.8353174030826267e-08
1844,1.097712254427563e-09,1.756339607084101e-08
1845,1.674068439427856e-09,2.3436957263811564e-08
1846,0.0,8.196302303531411e-09
1847,3.775256551818984e-09,7.550513103637968e-09
1848,0.0,1.6090443422100975e-09
1849,0.0,2.513824526317876e-08
1850,0.0,8.82569484161877e-09
1851,3.8696632564949596e-09,2.1283147688677673e-08
1852,6.510545436100301e-10,1.3021090872200602e-08
1853,1.1943863675867306e-09,3.4637203327747557e-08
1854,5.195664454227256e-10,1.2469595134234623e-08
1855,0.0,2.388121700391821e-08
1856,5.177189232874468e-10,1.4496129630003907e-08
1857,1.9526036343364694e-09,2.147863931156735e-08
1858,9.787352039936081e-10,2.495774786837046e-08
1859,5.092173349652285e-10,3.411756210880412e-08
1860,9.154367819341758e-10,2.3801355553132453e-08
1861,0.0,2.4994607272788016e-08
1862,4.066187830886747e-09,1.2650361647104091e-08
1863,4.994620828036034e-10,1.7980635647063536e-08
1864,5.274200631788517e-09,1.726102105692462e-08
1865,4.706844358715045e-10,1.0825742080555756e-08
1866,9.731225825149181e-10,1.0704348518686402e-08
1867,0.0,2.7661025470138156e-08
1868,4.93987406535723e-10,2.321740844024589e-08
1869,9.767038289254515e-10,1.6115613732381462e-08
1870,5.734048791339319e-10,3.612450782952692e-08
1871,6.37270636261178e-09,3.9298356568906456e-08
1872,6.047339295989218e-10,1.814201766592305e-08
1873,2.9930022904522957e-09,1.3169209722718733e-08
1874,1.1949218281515073e-09,2.7483201492373155e-08
1875,0.0,9.154443425529735e-09
1876,0.0,1.269663130187837e-08
1877,2.4739263970730008e-09,1.5462040536817767e-08
1878,1.2078177347163432e-09,1.3889904337816006e-08
1879,6.10932526790009e-10,2.3826368433788048e-08
1880,1.9253538763308597e-09,1.4119262203848848e-08
1881,0.0,2.4403776777148778e-08
1882,3.3276925659464496e-09,2.5290463057103807e-08
1883,1.8958017378167824e-09,3.728409936343269e-08
1884,1.9805090900604227e-09,3.9610181801208455e-09
1885,1.933690763067375e-09,1.353583467533781e-08
1886,0.0,1.097088819790315e-08
1887,0.0,8.48760173255414e-09
1888,0.0,6.340614699951175e-09
1889,0.0,3.759081934617825e-09
1890,3.9326319978272295e-09,9.176140736144589e-09
1891,0.0,1.0836173736095134e-08
1892,7.522214851007902e-09,6.268512375839919e-09
1893,3.079208221734575e-09,1.0469308087124318e-08
1894,1.2603078580752936e-09,5.041231432301174e-09
1895,6.018614495673091e-10,1.2639090662958097e-08
1896,1.179405795248556e-09,1.2973464080801023e-08
1897,0.0,1.3401440845939305e-08
1898,5.6583548957434e-10,3.3950129374460403e-09
1899,5.527578395003729e-10,1.1607914629507832e-08
1900,2.07642125715779e-09,4.15284251431558e-09
1901,1.676621730339889e-09,1.676621730339889e-09
1902,1.4730852093691738e-09,1.0311596021495006e-08
1903,5.400220270956879e-10,1.2420506401156217e-08
1904,2.6873125946735854e-09,9.13686282189019e-09
1905,1.5482277682110634e-09,7.2250627702885595e-09
