year,sommes_VERB en_ADP
1800,1.4746131000720197e-06
1801,1.631110080779763e-06
1802,1.4076014167585527e-06
1803,1.2150613883932238e-06
1804,1.3619899164041271e-06
1805,1.1001936854881933e-06
1806,1.5099946040209034e-06
1807,1.2099559398848214e-06
1808,1.0038708069259883e-06
1809,1.2063222811775631e-06
1810,1.4766200138183194e-06
1811,1.0980995739373611e-06
1812,1.2642567526199855e-06
1813,1.2423204225342488e-06
1814,1.5670451603000402e-06
1815,1.6291230622300645e-06
1816,1.562064994686807e-06
1817,1.446335431865009e-06
1818,1.5867086631260463e-06
1819,1.6654839782859199e-06
1820,1.835744683376106e-06
1821,2.017660563069512e-06
1822,2.079312707792269e-06
1823,1.6948807797234622e-06
1824,1.9764352146012243e-06
1825,1.7337916915494134e-06
1826,1.5466820286746952e-06
1827,1.4950417153158924e-06
1828,1.8133639514417155e-06
1829,1.5774644452903885e-06
1830,1.6542385310458485e-06
1831,2.005029045903939e-06
1832,1.886077711787948e-06
1833,1.9414160306041595e-06
1834,1.915445636768709e-06
1835,2.324893330296618e-06
1836,2.333444399482687e-06
1837,2.0957168089807965e-06
1838,1.995905677176779e-06
1839,2.2386702767107636e-06
1840,2.171426785935182e-06
1841,2.323596618225565e-06
1842,2.614881623230758e-06
1843,2.3999780296435347e-06
1844,2.457228902130737e-06
1845,2.43576960201608e-06
1846,2.51216647484398e-06
1847,2.1977386950311484e-06
1848,2.6645773232303327e-06
1849,2.91100877802819e-06
1850,2.453543174851802e-06
1851,2.7429462079453515e-06
1852,2.6530472041486064e-06
1853,2.874290885301889e-06
1854,2.6305649498681305e-06
1855,2.8546014618768822e-06
1856,2.5062772692763247e-06
1857,2.645289669089834e-06
1858,3.305188783997437e-06
1859,2.9697555419261334e-06
1860,3.114315859420458e-06
1861,3.17290050588781e-06
1862,3.1336753636423964e-06
1863,3.366873897903133e-06
1864,3.3409664865757804e-06
1865,3.576730932763894e-06
1866,3.5241635032434715e-06
1867,3.5653606573760044e-06
1868,3.762702135645668e-06
1869,4.11973678637878e-06
1870,3.751788199224393e-06
1871,4.6871255108271725e-06
1872,4.556670319288969e-06
1873,3.963333710998995e-06
1874,3.887678303726716e-06
1875,4.177858954790281e-06
1876,3.905121047864668e-06
1877,3.6323424410511507e-06
1878,3.7303450426406926e-06
1879,3.953955456381664e-06
1880,3.8173348002601415e-06
1881,4.3654868022713345e-06
1882,4.278081632946851e-06
1883,4.295254711905727e-06
1884,4.483212251216173e-06
1885,4.20642163589946e-06
1886,4.208949121675687e-06
1887,4.488635568122845e-06
1888,4.491691470320802e-06
1889,4.74584112453158e-06
1890,4.531047579803271e-06
1891,4.587526291288668e-06
1892,4.9822137953015044e-06
1893,4.605879894370446e-06
1894,4.61398713014205e-06
1895,4.866651579504833e-06
1896,4.556044586934149e-06
1897,4.649134552892065e-06
1898,4.732647994387662e-06
1899,4.719446224044077e-06
1900,4.760195679409662e-06
1901,4.735338279715506e-06
1902,3.921843926946167e-06
1903,4.804575837624725e-06
1904,4.843612259719521e-06
1905,4.8392439566669054e-06
1906,4.5999299800314475e-06
1907,4.838387212657835e-06
1908,5.021895503887208e-06
1909,4.9536356527823955e-06
1910,4.974870080332039e-06
1911,4.751625965582207e-06
1912,4.857264229940483e-06
1913,4.685191470343852e-06
1914,5.0680955610005185e-06
1915,6.05648983764695e-06
1916,6.6935617724084295e-06
