year,leurs_DET ans_NOUN,leurs_DET camps_NOUN
1800,3.458580977167003e-08,2.263798482005086e-07
1801,2.6193008650921e-08,3.7622685500338093e-07
1802,2.2378401354217203e-08,2.551137754380761e-07
1803,4.290746247193056e-08,3.1205427220015736e-07
1804,2.2246657849223084e-08,4.103272637223654e-07
1805,3.980028751016107e-08,3.2693094076385876e-07
1806,4.610670600868616e-08,2.7087691023552907e-07
1807,5.693910054560547e-08,3.501754690660164e-07
1808,6.798221763304468e-08,4.8493984650122e-07
1809,3.162642681076022e-08,6.686730582572409e-07
1810,1.6380887757350138e-08,2.2933241927702852e-07
1811,3.5099073869560016e-08,4.362313550387853e-07
1812,2.6672083208723052e-08,3.787435787216964e-07
1813,2.300593315851529e-08,4.888760773980039e-07
1814,3.776012391654149e-08,4.405347908686963e-07
1815,3.506390555685357e-08,3.9649185623602534e-07
1816,9.502176112619054e-08,2.3639560353672096e-07
1817,1.71256075987003e-08,4.2191270077651666e-07
1818,3.695565098382758e-08,2.4438414403249453e-07
1819,4.968504185853817e-08,4.709727829954602e-07
1820,4.746592452420373e-08,7.38095120134119e-07
1821,4.043210211079895e-08,2.4259261977022106e-07
1822,3.208197085768916e-08,3.909990056172319e-07
1823,6.621399961659336e-08,4.6448626989104014e-07
1824,7.494790565942822e-08,2.863178281131695e-07
1825,1.6730341556581152e-08,2.9762397169008636e-07
1826,2.290075862276808e-08,3.7610092817885743e-07
1827,3.3182182335167454e-08,2.6914437256664314e-07
1828,6.604057034564903e-08,3.0727208377712145e-07
1829,2.2290258194779256e-08,2.4090624073380695e-07
1830,2.1917355041978226e-08,3.725950392663435e-07
1831,3.1182413096075834e-08,3.071467462589794e-07
1832,1.2176972319366541e-08,1.6912462097451453e-07
1833,3.4750886612755494e-08,2.8843233934594537e-07
1834,4.293884248163238e-08,3.0057190159027414e-07
1835,1.3613558280667348e-08,2.9571675241868434e-07
1836,3.6964125260663394e-08,3.0243375670480077e-07
1837,2.6439985201243132e-08,2.657914366377412e-07
1838,2.335499815764308e-08,2.7962876947285054e-07
1839,1.747868827450816e-08,2.8874792024069507e-07
1840,1.9746034474188434e-08,3.242171411343975e-07
1841,3.146068650039524e-08,2.8443029531644015e-07
1842,2.951636579595629e-08,2.817471367322355e-07
1843,1.0041748876865597e-08,2.2091847928784603e-07
1844,2.0856533611279815e-08,2.5466923014860754e-07
1845,1.1718478298838875e-08,1.635006828815122e-07
1846,2.5759806732139623e-08,2.0022394142671374e-07
1847,8.089835468183537e-09,2.1465029664824442e-07
1848,2.494018680465615e-08,2.3089786793661915e-07
1849,3.603148401865042e-08,1.6507447275770915e-07
1850,1.2220192857625989e-08,2.763121242921329e-07
1851,1.1608989769484879e-08,2.424988947424822e-07
1852,3.7761164861649377e-08,1.6536785452103686e-07
1853,1.7318602996141408e-08,1.7497760529394668e-07
1854,2.701745477340367e-08,1.9847438048614663e-07
1855,2.4411910715116392e-08,1.4912493995211662e-07
1856,1.9673318418789165e-08,2.0967615910194581e-07
1857,4.3445430475408386e-08,2.0648783127796833e-07
1858,3.523446845399292e-08,2.2608783728506054e-07
1859,2.698851964133553e-08,1.6753250298151556e-07
