year,quelques_DET couverts_NOUN
1800,0.0
1801,1.4287095950749062e-08
1802,2.2378401354217203e-09
1803,2.9255089017965474e-08
1804,7.4155526164076946e-09
1805,0.0
1806,3.1698359492793315e-08
1807,8.540865792383556e-09
1808,2.2660739951163578e-09
1809,2.9367397402779716e-08
1810,2.3401267590372754e-09
1811,3.5099073869560016e-08
1812,2.6672082320544632e-08
1813,0.0
1814,0.0
1815,5.394447111228828e-09
1816,0.0
1817,7.784366928831332e-09
1818,3.5763532135746345e-09
1819,1.035105001712111e-09
1820,5.933240565525466e-09
1821,2.9584463767662328e-09
1822,5.012807946513931e-09
1823,2.174191138237802e-08
1824,1.8526447931321854e-08
1825,3.962449479644192e-08
1826,2.6423952803611428e-08
1827,1.3825909306319772e-08
1828,9.172301251858528e-10
1829,1.1145129263923081e-08
1830,1.461157062010443e-08
1831,4.677361609140007e-09
1832,2.4353944638733083e-08
1833,1.1583628833911064e-08
1834,1.0267983796552471e-08
1835,9.075705520444899e-09
1836,1.68018754465038e-08
1837,1.3915782304252389e-08
1838,2.5248647617104325e-09
1839,6.292327547896548e-09
1840,1.1465439264668476e-08
1841,2.6966304744746594e-08
1842,1.2745703159566801e-08
1843,1.0632439928492943e-08
1844,1.5916826967554698e-08
1845,7.254296274794569e-09
1846,1.5221703009160592e-08
1847,7.550513103637968e-09
1848,8.84974404868899e-09
1849,6.703531951757213e-09
1850,1.4935791270431764e-08
1851,7.094382858952031e-09
1852,1.9531636308300904e-09
1853,1.6124216628554677e-08
1854,9.352196350675968e-09
1855,9.021793090369101e-09
1856,6.73034605824796e-09
1857,1.2203773103180993e-08
1858,2.6425849952715907e-08
1859,1.5785737161877478e-08
1860,7.323494255473406e-09
1861,6.602349167383892e-09
1862,8.584174260306554e-09
1863,1.4484400345793347e-08
1864,4.794728170054441e-09
1865,3.294791106611683e-09
1866,8.271541673821048e-09
1867,1.3102591012170706e-08
1868,8.89177353968762e-09
1869,4.883519366671862e-09
1870,4.587239033071455e-09
1871,5.3105884134652115e-09
1872,1.2094678925045343e-08
1873,4.190203295451056e-09
1874,1.3144139998644278e-08
1875,4.577221712764867e-09
1876,3.627608879952504e-09
1877,4.9478527941460015e-09
1878,6.039088784604019e-09
1879,3.0546627449723474e-09
1880,4.492492600149944e-09
1881,5.5780060570498335e-09
1882,1.9966155395678697e-09
1883,1.8958017378167824e-09
1884,4.621187876807653e-09
1885,3.86738152613475e-09
1886,8.38950331427668e-09
1887,3.9173548849191775e-09
1888,1.268122939990235e-08
1889,6.891650361495749e-09
1890,3.2771931834929546e-09
1891,1.0836173736095134e-08
1892,1.002961980134387e-08
1893,7.390100087434348e-09
1894,5.041231432301174e-09
1895,1.5648398132839247e-08
1896,8.845543852942228e-09
1897,8.157399200570126e-09
1898,2.26334195829736e-09
1899,9.949641111006713e-09
1900,2.2840633606691085e-08
1901,1.3971846901661422e-08
1902,1.0802624406114347e-08
1903,7.020286574288548e-09
1904,5.374625189347171e-10
1905,0.0
1906,7.716276506641861e-09
1907,5.142843373384665e-10
1908,6.384805573134145e-09
1909,5.5009836685826485e-09
1910,8.01622590529405e-09
1911,8.51259862599818e-09
1912,8.856016364688912e-09
1913,8.484783542428431e-09
1914,1.0714789944188396e-08
1915,2.3561523843085297e-09
1916,9.888715624128963e-09
1917,5.483212106582869e-09
1918,9.189101035644853e-09
1919,8.287063479883727e-09
1920,1.3630017114962811e-08
1921,5.300923255902035e-09
1922,5.902348387820666e-09
1923,1.0615948120573648e-09
1924,3.867487219366694e-09
1925,7.698724324711748e-09
1926,8.916910765321973e-09
1927,1.0034302277972529e-08
1928,1.1426041446327417e-08
1929,1.1140405931087116e-08
1930,7.352522590764465e-09
1931,5.7026783295555106e-09
1932,6.575722188983946e-09
1933,1.3764794415394022e-08
1934,1.0783422155213884e-08
1935,1.0771455727365264e-08
1936,2.424942913137329e-09
1937,8.813782592653752e-09
1938,2.5930428915188486e-09
1939,1.2235240376412548e-08
1940,2.5357829169792012e-09
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,1.4516175816936538e-08
1944,0.0
1945,2.178504043826024e-09
1946,5.568441707737293e-09
1947,4.7683483828109274e-09
1948,1.848220954059343e-08
1949,8.835307596655184e-09
1950,2.1270722960764488e-09
1951,4.264560704569931e-09
1952,1.0544804140977249e-08
1953,1.6160740301529586e-08
1954,5.863521668203475e-09
1955,4.6928039232341234e-09
1956,2.616342476002842e-09
1957,8.835037423882142e-09
1958,6.617794756635931e-09
1959,7.750747821333448e-10
1960,1.3841666701708277e-09
1961,9.72742331128984e-09
1962,8.8787386332001e-09
1963,3.2330267352165265e-09
1964,5.475571551727398e-09
1965,3.830430195250756e-09
1966,6.6468897053084675e-09
1967,5.423369253687582e-09
1968,7.635406973349745e-09
1969,5.904285033109247e-09
1970,1.0577067222072856e-08
1971,6.679916619845017e-09
1972,7.182205663536223e-09
1973,1.1026407342740185e-08
1974,3.937900283634832e-09
1975,5.140332159925265e-09
1976,1.3712464053128315e-08
1977,1.7630346071939584e-09
1978,2.970295565063452e-09
1979,6.437170796402825e-09
1980,5.116635559687666e-09
