year,bonnes_ADJ ouvertures_NOUN,bonnes_ADJ couvertures_NOUN
1800,0.0,1.2576657937302116e-08
1801,0.0,7.143547975374531e-09
1802,0.0,8.951360541686881e-09
1803,0.0,0.0
1804,0.0,2.4718509905596875e-08
1805,0.0,8.812921237222326e-08
1806,0.0,1.152667650217154e-08
1807,0.0,1.4234775136401367e-08
1808,0.0,0.0
1809,0.0,1.8072244145628247e-08
1810,0.0,2.574139479349924e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,1.600324850414836e-08
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,5.394447111228828e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,1.556873407970727e-09
1818,2.384235475716423e-09,3.337929754820834e-08
1819,8.280840013696888e-09,7.24573512300708e-09
1820,3.5599443393152796e-09,1.898636980968149e-08
1821,2.070912508145284e-08,2.070912508145284e-08
1822,4.411270992932259e-08,8.02049271442229e-09
1823,4.941343334508019e-09,1.581229902569703e-08
1824,4.378978601948802e-08,3.3684450784221553e-09
1825,2.993850500843109e-08,8.805443485471187e-09
1826,2.642395191543301e-09,2.290075862276808e-08
1827,0.0,2.7651818612639545e-09
1828,0.0,2.0179061976932644e-08
1829,1.457439946506156e-08,3.429270423183084e-09
1830,2.0873671680021744e-09,1.5655253093882493e-08
1831,1.7150327380477393e-08,9.354723218280014e-09
1832,0.0,1.352996914505411e-08
1833,0.0,6.950177322551099e-09
1834,2.9870498963191494e-08,1.120143711119681e-08
1835,1.1344631900556124e-08,1.739510224751939e-08
1836,8.064899859050456e-09,4.704525213838906e-09
1837,2.1569462660409044e-08,2.0873672568200163e-08
1838,1.3255539776935166e-08,7.574594285131298e-09
1839,2.0974426639952526e-09,6.9914749545318955e-09
1840,0.0,1.6561189752906103e-08
1841,0.0,5.1364388298225094e-09
1842,2.683306021822318e-08,6.037438549100216e-09
1843,7.088293507706567e-09,1.5357969118667825e-08
1844,2.7442805805577564e-09,2.5796238034558883e-08
1845,5.580227946389016e-10,1.3392547515422848e-08
1846,7.025401593807601e-09,1.6978054517835517e-08
1847,0.0,7.550513103637968e-09
1848,1.6090443422100975e-09,2.252662056889676e-08
1849,0.0,2.8490010350878947e-08
1850,4.752297222410107e-09,1.1541293254424545e-08
1851,3.8696632564949596e-09,1.9348316282474798e-09
1852,1.0416872697760482e-08,1.6276363368206148e-08
1853,1.7915795513800958e-09,1.851298847554972e-08
1854,8.313063126763609e-09,9.352196350675968e-09
1855,1.0613874223963649e-09,2.4411910715116392e-08
1856,3.6240324075009767e-09,2.7439103433835044e-08
1857,1.2203773103180993e-08,5.857811125054013e-09
1858,2.936205500958522e-09,1.2723557318849998e-08
1859,0.0,1.1202780925145817e-08
1860,1.5562426014525954e-08,1.4189270203246451e-08
1861,1.226150558863992e-08,2.3108222890755314e-08
1862,0.0,1.1746764450037972e-08
1863,9.989241656072068e-10,2.1976331865403154e-08
1864,9.589455896019672e-10,1.3904711160250827e-08
1865,0.0,9.88437331983505e-09
1866,1.4596839292835284e-09,3.8924903300596725e-09
1867,4.85281148598915e-10,1.2132028714972876e-08
1868,0.0,2.420538258718352e-08
1869,0.0,1.953407657850903e-09
1870,0.0,1.0321287824410774e-08
1871,0.0,1.0621176826930423e-08
1872,0.0,2.6003558417642125e-08
1873,5.387403856360606e-09,2.6338419445437466e-08
1874,7.169530746864439e-09,1.6728906260254917e-08
1875,6.865832347102696e-09,1.716458086775674e-08
1876,6.650616057868319e-09,1.6324239737741664e-08
1877,6.184815992682502e-10,1.9791411176584006e-08
1878,2.4156354694326865e-09,1.3285995414946683e-08
1879,1.221865053580018e-09,9.163987790827832e-09
1880,6.417846254436199e-10,1.4119262203848848e-08
1881,4.183504653809678e-09,1.324776466304911e-08
1882,3.3276925659464496e-09,1.1979693681496428e-08
1883,0.0,1.2638677659992936e-08
1884,2.6406787867472303e-09,1.386356363042296e-08
1885,1.933690763067375e-09,5.156508553483263e-09
1886,3.872078213618124e-09,1.0325542199041138e-08
1887,2.6115698492645834e-09,5.223139698529167e-09
1888,3.1703073499755874e-09,1.0779045211961602e-08
1889,0.0,1.3156786771162388e-08
1890,0.0,1.5075089621063853e-08
1891,1.2748440081367107e-09,2.1672347472190268e-08
1892,1.8805537127519756e-09,3.008885940403161e-08
1893,0.0,9.23762488724833e-09
1894,0.0,1.1342770278588432e-08
1895,0.0,9.027921521465032e-09
1896,3.5382172747233653e-09,1.2973464080801023e-08
1897,5.2440420894583895e-09,1.1653426668090106e-08
1898,5.6583548957434e-10,1.1882545614128048e-08
1899,0.0,8.844125432005967e-09
1900,0.0,6.748368974740515e-09
1901,0.0,4.470991132876634e-09
1902,0.0,7.856454153909453e-09
1903,2.7001101354784396e-09,1.0260418292773466e-08
1904,5.374625189347171e-10,1.4511488011237361e-08
1905,0.0,9.805441791854719e-09
1906,0.0,9.259531807970234e-09
1907,0.0,5.142843484406967e-09
1908,2.9468334439286537e-09,1.3751889405000384e-08
1909,0.0,2.3104130164597336e-08
1910,0.0,3.740905363258662e-09
1911,1.5961122423746588e-09,4.788336838146279e-09
1912,2.6047106693738442e-09,5.730363294986773e-09
1913,2.121195885607108e-09,9.015082902408267e-09
1914,2.0090231700464756e-09,1.6741859454327823e-08
1915,0.0,1.8849219074468238e-08
1916,0.0,1.648119329900055e-08
1917,0.0,1.7546279096336548e-08
1918,0.0,3.44591288836682e-09
1919,0.0,3.6831393490643904e-09
1920,1.514446346106979e-09,1.1358347151713133e-08
1921,0.0,6.058197943303867e-09
1922,0.0,9.591316185719734e-09
