year,ayez_VERB omis_VERB,ayez_VERB commis_VERB
1800,2.829747991484055e-08,6.288328968651058e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,2.2378401354217203e-09
1803,3.900678446910888e-09,1.1702034896643454e-08
1804,0.0,9.887403784603066e-09
1805,2.842877711017877e-09,5.685755422035754e-09
1806,5.76333825108577e-09,2.881669125542885e-09
1807,5.693910232196231e-09,2.8469551160981155e-09
1808,2.2660739951163578e-09,4.5321479902327155e-09
1809,0.0,0.0
1810,1.1700633351097167e-08,9.360507036149102e-09
1811,0.0,7.521229861140455e-09
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,0.0,0.0
1816,0.0,6.952811659743929e-09
1817,6.227493631882908e-09,0.0
1818,1.1921177378582115e-09,4.768470951432846e-09
1819,1.035105001712111e-09,0.0
1820,0.0,2.3732962262101864e-09
1821,9.861488514673056e-09,1.2819934447350079e-08
1822,0.0,9.023054303725075e-09
1823,7.906149512848515e-09,1.7788837070042973e-08
1824,0.0,8.421112696055388e-10
1825,2.641632912414593e-09,1.0566531649658373e-08
1826,8.807984341885344e-10,8.807984341885344e-10
1827,9.217273055917019e-10,5.530363722527909e-09
1828,1.1923991571904935e-08,0.0
1829,1.714635211591542e-09,9.430493719264632e-09
1830,6.262101504006523e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,1.5591206103948707e-09
1832,1.3529969367098715e-09,1.3529969367098715e-09
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,0.0,9.334530925997342e-10
1835,7.563087933704082e-10,2.2689263801112247e-09
1836,1.1425274948351216e-08,1.3441500135158435e-09
1837,6.957890930081589e-10,5.5663127440652715e-09
1838,1.5780404538645598e-08,2.5248647617104325e-09
1839,1.0487212875887053e-08,4.194885327990505e-09
1840,1.9109065441114126e-09,2.5478754661634184e-09
1841,1.2841097074556274e-09,5.1364388298225094e-09
1842,6.708265054555795e-10,1.2074877098200432e-08
1843,4.134837805480629e-09,5.906910960362666e-09
1844,3.2931368743049916e-09,7.1351298203126134e-09
1845,3.9061593959388574e-09,3.348136878855712e-09
1846,4.6836010625384006e-09,3.5127007969038004e-09
1847,1.6179670936367074e-09,5.3932236454556914e-09
1848,0.0,1.6090443422100975e-09
1849,0.0,3.3517659758786067e-09
1850,1.3577992064028876e-09,2.0366988096043315e-09
1851,9.674158363282004e-09,1.9348316282474798e-09
1852,5.859490670445666e-09,1.6276363368206148e-08
1853,1.7915795513800958e-09,0.0
1854,2.5978321716024766e-09,5.7152309551611324e-09
1855,5.837630823180007e-09,5.306937111981824e-09
1856,3.1063134287023786e-09,1.0354378465748937e-09
1857,1.4644527812635033e-09,1.9526036343364694e-09
1858,2.4468380654951716e-09,2.4468380654951716e-09
1859,4.073738679721828e-09,6.619825576592575e-09
1860,1.373155145145688e-09,1.1900677776566226e-08
1861,1.744906619194353e-08,9.431927239234028e-09
1862,4.517986429419807e-09,2.2589932147099034e-09
1863,1.9978483312144135e-09,1.2486552236623538e-08
1864,4.794728170054441e-09,1.4384183844029508e-09
1865,1.2237795665726026e-08,4.706844247692743e-09
1866,2.432806400776144e-09,1.1677471434268227e-08
1867,1.455843445796745e-09,6.308654931785895e-09
1868,1.4819622196071691e-09,5.433861360870651e-09
1869,1.4650557433881772e-09,3.4184632902167778e-09
1870,2.8670243956696595e-09,6.880858549607183e-09
1871,0.0,4.248470908407853e-09
1872,1.8142017887967654e-09,2.4189357183956872e-09
1873,5.9860045809045914e-09,7.183205141814142e-09
1874,4.182226565063729e-09,5.974609251779839e-09
1875,5.721527140956084e-10,1.4303817685856757e-08
1876,6.04601479992084e-10,1.813804439976252e-09
1877,0.0,1.4225077116236662e-08
1878,0.0,6.039088673581716e-10
1879,1.221865053580018e-09,1.832797580370027e-09
1880,1.9253538763308597e-09,1.9253538763308597e-09
1881,0.0,4.8807553554297556e-09
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,1.2638677882037541e-09,1.0742875922176154e-08
