year,premiers_ADJ arts_NOUN,premiers_ADJ quarts_NOUN
1800,7.860410988769218e-08,1.5720821977538435e-08
1801,1.6906396815841163e-07,2.1430643926123594e-08
1802,7.161088433349505e-08,3.5805442166747525e-08
1803,4.4857802805609026e-08,1.950339223455444e-09
1804,9.640219000850436e-08,2.4718509461507665e-09
1805,8.52863308864471e-08,3.980028751016107e-08
1806,1.152667650217154e-07,1.729001475325731e-08
1807,1.2526602333196024e-07,1.4234775136401367e-08
1808,2.1527702642742952e-07,4.5321479902327155e-09
1809,9.939734613162443e-08,2.259030518203531e-09
1810,4.212228077449254e-08,5.3822915901946544e-08
1811,3.008491944456182e-08,3.008491944456182e-08
1812,8.00162425207418e-09,1.0668832928217853e-08
1813,2.5881675469463516e-08,2.8757416448144113e-09
1814,4.090680150170556e-08,0.0
1815,2.1038343334112142e-07,2.697223555614414e-09
1816,5.5622493277951435e-08,1.1588019432906549e-08
1817,1.6502858102285245e-07,3.580808893843823e-08
1818,5.841377026527539e-08,2.8610825708597076e-08
1819,5.5895669093253275e-08,0.0
1820,9.730514616279606e-08,1.4239777357261119e-08
1821,4.437669787193954e-08,2.9584464655840748e-08
1822,6.51665033046811e-08,1.0025615893027862e-08
1823,9.882686990980716e-08,0.0
1824,3.621078548121659e-08,3.3684450784221553e-09
1825,8.629334047327575e-08,1.2327619813845558e-08
1826,6.165588928297439e-08,6.429828403042848e-08
1827,4.516463647519231e-08,9.217273166939322e-09
1828,6.604057034564903e-08,2.2013523448549677e-08
1829,5.486832677092934e-08,3.086343269842473e-08
1830,6.992679857376061e-08,7.305785310052215e-09
1831,4.677361786775691e-08,6.236482441579483e-09
1832,4.6001897402447867e-08,2.976593194148336e-08
1833,4.9809603552830595e-08,1.853380560135065e-08
1834,5.507373290747353e-08,1.0267983796552471e-08
1835,5.8235777089521434e-08,2.193295500774184e-08
1836,6.85516496901073e-08,1.5457725766054864e-08
1837,5.287997240088771e-08,1.6003149028165353e-08
1838,2.0830134062066463e-08,6.943378316748294e-09
1839,5.383435919270596e-08,3.4957377437194737e-08
1840,3.4396318682183846e-08,3.4396318682183846e-08
1841,5.072233477676491e-08,3.017657945747487e-08
1842,2.0124794275488966e-08,1.7441490030023488e-08
1843,3.898561473647533e-08,1.594865928211675e-08
1844,6.586273570974299e-08,1.5367971784030487e-08
1845,5.0780073479472776e-08,1.3950569588416784e-08
1846,3.7468808500307205e-08,1.6392604607062822e-08
1847,2.8584086209093584e-08,2.3730184040005042e-08
1848,4.183515400768556e-08,1.528592186161859e-08
1849,1.9272654583346593e-08,2.0948537127196687e-08
1850,2.647708541303473e-08,7.467895635215882e-09
1851,1.5478653025979838e-08,3.740674614505224e-08
1852,4.036538214791108e-08,2.2135854038651814e-08
1853,3.881755716861335e-08,2.9859659633757474e-08
1854,2.909572138776184e-08,5.195664343204953e-08
1855,5.890700194299825e-08,2.0166361025530932e-08
1856,3.054541508618058e-08,1.9673318973900678e-08
1857,3.417056504417815e-08,1.122747050885664e-08
1858,3.621320393554228e-08,1.5170396494568195e-08
1859,2.953460587207246e-08,2.3933214521321133e-08
1860,1.6935580049448618e-08,7.323494255473406e-09
1861,3.442653473406665e-08,1.3676294763342867e-08
1862,3.9758280334645235e-08,2.2138133104476765e-08
1863,1.2986014041871385e-08,2.3474717281146695e-08
1864,5.4659899717535154e-08,1.8699438442126848e-08
1865,1.64739548669246e-08,1.6003271596787272e-08
1866,2.77339928800302e-08,7.298419202328432e-09
1867,3.396968040192405e-08,2.038180824115443e-08
1868,3.754304334080416e-08,9.87974857480367e-09
1869,2.24641887314192e-08,1.4650557211837167e-08
1870,3.383088653663435e-08,1.3761717099214366e-08
1871,1.0621176826930423e-08,1.911811864374613e-08
1872,4.5959779981785687e-08,3.265563108811875e-08
1873,2.2746817762708815e-08,4.908523720814628e-08
1874,1.9716210886144836e-08,3.823749850084823e-08
1875,2.7463329388410784e-08,2.460256709468922e-08
1876,2.7207066821688386e-08,4.776351758550845e-08
1877,5.257093604882357e-08,2.9068635498674666e-08
1878,4.831271027683215e-08,3.563062378475479e-08
1879,4.643087092581766e-08,5.498392852132383e-08
1880,5.390990764908565e-08,4.3641353641987735e-08
1881,3.207353416190273e-08,3.9046042843438045e-08
1882,1.0648616211028639e-08,1.2645231528551903e-08
1883,1.64302811356265e-08,2.464542170343975e-08
1884,2.6406787867472303e-08,2.5086448474098688e-08
1885,1.740321664556177e-08,6.510092021017044e-08
1886,7.744156427236248e-09,5.743582676132064e-08
1887,2.219834371874896e-08,6.137189245691843e-08
1888,1.7119660356001987e-08,5.326116436776829e-08
1889,3.759081934617825e-08,5.951880055476977e-08
1890,2.4251230357208442e-08,6.816561892719619e-08
