year,passages_NOUN ouverts_ADJ,passages_NOUN couverts_ADJ
1800,0.0,6.288328968651058e-09
1801,0.0,0.0
1802,1.1189200677108602e-08,0.0
1803,2.145373123596528e-08,5.851017448321727e-09
1804,0.0,2.4718509461507665e-09
1805,0.0,5.685755422035754e-09
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,0.0,6.798221985349073e-09
1809,0.0,0.0
1810,0.0,4.680253518074551e-09
1811,0.0,1.2535383842049441e-08
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,0.0
1818,0.0,5.960588467246453e-09
1819,4.140420006848444e-09,2.4842520929269085e-08
1820,0.0,8.306536791735653e-09
1821,9.86148829262845e-10,3.94459531705138e-09
1822,0.0,1.2030739071633434e-08
1823,0.0,1.680056804787e-08
1824,8.421112696055388e-10,3.3684450784221553e-09
1825,2.201360693732113e-08,5.283265824829186e-09
1826,0.0,9.688783109140786e-09
1827,0.0,9.217273055917019e-10
1828,9.172301251858528e-10,7.337841001486822e-09
1829,1.714635211591542e-09,1.457439946506156e-08
1830,0.0,9.39315203396518e-09
1831,0.0,2.6505050598757407e-08
1832,0.0,1.352996914505411e-08
1833,0.0,1.9692167896323554e-08
1834,9.334530925997342e-10,3.080395316601425e-08
1835,5.294161553592858e-09,1.5126175867408165e-09
1836,6.720750067579218e-10,4.704525213838906e-09
1837,1.3219993100221927e-08,7.653680356156656e-09
1838,4.418513555037862e-09,2.840472923537618e-08
1839,0.0,1.2584655095793096e-08
1840,2.5478754661634184e-09,8.280595098497656e-09
1841,0.0,7.0626033910059505e-09
1842,8.049918065466954e-09,7.379091560011375e-09
1843,0.0,8.269675666472409e-09
1844,5.488561272137815e-10,1.1525978393933656e-08
1845,5.580227946389016e-10,4.3525777648767416e-08
1846,2.9272506640865004e-09,1.8148954339380907e-08
1847,0.0,2.6966118227278457e-09
1848,0.0,1.3676876742252375e-08
1849,8.379414939696517e-10,1.6758828991214614e-08
1850,1.3577992064028876e-09,3.394497838371535e-08
1851,0.0,9.029214265154906e-09
1852,1.3021090872200602e-09,1.3672145193766028e-08
1853,5.971931837933653e-10,1.970737528722566e-08
1854,5.195664454227256e-10,2.3900057044556888e-08
1855,1.0613874223963649e-09,7.429711956774554e-09
1856,1.5531567143511893e-09,4.659470143053568e-09
1857,0.0,1.4156376515472857e-08
1858,0.0,1.7127865348243176e-08
1859,0.0,2.2914779407301467e-08
1860,4.577183909670879e-10,2.654766717569146e-08
1861,0.0,1.0375119985361891e-08
1862,2.2589932147099034e-09,1.536115412648087e-08
1863,2.9967726078439227e-09,1.4983863039219614e-08
1864,3.835782358407869e-09,2.1096802527154068e-08
1865,1.4120533631256649e-09,1.6473955644080718e-08
1866,9.731225825149181e-10,7.784980660119345e-09
1867,9.7056229719783e-10,8.73506067478047e-09
1868,0.0,1.728955856261649e-08
1869,4.883519366671862e-09,1.70923168951731e-08
1870,2.2936195165357276e-09,1.4335121978348297e-08
1871,0.0,3.292564798584863e-08
1872,0.0,1.3304146229131675e-08
1873,0.0,1.2570609442263958e-08
1874,5.974609140757536e-10,2.1508592240593316e-08
1875,5.721527140956084e-10,3.032409523484603e-08
1876,7.255217759905008e-09,3.506688628363008e-08
1877,5.566334504436554e-09,2.4120781816350245e-08
1878,1.8117265465633636e-09,4.166971123709118e-08
1879,0.0,2.504823370941267e-08
1880,0.0,1.5402831232691483e-08
1881,0.0,1.743126887276958e-08
1882,0.0,2.5956001792337702e-08
1883,6.319338941018771e-10,1.4534479397809719e-08
1884,2.6406787867472303e-09,3.630933420595284e-08
1885,1.2891271383708158e-09,5.414333881237354e-08
1886,2.5813855497602844e-09,2.5168509054651622e-08
1887,0.0,2.4809914123125054e-08
1888,6.340614699951175e-10,3.297119732792453e-08
1889,0.0,2.380751951136517e-08
1890,1.3108772956016423e-09,1.5075089621063853e-08
1891,0.0,2.7409146952095398e-08
1892,0.0,1.9432388143059143e-08
1893,3.695050043717174e-09,2.586534897375259e-08
1894,2.520615716150587e-09,1.2603078580752936e-08
1895,2.4074457982692365e-09,3.069493459406658e-08
1896,5.89702897624278e-10,2.71263339568506e-08
1897,2.9133566670225264e-09,2.0393498112447617e-08
1898,3.960848538042683e-09,2.6594268121016285e-08
1899,0.0,2.9296165493519766e-08
1900,0.0,2.3359739032002835e-08
1901,1.1177477832191585e-09,1.5648469242623975e-08
1902,1.4730852093691738e-09,1.4730851205513318e-08
1903,1.6200660812870638e-09,3.294134276465854e-08
1904,2.6873125946735854e-09,3.171028684079147e-08
1905,5.160759042333041e-10,2.9932401446330914e-08
1906,5.144184522798412e-10,2.2634411678268407e-08
1907,4.6285588695127444e-09,1.902852098112362e-08
1908,0.0,2.1118973236866623e-08
