year,vastes_ADJ camps_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,4.475680270843441e-09
1803,9.751696339321825e-09
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,2.400487453257938e-08
1813,0.0
1814,0.0
1815,1.3486118000116676e-08
1816,0.0
1817,9.341240669868967e-09
1818,4.768470951432846e-09
1819,0.0
1820,1.4239777357261119e-08
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,1.6842225392110777e-09
1825,5.283265824829186e-09
1826,4.403992281964975e-09
1827,1.474763688946723e-08
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,6.262101504006523e-09
1831,4.677361609140007e-09
1832,9.470978667991403e-09
1833,3.4750886612755494e-09
1834,9.334531370086552e-09
1835,1.1344631900556124e-08
1836,6.048674894287842e-09
1837,8.349468672008697e-09
1838,1.4517972601879592e-08
1839,3.4957374772659477e-09
1840,0.0
1841,2.5682194149112547e-09
1842,6.708265054555795e-09
1843,5.906910960362666e-09
1844,6.586273748609983e-09
1845,1.8414752389617206e-08
1846,6.439951683034906e-09
1847,1.4561703842730367e-08
1848,1.930853166243196e-08
1849,7.54147322368226e-09
1850,4.073397619208663e-09
1851,9.674158363282004e-09
1852,1.4323200403509873e-08
1853,1.3138249599364826e-08
1854,1.2989160858012383e-08
1855,1.2736649068756378e-08
1856,1.4496129630003907e-08
1857,1.4644527812635033e-09
1858,4.404308473482388e-09
1859,3.5645213447565993e-09
1860,1.785101666484934e-08
1861,5.187560159214399e-09
1862,3.6143890103090826e-09
1863,6.493007020935693e-09
1864,1.1507347075223606e-08
1865,6.118897832863013e-09
1866,7.298419202328432e-09
1867,9.220341823379385e-09
1868,8.397785578040384e-09
1869,8.30198221279943e-09
1870,1.0321287824410774e-08
1871,6.478918379571041e-08
1872,2.53988243770209e-08
1873,2.0352414864532875e-08
1874,1.7326366119618797e-08
1875,8.58229043387837e-09
1876,1.4510435519810017e-08
1877,6.184815992682502e-10
1878,9.662541877730746e-09
1879,7.331190321480108e-09
1880,1.9895322722618403e-08
1881,1.3945015142624584e-09
1882,8.652000893505374e-09
1883,1.2638677659992936e-08
1884,1.2543224237049344e-08
1885,9.66845359329227e-09
1886,7.098810428374236e-09
1887,7.1818169189441505e-09
1888,8.242799331981132e-09
1889,1.3783300722991498e-08
1890,4.5880703680722945e-09
1891,1.2748440081367107e-09
1892,8.149066310636499e-09
1893,1.3548516086814288e-08
1894,1.3233232287745977e-08
1895,6.018614495673091e-09
1896,1.0024948871034667e-08
1897,1.631479840114025e-08
1898,1.1882545614128048e-08
1899,4.9748205555033564e-09
1900,1.5054054003371675e-08
1901,1.7325090695408107e-08
1902,3.928227076954727e-09
1903,1.4580594509538969e-08
1904,1.1286712897629059e-08
1905,1.2901897328276846e-08
1906,1.8519063615940468e-08
1907,1.3885677496716653e-08
1908,7.858222517143076e-09
1909,9.901770070541716e-09
1910,1.2291546447329438e-08
1911,7.448523575703803e-09
1912,1.614920641657136e-08
1913,6.893886794756554e-09
1914,2.1429579888376793e-08
1915,3.7698438148936475e-08
1916,3.5159878564172686e-08
1917,3.947912929902486e-08
1918,5.513460621386912e-08
1919,4.603924352863942e-08
1920,2.8774479687854182e-08
1921,1.2116395886607734e-08
1922,1.1066902949607993e-08
1923,1.2739137744688378e-08
1924,1.933743654092268e-08
1925,9.898360353588487e-09
