year,quelques_DET arts_NOUN,quelques_DET quarts_NOUN
1800,6.759953361523685e-07,3.144164395507687e-08
1801,5.381472782950425e-07,2.3811825400343878e-08
1802,2.618272958443413e-07,3.8043282302169246e-08
1803,2.632958018278231e-07,9.751696339321825e-09
1804,3.4358727729610905e-07,0.0
1805,2.672305021711452e-07,2.2743021688143017e-08
1806,1.671368083933089e-07,1.4408345627714425e-08
1807,4.953701684407008e-07,1.1387820464392462e-08
1808,3.7616828940656433e-07,4.5321479902327155e-09
1809,4.992457434127573e-07,1.581321384946932e-08
1810,2.3167255225331473e-07,7.020380277111826e-09
1811,2.206227520673565e-07,1.0028307073639553e-08
1812,2.453831555726538e-07,7.20146218213813e-08
1813,2.760711899085777e-07,1.4378708002027452e-08
1814,3.8074792207964947e-07,9.440030979135372e-09
1815,8.631115377966125e-08,1.618334155573109e-08
1816,1.4832664874120383e-07,4.6352077731626196e-09
1817,1.588010860587019e-07,5.916118794857539e-08
1818,1.4186200480992284e-07,2.5034471606844022e-08
1819,1.697572156178495e-07,4.7614829412623294e-08
1820,2.4326286052200885e-07,1.1866481131050932e-08
1821,1.3313008950799343e-07,4.832129363308013e-08
1822,1.373509377344817e-07,3.60922172149003e-08
1823,1.7097048399250525e-07,3.755420863171821e-08
1824,2.366332712000485e-07,1.7684336661716316e-08
1825,1.7258668361108676e-07,2.3774696433775944e-08
1826,1.4885493593297383e-07,6.1655889282974385e-09
1827,2.6822263876624675e-07,1.013900030599757e-08
1828,2.1371461400576663e-07,5.77854990524429e-08
1829,2.0318427251808657e-07,5.658296231558779e-08
1830,1.868193655329975e-07,1.878630406793036e-08
1831,1.34084368497156e-07,9.510635834431014e-08
1832,1.975375509832844e-07,8.659180394943178e-08
1833,1.2394482951094687e-07,3.59092489077284e-08
1834,2.0722659233030072e-07,7.467624518753269e-09
1835,2.01934447829899e-07,6.806779140333674e-09
1836,9.946710344266307e-08,2.2178475944656384e-08
1837,1.2037151164712157e-07,2.6439986200443855e-08
1838,1.1740621319589195e-07,1.4517972601879592e-08
1839,1.202533725930266e-07,3.425822825420255e-08
1840,1.1401742766592449e-07,7.64362617644565e-09
1841,9.951850543643559e-08,1.4125206782011901e-08
1842,7.110761002238064e-08,3.3541325272778977e-09
1843,1.0337094646928335e-07,2.008349753168659e-08
1844,1.1855292081364155e-07,1.5916826967554698e-08
1845,6.752075681903946e-08,3.4039391749729475e-08
1846,1.0186832199998719e-07,2.4003455223464698e-08
1847,7.712309546548113e-08,2.8044762068191176e-08
1848,5.068489528081699e-08,1.769948809737798e-08
1849,7.625267928190738e-08,8.379414495607307e-09
1850,5.838536676350259e-08,1.9009188889640427e-08
1851,4.708090317606661e-08,2.4507867735223954e-08
1852,1.0156450658271865e-07,3.059956199535918e-08
1853,7.285756886687977e-08,1.911018188138769e-08
1854,4.676098053213451e-08,2.6497888327980945e-08
1855,3.980202833986368e-08,1.326734277995456e-08
1856,7.299837062602066e-08,3.6240323519898254e-09
1857,2.782460128969433e-08,1.2691923956253959e-08
1858,3.474509924217273e-08,2.300027723833864e-08
1859,5.652312506931878e-08,1.323965115318515e-08
1860,3.478659782452098e-08,2.3801355553132453e-08
1861,2.923897596263103e-08,1.3204698667834691e-08
1862,3.3884898442693157e-08,4.563166211557501e-08
1863,2.1476870060155306e-08,2.39741793639503e-08
1864,5.8495679411407764e-08,1.0548401596643942e-08
1865,3.43599646512871e-08,2.871175119878444e-08
1866,2.6274309505858184e-08,1.6056523222118813e-08
1867,3.34843974769683e-08,1.1161466417775046e-08
1868,1.9265508632848594e-08,2.6181332657415624e-08
1869,3.125452263663675e-08,2.4417595057002472e-08
1870,3.325748254567884e-08,1.7202147262196377e-08
1871,3.080141297573391e-08,7.434824311758348e-09
1872,2.1770421909650395e-08,1.7537283625301825e-08
1873,4.3099231017418305e-08,4.489503185878263e-08
1874,4.480956716790274e-08,2.9275584623178474e-08
1875,3.089624556196213e-08,1.8881038954532414e-08
1876,3.929909553335165e-08,1.7533442031592017e-08
1877,2.5976227391311113e-08,2.1028373708986692e-08
1878,4.589707458535486e-08,2.6571989886203795e-08
1879,2.8713828426063515e-08,1.5273313169750224e-08
1880,1.7328185109022343e-08,3.401458670282409e-08
1881,2.719277958362909e-08,1.6734017338482232e-08
1882,1.3976308776975088e-08,4.1263387373646765e-08
1883,4.4235374030421326e-08,2.0853818505361943e-08
1884,4.555170995956814e-08,1.0562715146988921e-08
1885,3.931837810888794e-08,2.1915161241281567e-08
1886,2.0005737511041843e-08,2.581385571964745e-08
1887,2.6768590899450828e-08,1.7628095927424425e-08
1888,2.282621380800265e-08,2.409433519368065e-08
1889,2.7566601445982997e-08,2.694008721659813e-08
1890,1.5075089287996946e-08,3.47382496102e-08
1891,1.3385862196457765e-08,2.613430305498099e-08
1892,3.19694137829174e-08,1.50444294799712e-08
1893,2.2786141196107224e-08,3.202376674948937e-08
1894,1.3863386882917439e-08,1.449354058991048e-08
1895,9.027921521465032e-09,2.8889348913097024e-08
