year,leurs_DET offres_NOUN,leurs_DET coffres_NOUN
1800,2.86118961412285e-07,1.540640539587912e-07
1801,2.9050426064713974e-07,1.381085894536227e-07
1802,2.886813774694019e-07,1.2531904758361634e-07
1803,2.827991743004077e-07,1.4822578009443532e-07
1804,2.7931916757317765e-07,7.415552971679062e-08
1805,2.1605870870189392e-07,4.5486043376286034e-08
1806,6.080322076940092e-07,1.0374009207225754e-07
1807,4.1850241405683164e-07,8.54086508184082e-08
1808,3.444432525867569e-07,8.611080914988634e-08
1809,6.076792260500952e-07,9.487928309681593e-08
1810,4.071820507434154e-07,3.510190182964834e-08
1811,5.540639556045335e-07,7.270522672797597e-08
1812,3.707419580223359e-07,7.20146218213813e-08
1813,3.6521919355436694e-07,7.189353823378042e-08
1814,4.373881168362459e-07,8.810695817373926e-08
1815,3.371529491147385e-07,9.710004889029733e-08
1816,2.8043006849998164e-07,1.0197457100957763e-07
1817,3.2850027942288307e-07,9.341240314597599e-08
1818,4.506205062426716e-07,1.0729059596314983e-07
1819,4.047260446782275e-07,6.417651121637391e-08
1820,4.402464472974543e-07,1.1273156985680544e-07
1821,2.692186171771027e-07,1.311577904061778e-07
1822,5.885036671315902e-07,1.6542266223495972e-07
1823,3.5972979084419876e-07,2.1643084835432091e-07
1824,4.69055962071252e-07,1.2800092008546926e-07
1825,3.152348533319582e-07,1.4440927031955653e-07
1826,5.135054870208933e-07,9.953022583886195e-08
1827,3.511780954923438e-07,1.1982454850567592e-07
1828,4.2192584714939585e-07,1.036470014814661e-07
1829,2.4947941179576105e-07,7.458663020543099e-08
1830,3.402408372821242e-07,1.2002361415852647e-07
1831,3.320927017824715e-07,9.042899762334855e-08
1832,2.841293698097047e-07,6.22378593106987e-08
1833,3.150747058811021e-07,1.0772774317047151e-07
1834,4.1912045212200155e-07,1.4841904660833904e-07
1835,3.5849037516300086e-07,1.1571524538567246e-07
1836,4.496181666979737e-07,1.2500595614195475e-07
1837,4.230397721016743e-07,9.949783930096601e-08
1838,4.336455106113135e-07,1.773717457353996e-07
1839,4.2717914539025514e-07,1.0207553580166007e-07
1840,4.5224790312659024e-07,1.4968767914069758e-07
1841,3.9807399820901423e-07,1.4317822838449956e-07
1842,3.964584589510878e-07,1.2812786387428332e-07
1843,3.3019632716957403e-07,8.860366307317236e-08
1844,4.160329454272471e-07,2.0746762174894684e-07
1845,4.2074917949719293e-07,1.3336745041669928e-07
1846,2.93310518983958e-07,9.542837320353215e-08
1847,3.3491918749462e-07,1.294373674909366e-07
1848,1.794084434347809e-07,1.5285921506347222e-07
1849,2.916036503375352e-07,1.3574651647196845e-07
1850,4.243122528890808e-07,1.3374322715975495e-07
1851,3.379506003930999e-07,1.3221350059211545e-07
1852,3.919348472436468e-07,1.2500246926450131e-07
1853,3.057629216485225e-07,1.0630038360659455e-07
1854,3.3044424530004335e-07,1.1690244861028987e-07
1855,2.690617115774785e-07,9.234070574848374e-08
1856,2.3556210493325125e-07,1.1338044103581524e-07
1857,2.592081291830084e-07,1.1227471219399376e-07
1858,2.4370506235271705e-07,7.43838723393786e-08
1859,2.968737065067728e-07,1.028619038834222e-07
1860,2.938551939557499e-07,9.657858157652299e-08
1861,2.6315078027749905e-07,8.252936822827905e-08
1862,3.3884897820968263e-07,7.499857448967084e-08
1863,2.956815565724469e-07,8.990317557078242e-08
1864,2.4692848499263675e-07,7.527722800659831e-08
1865,2.2545785105521077e-07,9.601962602800995e-08
1866,2.710146453921425e-07,8.952727920119585e-08
1867,2.232293319082146e-07,6.551295683721037e-08
1868,2.628013104910565e-07,1.155930533514038e-07
