year,autres_ADJ hôtes_NOUN,autres_ADJ côtes_NOUN
1800,0.0,1.8550569791386806e-07
1801,2.3811825844433088e-09,1.0000967165524344e-07
1802,2.2378401354217203e-09,1.7231369042747247e-07
1803,1.950339223455444e-09,2.02835281015723e-07
1804,4.943701892301533e-09,1.2853624298259092e-07
1805,0.0,1.9331568523739406e-07
1806,1.4408345627714425e-08,6.051504897186533e-08
1807,0.0,8.54086508184082e-08
1808,0.0,1.9261628381173068e-07
1809,9.036122072814123e-09,7.454800510231507e-08
1810,4.680253518074551e-09,1.0062544930633521e-07
1811,1.2535384286138651e-08,7.019814773912003e-08
1812,0.0,3.467370746079723e-08
1813,1.1502966579257645e-08,2.0705340375570813e-07
1814,1.2586708564299443e-08,7.866692897096073e-08
1815,2.4275012222574333e-08,1.1328339155625144e-07
1816,1.1588019432906549e-08,1.6454987417091615e-07
1817,7.784366928831332e-09,8.251429051142622e-08
1818,2.384235475716423e-09,1.6689648418832803e-07
1819,1.035105001712111e-09,6.624672010957511e-08
1820,1.1866481131050932e-09,6.526564533260171e-08
1821,8.875339574387908e-09,5.5224333550540905e-08
1822,2.8071724500478012e-08,8.521773509073682e-08
1823,2.2730180404550993e-08,1.0772128433700345e-07
1824,9.263223965660927e-09,5.3053010873327366e-08
1825,2.641632912414593e-09,5.107157008410468e-08
1826,1.4973572604048968e-08,5.108631029315802e-08
1827,1.7512819638909605e-08,1.308852830561591e-07
1828,3.668920500743411e-09,1.2107437896702322e-07
1829,1.971830521085849e-08,1.208817792530681e-07
1830,3.652892388572582e-08,1.5446516954398248e-07
1831,3.274153215215847e-08,7.327867024287116e-08
1832,1.8941957335982806e-08,1.055337577327009e-07
1833,3.8225973497674204e-08,7.18184978154568e-08
1834,3.733812548034621e-08,9.147840529522e-08
1835,3.857174846189082e-08,1.1420262779893164e-07
1836,1.2769425516978572e-08,1.0484369994401277e-07
1837,2.852735292435682e-08,1.0575994480177542e-07
1838,1.7674054220151447e-08,1.0856918208901334e-07
1839,4.055055669027752e-08,1.0207553913232914e-07
1840,1.1465439264668476e-08,6.751869818799605e-08
1841,7.704658244733764e-09,8.089891423423978e-08
1842,2.750388716776797e-08,5.9032732480091e-08
1843,8.269675610961258e-09,8.505951853976512e-08
1844,3.2382512671347286e-08,6.53138769735051e-08
1845,2.2320911341466854e-08,4.185170965342877e-08
1846,2.0490753982471688e-08,6.264316709803097e-08
1847,1.941560512364049e-08,3.613459753637471e-08
1848,1.769948809737798e-08,2.2365716745298414e-07
1849,3.603148357456121e-08,5.53041381579078e-08
1850,1.765138968323754e-08,8.893584890756756e-08
1851,1.9348316726564008e-08,7.610337604546658e-08
1852,2.148479971708639e-08,7.356916142953196e-08
1853,2.149895550473957e-08,1.0152284346531815e-07
1854,1.4028294081924741e-08,4.8839247313026135e-08
1855,2.175844215912548e-08,6.262185792138553e-08
1856,1.7602443946884705e-08,4.659470320689252e-08
1857,3.5635014938861787e-08,5.174399575480493e-08
1858,2.397901255335455e-08,5.04048642824273e-08
1859,2.036869339860914e-08,3.6154432336843456e-08
1860,2.5632230560290736e-08,6.133426211363258e-08
1861,3.4426534512022045e-08,4.527325359049428e-08
1862,2.4848924695675123e-08,5.1053245186949425e-08
1863,3.8958042125614156e-08,6.692791743034832e-08
1864,2.5412058235474433e-08,8.246932026167997e-08
1865,4.471502279557171e-08,5.3658027354686055e-08
1866,5.54679857600604e-08,5.692767146570077e-08
1867,4.173417877950669e-08,7.279217584255093e-08
1868,2.766329387782207e-08,9.731552097491658e-08
1869,2.8324411260882698e-08,6.348574999037737e-08
1870,2.0069171213776826e-08,4.0711746862598375e-08
1871,1.4869648623516696e-08,6.797553453452565e-08
1872,1.9351485747165498e-08,2.7213026498884574e-08
1873,2.9331422624068182e-08,5.088103804951061e-08
1874,1.3741600746186577e-08,2.9873046258899194e-08
1875,2.9751941355016243e-08,2.1741803024610817e-08
1876,1.753344314181504e-08,3.869449471949338e-08
1877,3.587193120324628e-08,7.8547159887421e-08
1878,3.0799352401800206e-08,7.005343150012777e-08
1879,2.1993571408529533e-08,5.070739916845923e-08
1880,2.9522093214495726e-08,3.4656370218044685e-08
1881,1.5339516323820135e-08,4.9504802035471585e-08
1882,1.7969540522244642e-08,7.720246486542237e-08
1883,1.7694148368718743e-08,3.854796659652493e-08
1884,2.1125430293977843e-08,2.772712726084592e-08
1885,3.287274097374393e-08,4.3185760745245716e-08
1886,3.6784744139595205e-08,3.0976625708944994e-08
1887,3.982643903555072e-08,4.8966935395355904e-08
1888,1.3949351895803375e-08,5.960177773545183e-08
1889,2.255449160770695e-08,1.1277246159124843e-07
1890,2.3595791986963377e-08,3.211649257650606e-08
1891,1.466070642663908e-08,4.0157587477551715e-08
1892,3.2596265242545996e-08,3.57305189879753e-08
1893,2.2170299374124625e-08,2.7097032173628577e-08
1894,2.898708117982096e-08,5.986462525697789e-08
1895,3.009307292245467e-08,3.189865793729041e-08
1896,3.774098544795379e-08,2.5946928161602045e-08
1897,3.379494017963225e-08,4.7196380137393135e-08
1898,4.130599151608294e-08,6.337357660868292e-08
1899,2.7085134135518274e-08,3.205995469102163e-08
1900,3.529916270395006e-08,3.4780054392058446e-08
1901,3.576792906301307e-08,1.397184767881754e-08
1902,3.338993082024899e-08,4.0264328760031276e-08
1903,5.8322378038155875e-08,2.6461078661554893e-08
