year,plus_ADV ouvert_VERB
1800,8.803660733747165e-08
1801,2.3811825400343878e-08
1802,1.7902721083373763e-08
1803,4.290746247193056e-08
1804,9.887403784603066e-09
1805,1.5920115004064428e-07
1806,9.797675204481493e-08
1807,5.4092147649953404e-08
1808,1.3596443970698147e-08
1809,4.0662548883574345e-08
1810,2.8081521108447305e-08
1811,2.5070768572277302e-08
1812,2.6672083208723052e-08
1813,3.163315653864629e-08
1814,5.97868634599763e-08
1815,3.236668177919455e-08
1816,4.1716869958463576e-08
1817,4.981994905506326e-08
1818,2.8610825708597076e-08
1819,3.2088255608186955e-08
1820,2.4919611263385377e-08
1821,3.8459806006585495e-08
1822,4.3110148340019805e-08
1823,5.138997138942614e-08
1824,4.884245186076441e-08
1825,5.371320099811783e-08
1826,3.699353356978463e-08
1827,4.2399456390285195e-08
1828,5.228211819030548e-08
1829,4.9724420136953995e-08
1830,2.2961039292113128e-08
1831,4.2096257146795324e-08
1832,1.0823975316043288e-07
1833,4.9809603552830595e-08
1834,3.453776287187793e-08
1835,3.781543966852041e-08
1836,3.8980349614803345e-08
1837,6.95789097449051e-08
1838,3.787297231383491e-08
1839,5.733009800223954e-08
1840,8.344292012907317e-08
1841,6.356343362767802e-08
1842,4.360372329870188e-08
1843,7.265500556741245e-08
1844,4.665277231197251e-08
1845,3.236532108985557e-08
1846,5.503231292891542e-08
1847,8.305564591637449e-08
1848,6.757986170669028e-08
1849,7.625267528510449e-08
1850,6.042206734946376e-08
1851,3.9341575330809064e-08
1852,6.250123618656289e-08
1853,5.0761421732659073e-08
1854,6.28675422831293e-08
1855,7.217434472295281e-08
1856,5.4360487666826884e-08
1857,4.78387889302212e-08
1858,5.9213480341213653e-08
1859,7.791025069536772e-08
1860,7.140406665939736e-08
1861,6.272231445336729e-08
1862,6.596260249125407e-08
1863,6.443060840410908e-08
1864,5.2262535632507934e-08
1865,6.071829261600215e-08
1866,6.519920958680814e-08
1867,6.308654576514527e-08
1868,4.989272639477349e-08
1869,9.132180878168583e-08
1870,7.11022067889644e-08
1871,6.903765381593985e-08
1872,9.978109716257677e-08
1873,8.739566226267925e-08
1874,8.424198938428162e-08
1875,5.607096653648114e-08
1876,9.55270351710169e-08
1877,8.473197965486179e-08
1878,5.676743342064583e-08
1879,8.675242213485035e-08
1880,7.123809098175116e-08
1881,8.715634436384789e-08
1882,6.655385220710741e-08
1883,4.613117354779206e-08
1884,6.733731083841121e-08
1885,6.252266615547342e-08
1886,4.969167122226281e-08
1887,5.6801642500659e-08
1888,5.389522428345117e-08
1889,9.961567570826446e-08
1890,7.472000618236052e-08
1891,8.095259573792646e-08
1892,4.137218212463267e-08
1893,4.741980674793922e-08
1894,8.507078064212692e-08
1895,5.1760085995056215e-08
1896,6.073939573525422e-08
1897,6.059782009515402e-08
1898,7.016360115130738e-08
1899,8.899401393591688e-08
1900,8.824790143080463e-08
1901,5.1416396473769055e-08
1902,7.218117303864346e-08
1903,9.396383404691733e-08
1904,7.255744094436523e-08
1905,5.470404573770793e-08
1906,7.150416792001124e-08
1907,7.86855025580735e-08
1908,9.921006238755581e-08
1909,7.811396329771014e-08
1910,7.588693762272669e-08
1911,7.820950287396045e-08
1912,6.668059171488494e-08
1913,7.84842484335968e-08
1914,7.634287868540923e-08
1915,8.482148672328549e-08
1916,9.339342454950383e-08
1917,8.334482259897413e-08
1918,6.087779524932557e-08
1919,1.022071174361372e-07
1920,6.512119199442168e-08
1921,7.345565222749428e-08
1922,7.820611358511087e-08
1923,6.263409346729532e-08
1924,5.801231139912488e-08
1925,6.378942885021388e-08
1926,4.124071395494866e-08
1927,9.365349029621939e-08
1928,7.426926629250374e-08
1929,6.127223173280072e-08
1930,8.40288265635536e-08
1931,9.92266038224443e-08
1932,9.5347971296178e-08
1933,5.5059178549754506e-08
1934,6.82950087593781e-08
1935,6.343190506186147e-08
1936,1.0427254437672673e-07
1937,6.421470288842102e-08
1938,7.519824407609121e-08
1939,9.329370698196726e-08
1940,9.63597486247636e-08
1941,9.149658097840074e-08
1942,6.978687139280737e-08
1943,9.290352664947932e-08
1944,8.996921252446555e-08
1945,1.0674669681520754e-07
1946,9.744773166175946e-08
1947,1.06095754404123e-07
1948,9.34982367084558e-08
1949,1.227126062985917e-07
1950,1.0422654384001362e-07
1951,9.595261474260042e-08
