year,premiers_ADJ anneaux_NOUN,premiers_ADJ canots_NOUN
1800,4.62192190298083e-07,0.0
1801,4.309940493385511e-07,1.4287095950749062e-08
1802,5.594600338554301e-07,1.1189200677108602e-08
1803,9.829709597397596e-07,0.0
1804,6.649278816439619e-07,0.0
1805,3.3261667908845993e-07,0.0
1806,1.0085842205853623e-07,0.0
1807,1.1387820109121094e-07,0.0
1808,2.628645745517133e-07,0.0
1809,3.862942321575247e-07,4.518061036407062e-09
1810,4.914266327205041e-08,0.0
1811,3.9611813917872496e-07,0.0
1812,6.668020802180763e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,1.6362720600682223e-07,0.0
1815,1.9420009778059466e-07,0.0
1816,7.903029199951561e-07,4.6352077731626196e-09
1817,6.943655534996651e-07,0.0
1818,3.4332990139773756e-07,0.0
1819,2.7430283466856054e-07,0.0
1820,1.6494408328071586e-07,8.306536791735653e-09
1821,1.64686852599516e-07,0.0
1822,1.9249182514613494e-07,2.0051231786055723e-09
1823,1.8381797417532653e-07,2.9648061783404955e-09
1824,1.4652735558229324e-07,1.6842225392110777e-09
1825,2.3510533253556787e-07,4.4027217427355936e-09
1826,1.814444772207935e-07,0.0
1827,2.3780565072684112e-07,0.0
1828,3.0543762363777205e-07,9.172301251858528e-10
1829,2.726270054154156e-07,8.57317605795771e-10
1830,3.12061388285656e-07,1.0436835840010872e-09
1831,1.7773975002910447e-07,1.5591206103948707e-09
1832,6.805574344070919e-07,1.3529969367098715e-09
1833,2.490480142114393e-07,1.2741991461950875e-08
1834,3.565790791526524e-07,1.8669061851994684e-09
1835,1.4521128832711838e-07,4.5378527602224494e-09
1836,2.527002038732462e-07,2.688300027031687e-09
1837,3.2354193990613567e-07,0.0
1838,3.1497688723902684e-07,0.0
1839,2.1673572803138086e-07,0.0
1840,5.560738145504729e-07,5.095750932326837e-09
1841,2.4654906383148045e-07,3.852329122366882e-09
1842,1.9990629596122744e-07,9.391571076378114e-09
1843,1.9729083078345866e-07,1.1813822142769936e-09
1844,1.888065099819869e-07,3.2931368743049916e-09
1845,1.4508592016682087e-07,3.9061593959388574e-09
1846,1.9202764178771758e-07,4.6836010625384006e-09
1847,1.2728007448004064e-07,3.775256551818984e-09
1848,1.2389641312893218e-07,0.0
1849,2.2289243872819497e-07,8.379414939696517e-10
1850,2.3625706546681613e-07,1.3577992064028876e-09
1851,1.3995281733514275e-07,0.0
1852,4.5638924461854913e-07,1.9531636308300904e-09
1853,2.01851293013533e-07,0.0
1854,1.387242463124494e-07,0.0
1855,1.4487937960439012e-07,5.837630823180007e-09
1856,7.972871429728912e-08,6.73034605824796e-09
1857,2.3187168096683308e-07,1.4644527812635033e-09
1858,1.7861917456230003e-07,7.34051397444091e-09
1859,1.889196283855199e-07,1.5276520048956854e-09
1860,2.041423954324273e-07,5.034902272882391e-09
1861,1.7260427398468892e-07,6.13075279431996e-09
1862,9.081152541057236e-08,4.517986429419807e-09
1863,1.218687515347483e-07,1.4983863039219614e-09
1864,1.7117179140768712e-07,1.6781548595190543e-08
1865,2.433438623938855e-07,1.4120533631256649e-09
1866,2.247913215569497e-07,1.9462451650298362e-09
1867,1.5237827710734564e-07,0.0
1868,3.3294750778622983e-07,1.975949626142892e-09
1869,1.533424978106268e-07,0.0
1870,1.7775550986698363e-07,0.0
1871,2.0074024575933436e-07,0.0
1872,3.114379865110095e-07,7.256807155187062e-09
1873,1.759885321916954e-07,0.0
1874,3.525019280914421e-07,6.572069999322139e-09
1875,1.773673403704379e-07,7.437985338754061e-09
1876,2.0616910489934526e-07,0.0
1877,2.2574577940304152e-07,5.566334504436554e-09
1878,2.457909147324244e-07,4.831270938865373e-09
1879,2.7003218860954803e-07,0.0
