year,aux_ADP offres_NOUN,aux_ADP coffres_NOUN
1800,2.04370692813427e-07,1.5720821977538435e-08
1801,4.0956339830700017e-07,8.096020565062645e-08
1802,2.3273537408385891e-07,3.5805442166747525e-08
1803,2.7694815685208596e-07,1.950339223455444e-09
1804,2.546006498960196e-07,2.4718509905596875e-08
1805,4.6623194016603975e-07,2.842877755426798e-08
1806,5.648071237374097e-07,8.645007376628655e-09
1807,7.601370271004271e-07,1.1387820464392462e-08
1808,5.551881354648458e-07,1.1330369531492579e-08
1809,6.076792100628836e-07,2.259030518203531e-09
1810,5.312087947295652e-07,1.6380887757350138e-08
1811,6.1423378161507e-07,3.008492077682945e-08
1812,4.7209585574137236e-07,0.0
1813,6.67172088242296e-07,2.8757416448144113e-09
1814,3.492811759819858e-07,2.2026739543434815e-08
1815,4.2076686668224283e-07,1.3486118000116676e-08
1816,3.4068776244566834e-07,1.622322720606917e-08
1817,3.300571576048128e-07,2.1796227045456362e-08
1818,2.8610824398533907e-07,2.6226590676969863e-08
1819,3.4676017257595504e-07,9.315945348475907e-09
1820,3.3700806856273857e-07,3.322614716694261e-08
1821,5.78869365330803e-07,5.522433432769702e-08
1822,5.42385834023662e-07,4.6117833107928163e-08
1823,3.310700045222603e-07,8.103803139647425e-08
1824,4.892666396472123e-07,3.8737120178211626e-08
1825,5.424153179944824e-07,5.899646993157148e-08
1826,3.8226650644901383e-07,2.7304752237000685e-08
1827,5.226193818819169e-07,3.871254605769536e-08
1828,6.218820278736104e-07,6.328887991458032e-08
1829,4.166563662977296e-07,4.8009784592295546e-08
1830,4.894875857974768e-07,9.39315203396518e-09
1831,3.523612599476422e-07,2.494592976631793e-08
1832,3.977811076083526e-07,4.058990921151917e-09
1833,3.556173897578674e-07,4.6334514003376626e-09
1834,2.73501759018302e-07,1.8669061851994684e-09
1835,3.3655741304983167e-07,9.832014313815307e-09
1836,2.7151830028770974e-07,4.368487438455304e-08
1837,3.6876823283904514e-07,7.514522060159123e-08
1838,3.4338161825075986e-07,4.292270006089893e-08
1839,4.2578083725430815e-07,8.249940464111205e-08
1840,4.127558357325256e-07,3.503328827036967e-08
1841,3.97431959342498e-07,1.6051371787284552e-08
1842,4.957407906402977e-07,4.159124245006751e-08
1843,3.8867475471437984e-07,2.4809026888394925e-08
1844,3.9023670472815297e-07,4.006649589882727e-08
1845,4.938501594331512e-07,6.696273757711424e-09
1846,3.401465207275578e-07,4.3323311160747835e-08
1847,4.2768264840731263e-07,2.9662730938184723e-08
1848,3.443354787413533e-07,7.803865287314693e-08
1849,3.963463246492438e-07,2.6814127807028854e-08
1850,3.5710119661302997e-07,3.93761752093269e-08
1851,3.0441349641030513e-07,4.3856184683832566e-08
1852,6.451950440578003e-07,4.166749079104193e-08
1853,2.991937950724832e-07,1.6721408258035808e-08
1854,3.6993130203555324e-07,4.8319680701069956e-08
1855,3.911212580476331e-07,2.175844215912548e-08
1856,3.6965129890376147e-07,2.019103817474388e-08
1857,3.470752965029078e-07,3.612316845647001e-08
1858,3.880685168211606e-07,3.131952652779546e-08
