year,jours_NOUN ouverts_ADJ,jours_NOUN couverts_ADJ
1800,0.0,1.5720821977538435e-08
1801,0.0,5.476719877606229e-08
1802,0.0,3.1329761895904085e-08
1803,1.755305234496518e-08,3.1205427575287104e-08
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,2.842877711017877e-09,2.842877711017877e-09
1806,0.0,5.76333825108577e-09
1807,2.8469551160981155e-09,1.7081731584767113e-08
1808,2.2660739951163578e-09,0.0
1809,0.0,2.9367397402779716e-08
1810,0.0,3.7442028144596406e-08
1811,0.0,8.022645658911642e-08
1812,0.0,1.8670457180292033e-08
1813,0.0,1.1502966579257645e-08
1814,0.0,0.0
1815,2.697223555614414e-09,2.697223555614414e-09
1816,0.0,9.270415546325239e-09
1817,0.0,6.227493631882908e-09
1818,0.0,1.4305412854298538e-08
1819,0.0,8.280840013696888e-09
1820,1.1866481131050932e-09,2.4919611263385377e-08
1821,0.0,2.2681422962023134e-08
1822,0.0,4.511527151862538e-08
1823,0.0,1.8777104315859106e-08
1824,0.0,2.5263338088166165e-09
1825,4.4027217427355936e-09,1.7610886082763955e-09
1826,9.688783109140786e-09,2.642395191543301e-09
1827,3.6869092223668076e-09,4.055600300034712e-08
1828,0.0,3.118582486694166e-08
1829,1.0287811491593857e-08,2.5719527507739315e-08
1830,0.0,1.878630406793036e-08
1831,0.0,4.677361609140007e-08
1832,0.0,5.411987746839486e-09
1833,1.1583628500844156e-09,1.7375443306377747e-08
1834,0.0,1.4935249481595747e-08
1835,0.0,1.2100940693926532e-08
1836,2.688300027031687e-09,2.016225053580456e-08
1837,0.0,1.87863058442872e-08
1838,4.418513555037862e-09,2.146135025249407e-08
1839,1.3982950353153e-09,9.788065469251706e-09
1840,0.0,2.5478755105723394e-08
1841,5.778493683550323e-09,2.632424944692957e-08
1842,0.0,1.2745703159566801e-08
1843,1.7720733769266417e-09,4.134837894298471e-08
1844,1.6465684371524958e-09,2.5247381074677833e-08
1845,5.580227946389016e-10,1.3950569588416784e-08
1846,5.269050973311096e-09,2.2247105491146613e-08
1847,2.1572894581822766e-09,7.011190739092399e-09
1848,4.02261068899179e-09,2.574470947536156e-08
1849,7.54147322368226e-09,3.351765798242923e-08
1850,6.788996032014438e-10,1.9009189777818847e-08
1851,1.2898877521649865e-09,1.2253933867611977e-08
1852,1.3021090872200602e-09,3.1250618093281446e-08
1853,5.971931837933653e-10,2.6276499198729653e-08
1854,0.0,4.8319680256980746e-08
1855,5.306937111981824e-10,5.306937111981824e-08
