year,mes_DET anneaux_NOUN,mes_DET canots_NOUN
1800,9.432493897065797e-09,3.458580977167003e-08
1801,2.3811825844433088e-09,7.143547975374531e-09
1802,0.0,3.1329761895904085e-08
1803,0.0,0.0
1804,2.4718509461507665e-09,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.562259560079383e-08
1808,0.0,4.5321479902327155e-09
1809,0.0,4.743964199249717e-08
1810,0.0,0.0
1811,0.0,2.5070767684098882e-09
1812,0.0,2.6672083208723052e-08
1813,1.7254450312975678e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,1.3905623319487859e-08,2.3176038865813098e-08
1817,6.227493631882908e-09,0.0
1818,0.0,2.1458118837358597e-08
1819,0.0,0.0
1820,0.0,4.153268484685668e-08
1821,1.0847637454958203e-08,9.86148829262845e-10
1822,0.0,1.1028177482330648e-08
1823,1.9765373782121287e-09,1.1859224713361982e-08
1824,8.421112696055388e-10,4.210556348027694e-09
1825,7.044354433105582e-09,1.937197557921877e-08
1826,8.807984341885344e-10,8.807984341885344e-10
1827,0.0,0.0
1828,0.0,9.172301251858528e-10
1829,1.628903412154159e-08,3.429270423183084e-09
1830,7.305785221234373e-08,1.2211097555336892e-07
1831,0.0,0.0
1832,0.0,0.0
1833,3.475088550253247e-09,1.2626155410089268e-07
1834,1.120143711119681e-08,9.334530925997342e-09
1835,1.5126175867408165e-09,1.3613558280667348e-08
1836,6.720750067579218e-10,0.0
1837,6.262101948095733e-09,8.349468672008697e-09
1838,3.1560809521380406e-09,5.049729523420865e-09
1839,4.894032734625853e-09,0.0
1840,4.458782232319436e-09,5.095750932326837e-09
1841,3.2102742686390684e-09,3.0818632978935057e-08
1842,1.2745703159566801e-08,2.2808102073668124e-08
1843,8.269675610961258e-09,5.31621990873532e-09
1844,5.488561272137815e-10,5.488561272137815e-10
1845,2.2320911785556063e-09,2.2320911785556063e-09
1846,1.7563503984519002e-09,1.0538101946622191e-08
1847,1.6179670936367074e-09,7.011190739092399e-09
1848,1.6090443422100975e-09,3.218088684420195e-09
1849,1.3407063903514427e-08,1.0893239421605472e-08
1850,8.82569484161877e-09,1.3577992064028876e-08
1851,3.2247193804124663e-09,0.0
1852,1.1067927019325907e-08,6.510545436100301e-10
1853,1.1943863675867306e-09,2.9859659189668264e-09
1854,5.195664454227256e-10,0.0
1855,1.0083180512765466e-08,5.306937111981824e-10
1856,3.1063134287023786e-09,3.1063134287023786e-09
1857,4.393358177257056e-09,1.9526036898476207e-09
1858,1.2234190327475858e-08,9.787352039936081e-10
1859,2.189634606963864e-08,2.5460866748261424e-09
1860,7.781213007262977e-09,9.154367819341758e-10
1861,9.903524222920623e-09,3.772770984511453e-09
1862,3.6143890103090826e-09,4.517986429419807e-09
1863,9.989241656072068e-10,0.0
1864,2.3973640850272204e-09,0.0
1865,7.0602665935837194e-09,0.0
1866,3.405929149824516e-09,2.432806400776144e-09
1867,2.91168689159349e-09,1.455843445796745e-09
1868,1.0373735648272486e-08,1.0867722721741302e-08
1869,5.371871281134588e-09,1.3185501579471293e-08
1870,1.7202146374017957e-09,9.747882501187632e-09
1871,1.0621177271019633e-09,0.0
1872,0.0,3.0236697590169115e-09
1873,1.7359413462259e-08,1.1972009161809183e-08
1874,5.974609251779839e-09,0.0
1875,7.437985227731758e-09,2.2886108563824337e-09
1876,1.2696631523922974e-08,6.04601479992084e-10
1877,1.5462040314773162e-08,6.184816103704804e-09
1878,6.0390887290928674e-09,1.1474268646338714e-08
1879,7.94212295929242e-09,2.932476173000964e-08
1880,3.2089231272180996e-09,3.016387850607316e-08
1881,1.324776466304911e-08,3.69542902944886e-08
1882,2.3959387362992857e-08,4.6587693702804245e-09
1883,2.5277355319985872e-08,5.687405213450347e-09
