year,feux_NOUN ouverts_ADJ,feux_NOUN couverts_ADJ
1800,1.2576657937302116e-08,0.0
1801,0.0,1.1905912700171939e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,1.755305234496518e-08
1804,0.0,4.943701981119375e-08
1805,2.842877711017877e-09,1.904728037516179e-07
1806,2.881669125542885e-09,2.881669125542885e-09
1807,0.0,2.562259560079383e-08
1808,0.0,9.064295980465431e-09
1809,0.0,4.518061036407062e-09
1810,0.0,2.8081521108447305e-08
1811,0.0,8.774768645025688e-08
1812,0.0,1.973734100602087e-07
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,0.0
1815,0.0,0.0
1816,0.0,9.270415546325239e-09
1817,0.0,6.227493631882908e-09
1818,2.384235475716423e-09,9.536941902865692e-09
1819,0.0,1.8631890696951814e-08
1820,0.0,2.8479554714522237e-08
1821,0.0,7.88919063410276e-09
1822,0.0,2.606660132187244e-08
1823,0.0,1.9765373338032077e-08
1824,0.0,5.894778887238772e-09
1825,8.805443041381977e-10,8.805443485471187e-09
1826,8.807984341885344e-10,3.5231937367541377e-09
1827,9.217273055917019e-10,3.6869092223668076e-09
1828,0.0,9.172301251858528e-10
1829,8.57317605795771e-10,8.57317605795771e-10
1830,0.0,9.39315203396518e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,4.8707889277466165e-08
1833,2.3167257001688313e-09,1.2741991461950875e-08
1834,0.0,9.334530925997342e-10
1835,0.0,7.563087933704082e-10
1836,0.0,6.72075017860152e-09
1837,0.0,4.87052354003481e-09
1838,6.943378316748294e-09,5.680945491803868e-09
1839,6.292327547896548e-09,2.1673573158409454e-08
1840,1.2739377330817092e-09,1.7198159341091923e-08
1841,1.2841097074556274e-09,9.630822361827995e-09
1842,2.0124795163667386e-09,3.3541325272778977e-09
1843,0.0,2.658109998776581e-08
1844,1.097712254427563e-09,5.1043620885593555e-08
1845,0.0,5.580227835366713e-09
1846,1.1709002656346001e-09,1.2879903366069811e-08
