year,voulons_VERB analyser_VERB
1800,3.144164484325529e-09
1801,2.3811825844433088e-09
1802,0.0
1803,1.755305234496518e-08
1804,1.4831105232815389e-08
1805,3.1271653710973624e-08
1806,2.881669125542885e-09
1807,0.0
1808,2.2660739951163578e-09
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,2.8757416004054903e-08
1814,0.0
1815,0.0
1816,1.8540831092650478e-08
1817,0.0
1818,1.1921177378582115e-09
1819,5.175524897538253e-09
1820,3.5599443393152796e-09
1821,9.86148829262845e-10
1822,0.0
1823,0.0
1824,2.5263338088166165e-09
1825,0.0
1826,0.0
1827,3.6869092223668076e-09
1828,1.2841221419535032e-08
1829,1.2859763920403111e-08
1830,2.0873671680021744e-09
1831,9.354723218280014e-09
1832,1.3529969367098715e-09
1833,3.4750886612755494e-09
1834,9.334531370086552e-09
1835,0.0
1836,6.720750067579218e-10
1837,1.7394727436226276e-08
1838,3.1560809521380406e-09
1839,6.9914749545318955e-09
1840,1.2739377330817092e-09
1841,1.926164472365599e-08
1842,5.366612043644636e-09
1843,3.5441467538532834e-09
1844,5.488561161115513e-09
1845,6.138250796539069e-09
1846,1.2879903366069811e-08
1847,1.6718992412734224e-08
1848,0.0
1849,1.6758829879393033e-09
1850,1.3577992064028876e-09
1851,7.739326512989919e-09
1852,3.906327261660181e-09
1853,8.957897534855874e-09
1854,2.5978321716024766e-09
1855,9.552486801567284e-09
1856,5.694908100650764e-09
1857,7.810414537345878e-09
1858,4.893676019968041e-10
1859,8.656694916453489e-09
1860,7.781213007262977e-09
1861,8.960331143725853e-09
1862,8.132375661773494e-09
1863,9.489779628779615e-09
1864,1.6302074357099627e-08
1865,3.765475486972036e-09
1866,8.271541673821048e-09
1867,6.79393608038481e-09
1868,2.4699371437009177e-09
1869,7.813630631403612e-09
1870,2.2936195165357276e-09
1871,1.4869648623516696e-08
1872,1.7537283625301825e-08
1873,4.190203295451056e-09
1874,8.364453130127458e-09
1875,4.005069165202713e-09
1876,8.464420275799966e-09
1877,1.36065949618569e-08
1878,4.831270938865373e-09
1879,3.665595160740054e-09
1880,6.417846254436199e-09
1881,1.1156012114099667e-08
1882,8.652000893505374e-09
1883,1.2006744043446815e-08
1884,5.941527270181268e-09
1885,1.4180398189012067e-08
1886,5.808117542471791e-09
1887,7.834709769838355e-09
1888,1.2047167707862627e-08
1889,5.012109394186837e-09
1890,5.898947996740844e-09
1891,1.1473596295275001e-08
1892,1.0656471260972467e-08
1893,2.0938616174248637e-08
1894,2.0164925729204697e-08
1895,6.018614495673091e-09
1896,9.435246361988447e-09
1897,1.5149455023788505e-08
1898,2.6028432742464247e-08
1899,9.39688327150634e-09
1900,1.142031713641245e-08
1901,2.459045056468767e-08
