year,mes_DET hôtes_NOUN,mes_DET côtes_NOUN
1800,3.081281310102213e-07,3.458580977167003e-08
1801,2.5954890148227605e-07,3.095537337571841e-08
1802,1.7902721083373763e-07,6.713520406265161e-08
1803,1.1702035496163887e-07,5.851017448321727e-09
1804,2.546006363512987e-07,1.4831105232815389e-08
1805,1.194008660831969e-07,8.528632911009026e-09
1806,2.1900685265308084e-07,3.054569219784753e-07
1807,7.971474502710407e-08,9.679647172688988e-08
1808,4.7587553009265093e-08,2.2660739951163578e-09
1809,1.016563739852927e-07,9.036122072814123e-09
1810,3.8612090236256336e-07,2.574139479349924e-08
1811,2.93327994782544e-07,2.5070768572277302e-08
1812,2.4271594867286694e-07,2.6672083208723052e-08
1813,2.243078540686838e-07,1.1502966579257645e-08
1814,3.083743536080874e-07,0.0
1815,2.2117233200447117e-07,2.4275012222574333e-08
1816,2.2248996955909206e-07,3.708166040894412e-08
1817,1.6347170905817165e-07,4.670620334934483e-09
1818,1.8000977952681296e-07,4.768470951432846e-09
1819,1.0765091984499264e-07,1.9666995143552413e-08
1820,1.8630375464567805e-07,1.4239777357261119e-08
1821,2.2385578546391116e-07,2.6626018723163725e-08
1822,2.1555074170009902e-07,2.90742860897808e-08
1823,4.071666950267172e-07,1.4824030003524058e-08
1824,2.012645943239022e-07,7.57900142644985e-09
1825,1.4705090478628335e-07,1.4969252504215547e-08
1826,4.342336197282748e-07,2.1139161532346407e-08
1827,2.663791782708813e-07,3.410390903013649e-08
1828,2.8158965292846005e-07,1.559291229469295e-08
1829,3.0691969943319464e-07,1.9718304544724674e-08
1830,3.6320189167327044e-07,2.8179456323940144e-08
1831,4.443493750727612e-07,2.182768810143898e-08
1832,3.0577730747438636e-07,2.705993829010822e-08
1833,4.737704095703066e-07,1.9692167896323554e-08
1834,3.3324274184565184e-07,2.0535967593104942e-08
1835,3.1084290696981043e-07,2.7983425354705105e-08
1836,4.059332923134207e-07,3.696412420595152e-08
1837,2.539630266085169e-07,2.1569462660409044e-08
1838,2.051452554496791e-07,1.4517972601879592e-08
1839,2.6497692218185875e-07,6.85164565084051e-08
