year,grandes_ADJ ouvertures_NOUN,grandes_ADJ couvertures_NOUN
1800,1.6664071722516383e-07,9.778351568456856e-07
1801,2.0240051412656612e-07,4.500435011323134e-07
1802,2.215461734067503e-07,6.5121150782943e-07
1803,2.632957887271914e-07,1.9815447558357846e-06
1804,1.1617699158250616e-07,5.363916670830804e-07
1805,1.0802935435094696e-07,2.7860201612384117e-07
1806,1.7578182109900808e-07,4.3513205127965193e-07
1807,9.394951661079176e-08,7.117387923472052e-08
1808,5.891792298484688e-08,4.350862070623407e-07
1809,1.7394535234416253e-07,6.822272098361282e-07
1810,1.4040760731859336e-07,4.914266327205041e-08
1811,1.4791753244480788e-07,2.0056614857821842e-07
1812,1.7603574065105931e-07,2.1337665856435706e-08
1813,1.8979895344273245e-07,4.5436718210112303e-07
1814,1.541871768040437e-07,2.2026739543434815e-08
1815,1.780167480092132e-07,4.369502164536243e-07
1816,1.1819779643928996e-07,1.9560577584343264e-06
1817,7.005930058312515e-08,2.5890803954098374e-06
1818,1.5259107044585107e-07,1.442462459921856e-06
1819,1.8942421320389258e-07,6.179577098919253e-07
1820,1.1035827185423841e-07,5.411115466813499e-07
1821,1.1833785862336299e-07,1.439777300715761e-07
1822,2.2357123441452131e-07,2.3760709666476032e-07
1823,1.7887663261717535e-07,1.9666547359520337e-06
1824,7.494790565942822e-08,1.1452713266635328e-07
1825,1.6466178465179837e-07,2.835352574948047e-07
1826,6.870227764466108e-08,8.799176316465207e-07
1827,1.4655464042334643e-07,2.88500643819134e-07
1828,1.7060480672626e-07,5.613448479380168e-07
1829,1.0716470200122785e-07,9.430493719264632e-08
1830,1.9934356032536016e-07,1.7325147894098336e-07
1831,1.512347012067039e-07,1.2472965149612492e-07
1832,2.6518739559833193e-07,1.244757186213974e-07
1833,1.8186297268130147e-07,1.1583628278799551e-08
1834,1.110809151327885e-07,3.024387900119052e-07
1835,8.848812882433776e-08,2.9193518003012286e-07
1836,1.6398630009462067e-07,1.7675573360520502e-07
1837,1.6977253380900947e-07,1.9273358020654996e-07
1838,1.3823634503751236e-07,2.2155688683689334e-07
1839,1.4961756278353278e-07,1.9086726865680248e-07
1840,1.363113426577911e-07,9.427139247009109e-08
1841,1.7784918782126624e-07,1.4125207314918953e-07
1842,8.921992389332445e-08,1.2745703603656011e-08
1843,1.0041748765843295e-07,6.143187480933676e-08
1844,1.2074835353814706e-07,1.3446975799524807e-07
1845,1.7968334020679322e-07,5.970844085823046e-08
1846,1.4226438338482694e-07,5.854501239355159e-08
1847,6.25613978399997e-08,6.14827504463733e-08
1848,9.252004673498959e-08,9.493361730061878e-08
1849,6.452149392544015e-08,9.636327136242073e-08
1850,1.4935791625703132e-07,2.484772583244421e-07
1851,1.6123597390560462e-07,2.579775504329973e-08
1852,1.4258094438446278e-07,5.338647213193326e-08
1853,9.495371955381415e-08,1.6781128620024788e-07
1854,1.1846115199887208e-07,1.7561346510319709e-07
1855,1.0242388270853553e-07,1.9529528572093113e-07
1856,9.16362523639691e-08,8.904765280703941e-08
1857,1.0836949826398268e-07,4.29572786231347e-08
1858,1.0423529772651818e-07,7.829881631948865e-09
1859,1.1100937769015218e-07,2.189634606963864e-08
1860,1.1809134292661838e-07,1.0390207449972877e-07
1861,1.4242210966131097e-07,2.169343327196316e-08
1862,9.397411560030378e-08,2.1550794926383787e-07
1863,1.1038112290862045e-07,1.33855841966124e-07
1864,1.1795030729899736e-07,5.4659897052999895e-08
1865,1.0166783681597735e-07,4.000817632743292e-08
1866,9.779881793292589e-08,5.595455032647578e-08
1867,9.414453927547584e-08,2.547725941326462e-07
1868,1.314006539132606e-07,6.915823824726886e-08
1869,8.057806866190731e-08,1.3673853160867111e-08
1870,1.3016290267842123e-07,2.408300403544672e-08
1871,1.2108142755096196e-07,2.8677177965619194e-08
1872,1.1792311482849982e-07,1.148994488442412e-08
1873,1.4007250115355419e-07,7.482505637312897e-08
1874,6.751308490038355e-08,1.5533982988813477e-08
1875,1.0756470913975136e-07,1.94531928343622e-08
1876,9.915464005416652e-08,3.627608879952504e-08
1877,1.0699731944896484e-07,8.473197965486179e-08
1878,8.998242151392333e-08,7.911206267863236e-08
1879,7.453376582589044e-08,4.7652736867576095e-08
1880,8.214843205678335e-08,1.1552123257985158e-08
1881,1.1853262549266219e-07,3.974329487732575e-08
1882,9.849969728747965e-08,5.856739004883593e-08
1883,1.1374810071629327e-07,2.5909289824710413e-08
1884,1.3137376697613945e-07,1.0496697910866715e-07
1885,1.7725497514220478e-07,3.8029249194160286e-08
1886,1.2713323371826846e-07,4.001147702048513e-08
1887,1.1229750640495695e-07,3.721487079610952e-08
1888,1.445660160470652e-07,4.628648575533134e-08
1889,9.02179664308278e-08,2.5687060034584874e-08
1890,8.389614691850511e-08,1.2453334030659846e-08
1891,8.796423855983448e-08,4.015758514608336e-08
1892,7.14610379759506e-08,2.8835156928863626e-08
1893,8.375446469699455e-08,5.173069794750518e-08
1894,1.506067945911127e-07,4.600123659770361e-08
1895,5.838056083007359e-08,4.513960760732516e-08
1896,8.373780957526833e-08,2.2998412840813387e-08
1897,9.730611338909512e-08,6.409385022720926e-09
1898,1.1090375551248144e-07,1.1882545614128048e-08
1899,7.849160965633928e-08,5.251199297617859e-08
1900,9.188163829776386e-08,1.5054054003371675e-08
1901,9.556743663097222e-08,2.179608138419553e-08
1902,1.468174843921588e-07,1.5712908307818907e-08
1903,1.2204498034407152e-07,2.3760968970165663e-08
1904,1.150169808283863e-07,8.061937695202914e-08
1905,7.276670288547393e-08,3.199670733922133e-08
1906,8.487904779030941e-08,4.2696732704960993e-08
1907,9.411403567582965e-08,3.188562924805183e-08
1908,7.95645007656276e-08,1.915441782962546e-08
1909,6.821219500352527e-08,2.9155213354670195e-08
1910,7.53525242203068e-08,2.351426242608312e-08
1911,6.065226187956796e-08,1.9685383989553884e-08
1912,6.772247473918469e-08,2.135862686714063e-08
1913,7.68933503536573e-08,3.075734067436997e-08
1914,9.040603998755614e-08,3.616241583959123e-08
1915,8.128725426104211e-08,4.7123047686170594e-08
1916,5.933229374477378e-08,6.592477230782379e-09
1917,2.52227767560953e-08,1.5352993543160665e-08
