year,quelques_DET anneaux_NOUN,quelques_DET canaux_NOUN
1800,5.973912209356058e-08,5.345079490126636e-08
1801,1.4048977448055666e-07,1.1667794774794515e-07
1802,1.1412984690650774e-07,9.84649659585557e-08
1803,2.4964342060229683e-07,1.2287136996746995e-07
1804,1.6067031149979982e-07,1.4831105943358125e-07
1805,5.685755510853596e-08,7.107194299749153e-08
1806,7.780506905419315e-08,7.780506816601473e-08
1807,1.0249038240317532e-07,8.825560726677395e-08
1808,5.4385776326881796e-08,6.345007141916881e-08
1809,5.6475762733043666e-08,1.4909602086277118e-07
1810,1.146662111928265e-07,5.3822915901946544e-08
1811,5.264861258069686e-08,1.0279014883707305e-07
1812,1.600324850414836e-08,2.3471432797350644e-07
1813,2.5881675469463516e-08,5.176334849643638e-08
1814,9.125363931161701e-08,3.776012391654149e-08
1815,8.90083740046066e-08,5.933891955578474e-08
1816,3.4995818509742094e-07,3.7081662185300956e-08
1817,1.5724421909002473e-07,3.89218364205135e-08
1818,1.5974377731708955e-07,7.867976759001749e-08
1819,8.69488232524418e-08,1.2731791798614722e-07
1820,1.293446416639199e-07,4.865257352548724e-08
1821,1.311577904061778e-07,6.90304156059085e-08
1822,1.1128433641260926e-07,7.920236555492011e-08
1823,1.0673301498176357e-07,5.1389972277604556e-08
1824,5.052667706451075e-08,8.926379191365186e-08
1825,6.339919167430708e-08,7.04435434428774e-08
1826,9.512622767271495e-08,7.046387118236908e-08
1827,7.650336897313537e-08,9.032927783536593e-08
1828,1.3024667566696735e-07,9.264023947963551e-08
1829,7.287199821348622e-08,7.37293138763917e-08
1830,1.2002361415852647e-07,6.992680035011745e-08
1831,9.978371906527173e-08,8.419250896452013e-08
1832,4.058990654698391e-08,6.900284432731496e-08
1833,9.730247763073407e-08,8.571885246055899e-08
1834,1.0267984040801537e-07,9.147840263068474e-08
1835,9.302598158456021e-08,3.857174846189082e-08
1836,1.2030142637620145e-07,5.9142600150607905e-08
1837,9.671468070848732e-08,6.81873275620859e-08
1838,7.953324221432467e-08,1.3823634503751236e-07
1839,6.991475354212184e-08,8.599514367269023e-08
1840,6.624476184269312e-08,1.1146955447571827e-07
1841,8.73194574424474e-08,7.961480541496258e-08
1842,6.909513272645995e-08,5.2324465649178364e-08
1843,3.5441465817687146e-08,8.151537334022407e-08
1844,7.13512991468157e-08,8.397499062784419e-08
1845,8.872562579087528e-08,7.47750537044567e-08
